ID,,,Loan term
L138,,,36 months
L057,,,60 months
L109,,,36 months
L176,,,36 months
L398,,,36 months
L124,,,36 months
L467,,,60 months
L305,,,36 months
L122,,,36 months
L169,,,60 months
L408,,,36 months
L321,,,60 months
L404,,,60 months
L440,,,36 months
L194,,,36 months
L356,,,36 months
L286,,,36 months
L454,,,36 months
L267,,,60 months
L196,,,36 months
L131,,,36 months
L291,,,60 months
L134,,,60 months
L191,,,36 months
L154,,,36 months
L070,,,60 months
L284,,,60 months
L350,,,60 months
L312,,,60 months
L026,,,36 months
L251,,,36 months
L270,,,36 months
L139,,,36 months
L065,,,36 months
L329,,,60 months
L279,,,36 months
L227,,,60 months
L265,,,60 months
L199,,,36 months
L349,,,36 months
L491,,,36 months
L351,,,60 months
L098,,,36 months
L097,,,36 months
L102,,,36 months
L476,,,60 months
L335,,,36 months
L446,,,36 months
L161,,,36 months
L058,,,60 months
L410,,,36 months
L048,,,36 months
L155,,,60 months
L367,,,36 months
L309,,,36 months
L167,,,36 months
L166,,,60 months
L438,,,60 months
L353,,,36 months
L464,,,36 months
L180,,,60 months
L371,,,36 months
L473,,,60 months
L357,,,36 months
L314,,,36 months
L453,,,36 months
L201,,,36 months
L364,,,36 months
L462,,,60 months
L121,,,36 months
L313,,,60 months
L293,,,60 months
L160,,,36 months
L299,,,60 months
L339,,,36 months
L222,,,60 months
L481,,,36 months
L361,,,60 months
L074,,,60 months
L297,,,60 months
L369,,,36 months
L448,,,36 months
L088,,,60 months
L281,,,36 months
L255,,,36 months
L162,,,36 months
L317,,,36 months
L392,,,36 months
L090,,,36 months
L181,,,36 months
L468,,,36 months
L394,,,36 months
L437,,,60 months
L294,,,60 months
L221,,,36 months
L208,,,36 months
L165,,,36 months
L003,,,60 months
L067,,,60 months
L352,,,36 months
L499,,,36 months
L378,,,36 months
L346,,,60 months
L185,,,60 months
L493,,,36 months
L277,,,36 months
L282,,,36 months
L248,,,60 months
L050,,,36 months
L073,,,60 months
L158,,,60 months
L435,,,36 months
L445,,,60 months
L479,,,36 months
L322,,,36 months
L137,,,60 months
L171,,,36 months
L036,,,36 months
L362,,,36 months
L145,,,60 months
L184,,,60 months
L118,,,60 months
L425,,,36 months
L298,,,60 months
L300,,,60 months
L051,,,36 months
L396,,,60 months
L340,,,36 months
L472,,,60 months
L226,,,60 months
L377,,,36 months
L146,,,36 months
L403,,,36 months
L484,,,36 months
L492,,,36 months
L055,,,36 months
L197,,,36 months
L028,,,60 months
L347,,,36 months
L236,,,36 months
L079,,,60 months
L342,,,60 months
L360,,,36 months
L263,,,36 months
L223,,,36 months
L289,,,36 months
L061,,,60 months
L225,,,36 months
L040,,,36 months
L096,,,36 months
L474,,,36 months
L078,,,60 months
L120,,,60 months
L397,,,36 months
L443,,,36 months
L093,,,36 months
L496,,,36 months
