ID,,Home ownership,Job title,Length of employment (years)
L378,,Mortgage,Senior Director,10
L180,,Mortgage,Speech Language Pathologist,2
L459,,Mortgage,Teacher,10
L152,,Rent,maintenance ,10
L275,,Own,iron fitter,1
L072,,Own,Application Analyst,9
L066,,Mortgage,Accountant,2
L297,,Rent,teacher,8
L178,,Rent,Dental Assistant,1
L001,,Mortgage,leadman,10
L396,,Mortgage,Owner,10
L250,,Rent,Sr. Business Specialist,1
L137,,Mortgage,Billing Supervisor,10
L341,,Rent,Clinical Documentation Specialist,7
L319,,Mortgage,Project Manager ,2
L436,,Mortgage,account manager,10
L428,,Mortgage,CNA,1
L223,,Rent,maintenance,10
L002,,Mortgage,Engineer,10
L294,,Mortgage,College professor,10
L127,,Mortgage,machines,9
L113,,Own,Unix System Administrator,10
L411,,Rent,Executive Chef,10
L042,,Mortgage,Educator ,2
L331,,Mortgage,,
L116,,Rent,Paralegal,2
L100,,Own,Department Manager ,9
L281,,Rent,Analytical Research Scientist,2
L342,,Mortgage,Police Officer,10
L374,,Mortgage,National Sales Manager,10
L400,,Own,Designer/Programmer,5
L312,,Rent,foreman pipe fitter ,10
L168,,Rent,Secreatary 1,3
L401,,Mortgage,Media Operations Manager,1
L447,,Mortgage,Pilot,10
L252,,Rent,Lieutenant,10
L404,,Mortgage,It director,2
L292,,Mortgage,Division Manager,1
L494,,Rent,Teacher,2
L469,,Rent,Sales Account Manager,10
L271,,Mortgage,Service technician,10
L011,,Mortgage,Executive Director,6
L352,,Rent,Shipping & Receiving,10
L417,,Mortgage,Procurement ,1
L473,,Mortgage,Driver,10
L242,,Rent,SALES,5
L290,,Mortgage,Lieutenant ,10
L470,,Mortgage,Group Manager,1
L201,,Mortgage,Account Manager,8
L222,,Mortgage,Sales,2
L351,,Mortgage,Service Technian Lead,1
L162,,Rent,Director,1
L146,,Mortgage,,
L192,,Mortgage,Project Manager,10
L365,,Mortgage,manager,1
L181,,Rent,manager,10
L102,,Own,Accounts Payable Manager,6
L437,,Own,Maint. Machinist,10
L393,,Rent,General Manager,1
L005,,Mortgage,Contract Specialist,3
L432,,Rent,sales associate,10
L233,,Rent,Executive Admin,10
L206,,Rent,Case Manager,3
L231,,Mortgage,Registered Nurse ,1
L065,,Mortgage,President,10
L039,,Mortgage,Legal Administrative Assistant,10
L475,,Own,Business Analyst,10
L216,,Rent,Revenue Control Specialist,8
L089,,Mortgage,Supply Chain Coord.,10
L324,,Mortgage,Police Officer,1
L171,,Mortgage,analyst,10
L148,,Rent,Medical Support Assistant,3
L248,,Rent,Sr Sales Executive,6
L118,,Mortgage,"Director, Human Resources",8
L123,,Rent,Truck Driver,1
L191,,Rent,Valued Associate,1
L355,,Mortgage,letter carrier,10
L004,,Mortgage,Information Systems Officer,10
L269,,Rent,Project Coordinator,1
L044,,Rent,Manager,5
L147,,Mortgage,President,1
L270,,Rent,Driver,7
L157,,Mortgage,Financial Systems Analyst,9
L403,,Mortgage,Problem Manager Level 2,1
L229,,Mortgage,Financial Manager,10
L104,,Rent,Aviation Safety Inspector,8
L210,,Own,Teacher,10
L193,,Rent,Graduate Student ,1
L254,,Mortgage,,
L062,,Rent,Wire Technician,1
L368,,Mortgage,Executive Steward,3
L037,,Rent,Resident physician,1
L426,,Rent,pit Manager,10
L120,,Mortgage,Project Supervisor,2
L318,,Mortgage,Head of Corporate Physical Security,1
L010,,Mortgage,Vendor liaison,10
L079,,Rent,Manager,4
L155,,Mortgage,Officer / Sheriff's office,10
L500,,Own,Accounting Clerk,4
L499,,Mortgage,Owner,6
L208,,Mortgage,Purchasing Manager,2
L161,,Mortgage,Mechanic,10
L077,,Mortgage,Director,1
L422,,Mortgage,Project Manager,10
L184,,Mortgage,Client Service Manager,1
L492,,Own,System Administrator,3
L274,,Rent,Clerk Typist II,9
L203,,Own,Senior Business Analyst,3
L467,,Own,Sales,10
L243,,Mortgage,O&M Specialist III,5
L495,,Mortgage,Information Specialist 4,10
L387,,Own,GIS Specialist,3
L276,,Rent,Social Worker Supervisor,2
L262,,Rent,Purchasing Assistant,5
L031,,Mortgage,"Owner, Fee Appraiser ",10
L255,,Mortgage,Sales Associate,1
L151,,Mortgage,Accounting senior,10
L496,,Mortgage,,
L160,,Rent,Veterinarian,3
L402,,Mortgage,Truck Driver,3
L069,,Own,Facilities Coordinator,10
L239,,Rent,Master Carpenter,3
L445,,Mortgage,CPS Supervisor,10
L221,,Own,Sales Manager,3
L126,,Mortgage,Director,4
L280,,Mortgage,Senior Compliance Analyst ,9
L279,,Own,Truck Driver,9
L063,,Mortgage,accts payable,10
L356,,Rent,General Manager,4
L111,,Mortgage,Master mechanic,4
L020,,Rent,Program Coordinator ,8
L198,,Rent,Producer,1
L227,,Mortgage,IT Supervisor,9
L238,,Rent,Accounting Supervisor,8
L259,,Rent,Benefits Consultant,10
L407,,Mortgage,,
L043,,Mortgage,Registered Nurse,9
L337,,Rent,Teller,1
L097,,Rent,Salesman,3
L143,,Rent,Sales Person,1
L059,,Mortgage,Site lead,10
L419,,Rent,Supervisor,10
L451,,Mortgage,Owner,1
L293,,Mortgage,Division Director OBGYN ,2
L361,,Mortgage,Exec. Administrative,1
L493,,Rent,Production Supervisor,3
L484,,Rent,,
L156,,Own,Paralegal,1
L288,,Mortgage,Orientation ,10
L465,,Rent,Nurse Lvn ,5
L359,,Rent,service advisor ,2
L391,,Mortgage,Area Manager,10
L480,,Mortgage,Team member ,10
L388,,Mortgage,Truck driver,1
L322,,Mortgage,Account manager,10
L313,,Rent,Executive Assistant,10
L373,,Mortgage,irrigation technician,1
L264,,Mortgage,Senior Electrical Engineer,5
L196,,Rent,Nurse,2
L014,,Rent,Software Manager,7
L327,,Mortgage,"Associate Director, Info. Management",10
L392,,Rent,Registered Nurse,1
L430,,Mortgage,Outbound Warehouse Manager,10
L471,,Rent,Pilot,10
L132,,Own,Driver,1
L371,,Rent,admin//qa,3
L485,,Mortgage,Sales,4
L028,,Mortgage,Professional Sales Associate,1
L333,,Mortgage,Sr Tax Accountant,1
L026,,Rent,mechanic,5
L114,,Mortgage,Electronic Branch Manager,3
L306,,Rent,Accounting ,3
L474,,Rent,O&M Specialist II,6
