ID,Control,Highest degree offered,,Tuition and fees 2013-14 ($),Admission rate (%),Geographic region,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0001,Public,Doctoral degree,,14280,,New England,1125,40,62,65,24,28,100
C0002,Public,Doctoral degree,,10626,52,Southeast,13349,33,54,59,19,24,75
C0003,Private,Doctoral degree,,42305,73,Southeast,8693,81,85,86,19,24,98
C0004,Public,Doctoral degree,,31018,81,Rocky Mountains,341,2,6,10,20,25,100
C0005,Public,Doctoral degree,,33332,61,Southeast,2261,9,9,12,19,23,99
C0006,Public,Doctoral degree,,13130,68,Great Lakes,1782,32,41,44,21,26,91
C0007,Public,Bachelor's degree,,24970,9,Mid East,8073,50,61,63,,,100
C0008,Public,Doctoral degree,,12380,73,Far West,1733,23,43,49,20,25,83
C0009,Public,Doctoral degree,,32850,76,Far West,14959,21,41,43,,,100
C0010,Private,Bachelor's degree,,34330,60,Far West,10127,56,57,57,25,29,100
C0011,Private,Bachelor's degree,,28430,62,Great Lakes,2274,59,75,76,,,100
C0012,Private,Doctoral degree,,39842,84,Plains,2128,13,13,13,19,25,99
C0013,Private,Bachelor's degree,,10680,87,Southeast,12027,31,51,54,22,28,94
C0014,Public,Doctoral degree,,7507,80,Southeast,14525,57,70,71,,,96
C0015,Private,Bachelor's degree,,23563,67,Mid East,5430,24,40,47,19,25,100
C0016,Public,Master's degree,,7300,77,Southeast,7943,83,83,83,17,22,99
C0017,Private,Bachelor's degree,,24750,,New England,4622,11,29,40,,,100
C0018,Private,Master's degree,,9486,63,Great Lakes,12377,52,59,60,19,24,87
C0019,Public,Master's degree,,4358,97,Southeast,15957,41,55,55,27,33,97
C0020,Public,Master's degree,,10000,79,Great Lakes,14526,11,27,32,17,20,88
C0021,Private,Master's degree,,5837,,Mid East,20448,15,34,42,17,22,94
C0022,Private,Doctoral degree,,22800,80,Southeast,4206,27,37,39,22,28,97
C0023,Public,Doctoral degree,,6464,,Mid East,5992,65,75,76,,,89
C0024,Private,Master's degree,,5238,72,New England,495,74,78,78,19,24,83
C0025,Private,Bachelor's degree,,16795,44,Plains,15143,18,27,29,24,29,91
C0026,Private,Bachelor's degree,,7946,64,Rocky Mountains,21592,13,29,33,,,88
C0027,Public,Doctoral degree,,5744,91,Mid East,4056,61,72,73,,,68
C0028,Private,Doctoral degree,,8509,58,Plains,1100,11,26,34,19,24,93
C0029,Public,Doctoral degree,,22590,65,Plains,1926,19,32,36,,,100
C0030,Public,Doctoral degree,,8401,65,Mid East,2291,,,,29,34,87
C0031,Public,Master's degree,,23520,79,Southeast,20161,48,67,71,21,27,100
C0032,Private,Doctoral degree,,25532,22,Mid East,1328,45,51,51,20,25,100
C0033,Private,Bachelor's degree,,33230,9,Great Lakes,1077,61,64,64,24,28,99
C0034,Public,Doctoral degree,,24790,49,Mid East,23003,71,81,82,,,100
C0035,Public,Doctoral degree,,8800,76,Southeast,2877,39,47,49,28,32,
C0036,Private,Master's degree,,11767,81,Southwest,49317,9,14,18,24,30,82
C0037,Public,Doctoral degree,,5315,76,Southeast,4861,35,47,47,,,96
C0038,Private,Master's degree,,5035,72,Mid East,1478,6,13,18,25,30,91
C0039,Private,Doctoral degree,,23400,65,New England,29850,39,44,44,,,100
C0040,Private,Bachelor's degree,,14930,85,Southwest,1542,54,69,70,19,21,57
C0041,Public,Doctoral degree,,8144,54,Southeast,1549,31,52,56,18,24,61
C0042,Private,Bachelor's degree,,8863,55,Southwest,725,46,57,59,,,73
C0043,Private,Bachelor's degree,,17890,58,Southeast,2453,21,40,46,18,24,85
C0044,Public,Doctoral degree,,36660,74,Southeast,1701,46,46,46,18,23,99
C0045,Public,Doctoral degree,,7660,,Mid East,5368,8,23,29,13,18,88
C0046,Public,Doctoral degree,,22792,77,Southwest,2533,59,66,68,,,79
C0047,Public,Master's degree,,46713,,Great Lakes,10107,70,78,79,17,22,84
C0048,Public,Master's degree,,6030,36,Rocky Mountains,1305,14,14,14,17,23,81
C0049,Public,Doctoral degree,,44742,60,New England,2435,14,29,36,,,81
C0050,Private,Bachelor's degree,,,70,Southeast,2149,29,40,44,20,25,
C0051,Private,Doctoral degree,,21630,,Mid East,4201,65,73,74,18,23,99
C0052,Public,Master's degree,,31350,69,Mid East,31186,35,43,46,,,93
C0053,Private,Master's degree,,33020,49,Far West,1140,,,,20,25,100
C0054,Private,Master's degree,,9499,94,Mid East,11619,25,36,38,19,23,92
C0055,Private,Bachelor's degree,,31260,85,Great Lakes,1067,60,76,77,19,23,100
C0056,Private,Bachelor's degree,,44880,51,Far West,12109,5,12,15,,,62
C0057,Private,Bachelor's degree,,5246,67,Southeast,23881,54,58,58,19,25,83
C0058,Private,Bachelor's degree,,27728,62,Plains,657,70,78,78,,,100
C0059,Public,Master's degree,,44008,,Plains,24473,88,93,94,,,53
C0060,Public,Bachelor's degree,,29103,80,Mid East,6122,36,47,48,20,25,100
C0061,Private,Doctoral degree,,6948,51,Mid East,710,69,88,90,14,17,91
C0062,Private,Doctoral degree,,34835,68,Great Lakes,3181,52,66,69,17,22,88
C0063,Private,Doctoral degree,,11455,63,Far West,532,20,40,44,33,35,73
C0064,Private,Master's degree,,20540,58,Great Lakes,4880,56,65,66,20,26,96
C0065,Private,Doctoral degree,,13895,22,Great Lakes,4561,67,76,78,19,24,77
C0066,Private,Doctoral degree,,14800,65,Mid East,2154,28,49,55,25,30,93
C0067,Public,Master's degree,,8806,,Southeast,26571,35,44,50,22,30,96
C0068,Private,Doctoral degree,,20730,69,Great Lakes,2058,8,11,18,19,25,99
