ID,Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment
C0001,4439,969,581,5020,4051
C0002,11961,7066,6607,18568,11502
C0003,323,309,308,631,322
C0004,4802,1680,2574,7376,5696
C0005,5182,719,893,6075,5356
C0006,29498,5312,5254,34752,29440
C0007,1350,0,1820,3170,3170
C0008,3223,762,1861,5084,4322
C0009,21093,5065,3771,24864,19799
C0010,1167,0,21,1188,1188
C0011,543,0,57,600,600
C0012,2321,576,872,3193,2617
C0013,902,0,208,1110,1110
C0014,5982,1105,2711,8693,7588
C0015,262,0,85,347,347
C0016,3890,2428,537,4427,1999
C0017,1577,0,89,1666,1666
C0018,1288,129,322,1610,1481
C0019,2526,444,536,3062,2618
C0020,5133,1050,1798,6931,5881
C0021,1810,42,93,1903,1861
C0022,4361,1820,472,4833,3013
C0023,12028,3758,3037,15065,11307
C0024,1210,130,212,1422,1292
C0025,808,0,55,863,863
C0026,849,0,83,932,932
C0027,10334,4257,10239,20573,16316
C0028,2954,534,164,3118,2584
C0029,7904,983,9459,17363,16380
C0030,4283,1177,4883,9166,7989
C0031,889,351,2107,2996,2645
C0032,323,282,346,669,387
C0033,68,0,11,79,79
C0034,42498,9972,6204,48702,38730
C0035,35388,8951,5233,40621,31670
C0036,1786,42,135,1921,1879
C0037,20533,4434,6061,26594,22160
C0038,6,308,647,653,345
C0039,572,398,371,943,545
C0040,454,0,181,635,635
C0041,6632,2407,5745,12377,9970
C0042,867,0,160,1027,1027
C0043,562,0,30,592,592
C0044,20379,4332,4962,25341,21009
C0045,2328,94,287,2615,2521
C0046,8384,3454,5168,13552,10098
C0047,7283,887,4086,11369,10482
C0048,2546,187,1347,3893,3706
C0049,9045,1780,2489,11534,9754
C0050,650,0,177,827,827
C0051,4820,1810,1418,6238,4428
C0052,2953,384,630,3583,3199
C0053,1434,13,10,1444,1431
C0054,1698,516,898,2596,2080
C0055,1507,0,36,1543,1543
C0056,571,0,14,585,585
C0057,523,0,33,556,556
C0058,486,0,88,574,574
