ID,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%)
C0001,10,23,29
C0002,29,46,53
C0003,0,0,67
C0004,16,37,48
C0005,9,19,25
C0006,43,62,67
C0007,,,
C0008,10,22,27
C0009,38,63,68
C0010,53,60,62
C0011,10,14,14
C0012,11,21,23
C0013,30,40,43
C0014,10,25,31
C0015,38,41,41
C0016,18,28,30
C0017,6,16,22
C0018,33,47,49
C0019,24,39,45
C0020,12,27,32
C0021,19,31,37
C0022,49,64,69
C0023,14,27,33
C0024,47,55,56
C0025,17,23,26
C0026,82,82,82
C0027,13,29,36
C0028,17,36,44
C0029,9,19,28
C0030,14,32,37
C0031,4,10,12
C0032,25,33,40
C0033,25,50,50
C0034,38,55,59
C0035,40,58,61
C0036,37,56,59
C0037,30,45,49
C0038,,,
C0039,23,35,38
C0040,28,46,47
C0041,7,16,21
C0042,4,8,9
C0043,43,45,50
C0044,37,55,60
C0045,6,19,26
C0046,19,31,36
C0047,21,36,41
C0048,10,20,22
C0049,21,37,42
C0050,19,38,38
C0051,40,59,62
C0052,14,25,29
C0053,63,68,70
C0054,55,65,65
C0055,48,59,60
C0056,34,47,48
C0057,20,40,45
C0058,24,36,39
C0059,14,24,30
C0060,9,20,24
C0061,47,63,65
C0062,49,64,68
C0063,,,
C0064,41,54,58
C0065,82,90,93
C0066,61,69,70
C0067,29,61,70
C0068,,,
C0069,15,32,39
C0070,18,41,52
C0071,9,29,41
C0072,10,34,52
C0073,17,47,56
C0074,4,16,29
C0075,14,36,49
C0076,14,40,53
C0077,11,30,38
C0078,14,43,60
C0079,7,22,36
C0080,13,35,46
C0081,8,30,43
C0082,72,89,91
C0083,51,77,81
C0084,68,84,86
C0085,69,88,90
C0086,41,62,66
C0087,56,81,86
C0088,68,79,81
C0089,50,69,73
C0090,43,57,59
C0091,59,73,76
C0092,54,61,63
C0093,31,39,41
C0094,,,
C0095,84,91,93
C0096,100,100,100
C0097,36,51,53
C0098,,,
C0099,43,53,54
C0100,,,
C0101,86,89,91
C0102,25,32,35
C0103,11,29,40
C0104,52,57,71
C0105,,,
C0106,69,81,81
C0107,39,56,59
C0108,0,76,76
C0109,30,53,59
C0110,48,53,54
C0111,67,74,76
C0112,28,39,41
C0113,53,61,62
C0114,,,
C0115,52,64,66
C0116,15,31,38
C0117,36,47,48
C0118,83,86,88
C0119,27,38,44
C0120,24,34,37
C0121,40,58,63
C0122,70,79,80
C0123,73,82,82
C0124,62,70,72
C0125,93,95,96
C0126,63,71,73
C0127,33,59,66
C0128,65,74,75
C0129,13,35,45
C0130,57,67,69
C0131,8,33,48
C0132,77,83,84
C0133,80,84,84
C0134,38,45,47
C0135,50,58,60
C0136,26,48,54
C0137,47,52,52
C0138,78,90,91
C0139,73,76,80
C0140,72,76,76
C0141,63,66,67
C0142,19,35,45
C0143,12,21,25
C0144,16,32,41
C0145,26,42,46
C0146,44,66,70
