ID,Control,Highest degree offered,ACT Composite score (75th percentile),Tuition and fees 2013-14 ($),Admission rate (%)
C0001,Public,Doctoral degree,19,7182,90
C0002,Public,Doctoral degree,28,7206,87
C0003,Private,Doctoral degree,,6870,
C0004,Public,Doctoral degree,29,9192,81
C0005,Public,Doctoral degree,19,8720,51
C0006,Public,Doctoral degree,30,9450,57
C0007,Public,Bachelor's degree,,,
C0008,Public,Doctoral degree,23,8750,84
C0009,Public,Doctoral degree,30,9852,83
C0010,Private,Bachelor's degree,29,30690,64
C0011,Private,Bachelor's degree,,8090,
C0012,Private,Doctoral degree,,18230,
C0013,Private,Bachelor's degree,24,23500,63
C0014,Public,Doctoral degree,26,7092,83
C0015,Private,Bachelor's degree,24,15630,74
C0016,Public,Master's degree,22,7660,100
C0017,Private,Bachelor's degree,,11454,
C0018,Private,Master's degree,25,18690,71
C0019,Public,Master's degree,26,10000,87
C0020,Public,Master's degree,25,7078,81
C0021,Private,Master's degree,22,16234,34
C0022,Private,Doctoral degree,28,26328,77
C0023,Public,Doctoral degree,26,6948,86
C0024,Private,Master's degree,27,30924,46
C0025,Private,Bachelor's degree,20,15901,43
C0026,Private,Bachelor's degree,,11492,
C0027,Public,Doctoral degree,24,7276,68
C0028,Private,Doctoral degree,22,18900,35
C0029,Public,Doctoral degree,,5147,
C0030,Public,Doctoral degree,,4984,
C0031,Public,Master's degree,,5693,
C0032,Private,Doctoral degree,24,29810,37
C0033,Private,Bachelor's degree,,12000,
C0034,Public,Doctoral degree,28,9861,80
C0035,Public,Doctoral degree,27,10391,77
C0036,Private,Master's degree,29,31034,79
C0037,Public,Doctoral degree,25,9738,91
C0038,Private,Master's degree,,,
C0039,Private,Doctoral degree,30,29732,73
C0040,Private,Bachelor's degree,25,21832,61
C0041,Public,Doctoral degree,27,7094,53
C0042,Private,Bachelor's degree,,8040,
C0043,Private,Bachelor's degree,28,23594,59
C0044,Public,Doctoral degree,28,7818,59
C0045,Public,Doctoral degree,20,5938,28
C0046,Public,Doctoral degree,26,7510,76
C0047,Public,Master's degree,25,5598,85
C0048,Public,Master's degree,,5793,
C0049,Public,Doctoral degree,26,7595,90
C0050,Private,Bachelor's degree,23,13350,54
C0051,Private,Doctoral degree,28,16170,76
C0052,Public,Master's degree,24,7580,62
C0053,Private,Master's degree,32,37816,80
C0054,Private,Master's degree,28,22734,70
C0055,Private,Bachelor's degree,27,22370,70
C0056,Private,Bachelor's degree,26,24350,61
C0057,Private,Bachelor's degree,,12564,
C0058,Private,Bachelor's degree,24,13750,68
C0059,Public,Master's degree,24,7466,61
C0060,Public,Bachelor's degree,25,4528,57
C0061,Private,Doctoral degree,27,32256,80
C0062,Private,Doctoral degree,27,32142,73
C0063,Private,Doctoral degree,,,
C0064,Private,Master's degree,24,28122,79
C0065,Private,Doctoral degree,35,41538,11
C0066,Private,Doctoral degree,26,35720,48
C0067,Public,Master's degree,30,8724,31
C0068,Private,Doctoral degree,,15816,49
C0069,Public,Master's degree,22,6775,66
C0070,Public,Doctoral degree,22,6491,72
C0071,Public,Doctoral degree,20,6550,58
C0072,Public,Doctoral degree,26,6350,52
C0073,Public,Master's degree,24,6972,72
C0074,Public,Master's degree,19,6100,57
C0075,Public,Doctoral degree,22,6287,58
C0076,Public,Doctoral degree,24,6186,46
C0077,Public,Doctoral degree,22,6550,69
C0078,Public,Doctoral degree,24,6240,31
C0079,Public,Doctoral degree,20,6344,68
C0080,Public,Doctoral degree,22,6525,46
C0081,Public,Doctoral degree,22,6628,70
C0082,Public,Doctoral degree,33,12864,18
C0083,Public,Doctoral degree,29,13895,45
C0084,Public,Doctoral degree,27,13149,42
C0085,Public,Doctoral degree,31,12697,22
C0086,Public,Doctoral degree,25,12960,62
C0087,Public,Doctoral degree,31,13271,38
C0088,Public,Doctoral degree,29,13746,44
C0089,Public,Doctoral degree,26,13397,60
C0090,Public,Bachelor's degree,26,6536,75
C0091,Private,Doctoral degree,29,43573,45
C0092,Private,Master's degree,25,29630,91
C0093,Private,Bachelor's degree,22,25888,49
C0094,Private,Doctoral degree,,,
C0095,Private,Master's degree,33,45625,12
C0096,Private,Master's degree,,20200,100
C0097,Private,Master's degree,25,40600,78
C0098,Private,Doctoral degree,,,
