ID,Degree of urbanization,Geographic region,Historically Black College or University?,Religious affiliation,Tribal college?
C0001,City: Midsize,Southeast,Yes,N/A,No
C0002,City: Midsize,Southeast,No,N/A,No
C0003,City: Midsize,Southeast,No,Churches of Christ,No
C0004,City: Midsize,Southeast,No,N/A,No
C0005,City: Midsize,Southeast,Yes,N/A,No
C0006,City: Small,Southeast,No,N/A,No
C0007,Town: Fringe,Southeast,No,N/A,No
C0008,City: Midsize,Southeast,No,N/A,No
C0009,City: Small,Southeast,No,N/A,No
C0010,City: Midsize,Southeast,No,United Methodist,No
C0011,Town: Distant,Southeast,Yes,Lutheran Church - Missouri Synod,No
C0012,City: Midsize,Southeast,No,Churches of Christ,No
C0013,City: Midsize,Southeast,No,United Methodist,No
C0014,City: Small,Southeast,No,N/A,No
C0015,Rural: Remote,Southeast,No,Baptist,No
C0016,Rural: Remote,Southeast,No,N/A,No
C0017,Suburb: Large,Southeast,Yes,Christian Methodist Episcopal,No
C0018,Rural: Fringe,Southeast,No,Southern Baptist,No
C0019,Suburb: Large,Southeast,No,N/A,No
C0020,City: Small,Southeast,No,N/A,No
C0021,City: Midsize,Southeast,Yes,Seventh Day Adventists,No
C0022,Suburb: Large,Southeast,No,Baptist,No
C0023,City: Midsize,Southeast,No,N/A,No
C0024,City: Midsize,Southeast,No,Roman Catholic,No
C0025,City: Small,Southeast,Yes,Presbyterian Church (USA),No
C0026,Town: Distant,Southeast,Yes,United Church of Christ,No
C0027,Rural: Fringe,Southeast,No,N/A,No
C0028,Town: Distant,Southeast,Yes,N/A,No
C0029,City: Large,Far West,No,N/A,No
C0030,Suburb: Small,Far West,No,N/A,No
C0031,Town: Remote,Far West,No,N/A,No
C0032,City: Large,Far West,No,United Methodist,No
C0033,City: Large,Southwest,No,Assemblies of God Church,No
C0034,City: Midsize,Southwest,No,N/A,No
C0035,City: Large,Southwest,No,N/A,No
C0036,Rural: Fringe,Southwest,No,N/A,No
C0037,City: Small,Southwest,No,N/A,No
C0038,City: Large,Southwest,No,American Baptist,No
C0039,City: Small,Southwest,No,N/A,No
C0040,City: Large,Southwest,No,Undenominational,No
C0041,City: Midsize,Southeast,No,N/A,No
C0042,City: Midsize,Southeast,Yes,Baptist,No
C0043,Town: Remote,Southeast,No,Presbyterian Church (USA),No
C0044,City: Small,Southeast,No,N/A,No
C0045,City: Small,Southeast,Yes,N/A,No
C0046,City: Small,Southeast,No,N/A,No
C0047,Town: Remote,Southeast,No,N/A,No
C0048,Town: Remote,Southeast,No,N/A,No
C0049,City: Small,Southeast,No,N/A,No
C0050,City: Small,Southeast,No,Baptist,No
C0051,Town: Distant,Southeast,No,Churches of Christ,No
C0052,Town: Distant,Southeast,No,N/A,No
C0053,City: Small,Southeast,No,United Methodist,No
C0054,Town: Distant,Southeast,No,N/A,No
C0055,Town: Distant,Southeast,No,Southern Baptist,No
C0056,Town: Remote,Southeast,No,Presbyterian Church (USA),No
C0057,City: Midsize,Southeast,Yes,United Methodist,No
C0058,Rural: Distant,Southeast,No,Southern Baptist,No
C0059,Town: Remote,Southeast,No,N/A,No
C0060,City: Small,Southeast,No,N/A,No
C0061,Suburb: Large,Far West,No,Undenominational,No
C0062,Suburb: Large,Far West,No,Undenominational,No
