ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0001,15,19,370,450,350,450,,
C0002,22,28,520,640,520,650,,
C0003,,,,,,,,
C0004,23,29,510,640,510,650,,
C0005,15,19,380,480,370,480,,
C0006,22,30,490,620,500,640,480,600
C0007,,,,,,,,
C0008,18,23,,,,,,
C0009,24,30,520,620,540,650,510,620
C0010,23,29,520,630,520,640,,
C0011,,,,,,,,
C0012,,,,,,,,
C0013,19,24,420,500,420,540,,
C0014,19,26,430,540,420,540,,
C0015,19,24,550,640,500,600,530,610
C0016,18,22,,,,,,
C0017,,,,,,,,
C0018,20,25,470,610,470,680,,
C0019,20,26,495,613,465,550,440,580
C0020,19,25,413,565,433,530,,
C0021,17,22,410,513,400,510,,
C0022,23,28,500,630,510,610,500,610
C0023,20,26,440,550,435,565,420,520
C0024,21,27,480,600,480,600,480,610
C0025,17,20,350,450,383,438,,
C0026,,,,,,,,
C0027,18,24,,,,,,
C0028,18,22,400,510,400,520,,
C0029,,,,,,,,
C0030,,,,,,,,
C0031,,,,,,,,
C0032,20,24,465,575,450,510,435,568
C0033,,,,,,,,
C0034,22,28,500,620,520,650,,
C0035,21,27,483,600,500,630,480,590
C0036,23,29,500,630,540,650,490,600
C0037,20,25,470,580,470,580,450,560
C0038,,,,,,,,
C0039,22,30,480,640,420,600,490,580
C0040,20,25,440,580,455,600,,
C0041,20,27,360,480,410,480,,
C0042,,,,,,,,
C0043,22,28,470,600,540,610,460,600
C0044,23,28,500,600,520,630,,
C0045,15,20,330,430,348,493,340,430
C0046,21,26,410,515,458,548,413,478
C0047,18,25,370,490,410,520,370,490
C0048,,,,,,,,
C0049,20,26,,,,,,
C0050,18,23,430,590,470,670,430,620
C0051,22,28,490,630,500,620,,
C0052,19,24,460,538,490,590,,
C0053,26,32,530,680,540,650,,
C0054,22,28,500,640,505,640,490,610
C0055,21,27,440,550,460,580,,
C0056,20,26,420,550,450,550,,
C0057,,,,,,,,
C0058,19,24,350,430,410,510,,
C0059,18,24,410,520,430,590,,
C0060,19,25,350,540,430,620,390,550
C0061,21,27,490,600,490,610,,
C0062,22,27,500,620,503,620,490,620
C0063,,,,,,,,
C0064,18,24,430,550,420,560,420,540
C0065,33,35,720,800,770,800,720,790
C0066,22,26,500,590,510,613,,
C0067,25,30,550,650,590,690,,
C0068,,,,,,,,
C0069,15,22,390,500,400,520,,
C0070,16,22,400,510,410,520,,
C0071,16,20,390,490,400,510,,
C0072,20,26,460,570,490,620,,
C0073,19,24,450,550,460,570,,
C0074,15,19,380,470,380,470,,
C0075,16,22,400,510,410,530,,
C0076,19,24,450,550,470,580,,
C0077,16,22,400,500,400,520,,
C0078,18,24,440,550,460,590,,
C0079,15,20,380,480,390,510,,
C0080,16,22,400,510,400,530,,
