ID,IMDB Rating
M004,7
M172,7
M157,5.1
M235,6.9
M196,7.9
M223,6.3
M082,7.2
M240,6.9
M085,6.8
M117,7.6
M084,8
M125,6.9
M202,5.6
M150,5.8
M027,8.1
M195,7.4
M171,6.9
M111,6.1
M124,7.4
M112,5.6
M224,6.4
M242,6.1
M225,6.7
M077,6.6
M170,5.8
M079,5.6
M044,7.2
M109,6
M246,5.1
M147,6.1
M159,5.9
M083,5.6
M046,7.4
M065,6.8
M127,7.4
M154,6.1
M007,7.3
M247,6.7
M098,6.3
M016,6.1
M090,8.3
M232,6.8
M018,
M119,7.5
M070,5.2
M035,6.6
M208,5.2
M238,7.1
M233,7.4
M237,5.9
M104,5.6
M209,5.3
M029,6.9
M182,6.1
M189,6.3
M165,6.1
M048,5.9
M114,6.2
M123,6.4
M163,7.2
M023,5.1
M107,6.5
M194,5.5
M113,5.7
M137,7
M243,7.9
M089,5.3
M028,6.8
M146,5.3
M069,6.4
M192,6
M087,6.4
M212,6.8
M167,5.6
M204,4.8
M075,7.1
M131,5.3
M177,4.1
M034,6.8
M009,4.9
M049,7.9
M213,6
M205,7.6
M081,7.6
M060,7.5
M231,6.2
M100,4.7
M236,7.5
M080,6
M122,5.3
M022,7.9
M173,7.1
M078,6.4
M039,7.5
M203,6.9
M249,7.2
M030,6.6
M245,6
M033,6.6
M226,6.9
M151,5.4
M155,8.7
M220,5.3
M175,
M006,6.3
M120,5.7
M017,7.9
M187,6.1
M025,6.7
M206,7.1
M003,8
M031,5.3
M110,6.8
M214,6.2
M191,6.5
M161,3.5
M128,5.5
M169,8
M222,6.4
M071,6.1
M219,6.2
M145,6.9
M062,7.5
M185,5.1
M068,5.7
M026,7.3
M207,8.4
M106,6.9
M019,7.3
M001,6.6
M140,3.3
M099,5.6
M144,6.4
M013,
M148,7.1
M066,7.3
M061,5.9
M227,7.9
M076,6.6
M036,6
M059,5.9
M041,6.5
M045,4.6
M067,7.4
M047,6.6
M174,7.1
M042,5.2
M193,8
M180,5.3
M162,5.4
M008,6.4
M135,6.7
M143,6.8
M086,7.7
M198,7.1
M139,7.1
M130,6.5
M096,5.3
M094,5.6
M215,6.8
M184,7.5
M199,6.4
M153,6.3
M012,6.8
M057,7.6
M176,2.2
M183,6.2
M211,
M118,4.5
M178,6.4
M011,5.9
M073,
M241,5.3
M038,7.9
M063,7.8
M200,8.2
M021,7.3
M250,7.1
M216,4.5
M072,7.9
M052,6.6
M040,5.9
M055,7.3
M020,6.4
M088,7.8
M186,6.3
M134,6.2
M015,7.4
M179,6.1
M101,6.7
M218,7.4
M092,7.3
M152,8.4
M093,7.2
M164,6.3
M024,6.5
M181,6.2
M005,6.6
M002,7
M244,7.9
M133,6.8
M051,5.7
M105,7.4
M158,7.2
M116,6.5
M050,6.4
M103,4.6
M014,6.6
M239,6.6
M095,5.7
M010,5.5
M102,3.3
M229,6.9
M248,7.8
M056,7.6
M064,5.3
M156,6.7
M136,7.2
M091,6.7
M037,7.2
M043,6.2
M142,4.8
M058,6.4
M166,6.5
M190,5.4
M168,6.6
M160,7.2
M121,7.3
M126,6.7
M115,5.4
M217,7.3
M210,6.9
M138,6.7
M228,7.3
M230,7.1
M132,6.1
M053,6.6
M197,7.5
M108,7.4
M074,6.2
M054,6.6
M129,5.7
M201,2.3
M221,7.1
M188,6.4
M032,6.8
M097,8.2
M234,5.5
M149,5.3
M141,6.3
