ID,Rotten Tomatoes Rating
M001,
M002,65
M003,94
M004,
M005,37
M006,50
M007,64
M008,51
M009,16
M010,28
M011,42
M012,
M013,
M014,78
M015,53
M016,
M017,94
M018,81
M019,77
M020,32
M021,82
M022,95
M023,20
M024,51
M025,74
M026,62
M027,96
M028,24
M029,43
M030,40
M031,17
M032,73
M033,67
M034,
M035,76
M036,
M037,82
M038,92
M039,92
M040,
M041,50
M042,45
M043,86
M044,33
M045,30
M046,62
M047,
M048,
M049,86
M050,39
M051,53
M052,55
M053,70
M054,85
M055,70
M056,
M057,85
M058,55
M059,39
M060,78
M061,
M062,85
M063,79
M064,40
M065,
M066,66
M067,77
M068,22
M069,59
M070,26
M071,22
M072,92
M073,48
M074,8
M075,
M076,69
M077,75
M078,49
M079,30
M080,47
M081,
M082,
M083,30
M084,
M085,53
M086,63
M087,
M088,
M089,30
M090,77
M091,82
M092,85
M093,
M094,83
M095,69
M096,10
M097,98
M098,
M099,
M100,
M101,67
M102,24
M103,12
M104,24
M105,73
M106,
M107,54
M108,82
M109,22
M110,40
M111,
M112,
M113,34
M114,64
M115,11
M116,58
M117,79
M118,12
M119,89
M120,44
M121,
M122,
M123,84
M124,92
M125,88
M126,47
M127,78
M128,10
M129,17
M130,
M131,42
M132,50
M133,71
M134,31
M135,
M136,88
M137,45
M138,81
M139,50
M140,5
M141,25
M142,3
M143,79
M144,
M145,
M146,24
M147,42
M148,63
M149,24
M150,30
M151,9
M152,88
M153,46
M154,38
M155,86
M156,
M157,7
M158,83
M159,
M160,53
M161,11
M162,22
M163,
M164,51
M165,69
M166,50
M167,27
M168,58
M169,95
M170,55
M171,71
M172,84
M173,84
M174,82
M175,
M176,2
M177,23
M178,61
M179,43
M180,38
M181,18
M182,71
M183,27
M184,79
M185,
M186,
M187,55
M188,
M189,
M190,38
M191,51
M192,47
M193,81
M194,27
M195,95
M196,97
M197,81
M198,92
M199,38
M200,78
M201,
M202,
M203,70
M204,2
M205,
M206,60
M207,99
M208,
M209,
M210,59
M211,53
M212,76
M213,
M214,68
M215,31
M216,19
M217,74
M218,
M219,54
M220,
M221,
M222,75
M223,92
M224,29
M225,78
M226,
M227,82
M228,62
M229,74
M230,60
M231,
M232,60
M233,
M234,17
M235,76
M236,89
M237,80
M238,73
M239,57
M240,
M241,
M242,61
M243,64
M244,89
M245,16
M246,36
M247,44
M248,
M249,78
M250,69
