ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Production Budget,Genre
M001,PG-13,2002,92,0,21000000,Contemporary Fiction
M002,R,2008,101,65,24000000,Contemporary Fiction
M003,PG-13,2006,144,94,102000000,Contemporary Fiction
M004,PG-13,2007,104,0,20000000,Contemporary Fiction
M005,PG,2006,102,37,35000000,Dramatization
M006,PG-13,1996,102,50,21500000,Contemporary Fiction
M007,R,1998,120,64,12000000,Contemporary Fiction
M008,PG,2000,95,51,75000000,Science Fiction
M009,PG,1996,89,16,60000000,Kids Fiction
M010,R,2000,112,28,90000000,Science Fiction
M011,PG-13,2001,102,42,80000000,Contemporary Fiction
M012,PG,2001,153,0,72000000,Historical Fiction
M013,R,1999,120,0,100000000,Fantasy
M014,PG-13,2006,130,78,75000000,0
M015,R,2001,131,53,0,Historical Fiction
M016,PG-13,2002,115,0,42000000,Contemporary Fiction
M017,PG-13,2008,126,94,186000000,Super Hero
M018,PG-13,2004,117,81,30000000,Contemporary Fiction
M019,R,2003,91,77,0,0
M020,PG-13,2009,121,32,50000000,0
M021,PG-13,2000,145,82,80000000,Dramatization
M022,G,2005,85,95,30000000,Kids Fiction
M023,PG-13,2003,95,20,19000000,Contemporary Fiction
M024,R,1997,135,51,80000000,Contemporary Fiction
M025,PG,2006,108,74,85000000,Kids Fiction
M026,R,2003,90,62,28000000,Contemporary Fiction
M027,G,2007,111,96,150000000,Fantasy
M028,PG-13,2006,118,24,35000000,Contemporary Fiction
M029,PG-13,2010,140,43,210000000,Historical Fiction
M030,PG-13,2010,114,40,8300000,Contemporary Fiction
M031,PG-13,1996,113,17,45000000,Contemporary Fiction
M032,PG-13,2008,90,73,10000000,Contemporary Fiction
M033,R,2001,159,67,109000000,Dramatization
M034,R,2009,120,0,29000000,Dramatization
M035,PG-13,2006,157,76,232000000,0
M036,PG-13,2007,91,0,180000000,Contemporary Fiction
M037,R,1999,139,82,40000000,Historical Fiction
M038,R,1999,112,92,13000000,Fantasy
M039,PG,2007,108,92,85000000,Fantasy
M040,R,2008,106,0,30000000,Contemporary Fiction
M041,R,1997,155,50,0,Contemporary Fiction
M042,PG,1999,116,45,70000000,Contemporary Fiction
M043,R,2000,116,86,3000000,Factual
M044,PG-13,2004,143,33,55000000,Historical Fiction
M045,PG-13,2001,83,30,22000000,Contemporary Fiction
M046,R,1999,118,62,0,Dramatization
M047,R,2008,105,0,65000000,Science Fiction
M048,G,2001,115,0,30000000,Contemporary Fiction
M049,R,2004,109,86,2500000,Contemporary Fiction
M050,R,2001,131,39,0,Contemporary Fiction
M051,PG,2000,104,53,123000000,Kids Fiction
M052,PG,2005,83,55,75000000,Kids Fiction
M053,R,1996,121,70,70000000,Contemporary Fiction
M054,R,1996,115,85,46000000,Historical Fiction
M055,R,2003,152,70,0,Historical Fiction
