ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating
M001,PG-13,2002,92,
M002,R,2008,101,65
M003,PG-13,2006,144,94
M004,PG-13,2007,104,
M005,PG,2006,102,37
M006,PG-13,1996,102,50
M007,R,1998,120,64
M008,PG,2000,95,51
M009,PG,1996,89,16
M010,R,2000,112,28
M011,PG-13,2001,102,42
M012,PG,2001,153,
M013,R,1999,120,
M014,PG-13,2006,130,78
M015,R,2001,131,53
M016,PG-13,2002,115,
M017,PG-13,2008,126,94
M018,PG-13,2004,117,81
M019,R,2003,91,77
M020,PG-13,2009,121,32
M021,PG-13,2000,145,82
M022,G,2005,85,95
M023,PG-13,2003,95,20
M024,R,1997,135,51
M025,PG,2006,108,74
M026,R,2003,90,62
M027,G,2007,111,96
M028,PG-13,2006,118,24
M029,PG-13,2010,140,43
M030,PG-13,2010,114,40
M031,PG-13,1996,113,17
M032,PG-13,2008,90,73
M033,R,2001,159,67
M034,R,2009,120,
M035,PG-13,2006,157,76
M036,PG-13,2007,91,
M037,R,1999,139,82
M038,R,1999,112,92
M039,PG,2007,108,92
M040,R,2008,106,
M041,R,1997,155,50
M042,PG,1999,116,45
M043,R,2000,116,86
M044,PG-13,2004,143,33
M045,PG-13,2001,83,30
M046,R,1999,118,62
M047,R,2008,105,
M048,G,2001,115,
M049,R,2004,109,86
M050,R,2001,131,39
M051,PG,2000,104,53
M052,PG,2005,83,55
M053,R,1996,121,70
M054,R,1996,115,85
M055,R,2003,152,70
M056,PG-13,1996,105,
M057,R,1997,154,85
M058,PG-13,1997,119,55
M059,R,1998,86,39
M060,R,1998,166,78
M061,PG-13,1998,110,
M062,PG-13,2003,138,85
M063,R,2006,136,79
M064,PG-13,2002,91,40
M065,R,2001,123,
M066,R,2009,98,66
M067,PG,2002,81,77
M068,PG-13,2004,119,22
M069,R,2000,94,59
M070,PG-13,2007,110,26
M071,R,1999,116,22
M072,R,1997,152,92
M073,R,1999,110,48
M074,R,2007,95,8
M075,PG-13,1997,148,
M076,R,1996,120,69
M077,PG,2002,95,75
M078,PG,2000,90,49
M079,PG-13,2005,115,30
M080,R,2006,132,47
M081,R,2003,113,
M082,PG,2009,90,
M083,PG,2004,120,30
M084,R,2003,137,
M085,R,2001,104,53
M086,R,2007,128,63
M087,PG-13,1999,96,
M088,PG-13,2006,116,
M089,R,2003,136,30
M090,R,2005,126,77
M091,R,2009,85,82
M092,R,2002,125,85
M093,R,2001,111,
M094,PG,2002,78,83
M095,PG-13,2005,113,69
M096,PG-13,2002,117,10
M097,R,2008,109,98
M098,PG-13,1996,110,
M099,PG,1996,90,
M100,PG,2002,86,
M101,R,1999,111,67
