ID,Control,Highest degree offered,,Admission rate (%),Admission yield (%),Admissions total,Applicants total,Tuition and fees 2013-14 ($),Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),Geographic region,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0001,Public,Doctoral degree,,,,,,14280,1117,0,8,1125,1125,40,62,65,New England,24,28,520,620,570,665,495,600
C0002,Public,Doctoral degree,,52,36,855,1638,10626,10499,2398,2850,13349,10951,33,54,59,Southeast,19,24,430,560,430,550,,
C0003,Private,Doctoral degree,,73,23,475,652,42305,5982,1105,2711,8693,7588,81,85,86,Southeast,19,24,410,520,420,440,420,450
C0004,Public,Doctoral degree,,81,44,4162,5117,31018,3,52,338,341,289,2,6,10,Rocky Mountains,20,25,510,560,450,548,495,548
C0005,Public,Doctoral degree,,61,43,209,344,33332,2126,108,135,2261,2153,9,9,12,Southeast,19,23,440,530,450,560,430,530
C0006,Public,Doctoral degree,,68,21,1833,2699,13130,1701,311,81,1782,1471,32,41,44,Great Lakes,21,26,490,600,470,600,,
C0007,Public,Bachelor's degree,,9,53,2670,30304,24970,4083,561,3990,8073,7512,50,61,63,Mid East,,,,,,,,
C0008,Public,Doctoral degree,,73,26,4297,5872,12380,1436,295,297,1733,1438,23,43,49,Far West,20,25,450,600,470,600,460,580
C0009,Public,Doctoral degree,,76,34,1926,2536,32850,13321,4193,1638,14959,10766,21,41,43,Far West,,,,,,,,
C0010,Private,Bachelor's degree,,60,13,4006,6623,34330,9155,711,972,10127,9416,56,57,57,Far West,25,29,560,640,550,640,560,640
C0011,Private,Bachelor's degree,,62,30,1833,2933,28430,2253,0,21,2274,2274,59,75,76,Great Lakes,,,430,540,440,540,440,540
C0012,Private,Doctoral degree,,84,33,846,1007,39842,2113,0,15,2128,2128,13,13,13,Plains,19,25,440,550,460,570,430,550
C0013,Private,Bachelor's degree,,87,18,4949,5695,10680,10308,1163,1719,12027,10864,31,51,54,Southeast,22,28,460,620,530,680,,
C0014,Public,Doctoral degree,,80,34,1994,2493,7507,10582,2271,3943,14525,12254,57,70,71,Southeast,,,413,519,472,574,,
