ID,Rotten Tomatoes Rating
M109,22
M208,
M180,38
M143,79
M001,
M133,71
M054,85
M035,76
M243,64
M131,42
M187,55
M126,47
M250,69
M122,
M052,55
M078,49
M040,
M149,24
M029,43
M114,64
M225,78
M204,2
M075,
M024,51
M183,27
M164,51
M203,70
M057,85
M159,
M138,81
M017,94
M116,58
M189,
M104,24
M218,
M003,94
M212,76
M161,11
M139,50
M167,27
M026,62
M046,62
M130,
M166,50
M023,20
M065,
M181,18
M200,78
M068,22
M227,82
M157,7
M224,29
M152,88
M041,50
M238,73
M059,39
M132,50
M113,34
M038,92
M007,64
M154,38
M056,
M091,82
M202,
M039,92
M022,95
M188,
M060,78
M102,24
M070,26
M076,69
M233,
M198,92
M030,40
M179,43
M234,17
M111,
M231,
M008,51
M213,
M033,67
M223,92
M064,40
M094,83
M016,
M247,44
M206,60
M184,79
M110,40
M158,83
M146,24
M248,
M042,45
M011,42
M151,9
M169,95
M216,19
M009,16
M082,
M174,82
M103,12
M021,82
M241,
M192,47
M249,78
M069,59
M136,88
M032,73
M079,30
M077,75
M004,
M019,77
M062,85
M170,55
M128,10
M162,22
M182,71
M063,79
M067,77
M173,84
M018,81
M048,
M178,61
M098,
M226,
M085,53
M236,89
M235,76
M232,60
M197,81
M050,39
M230,60
M071,22
M115,11
M084,
M002,65
M006,50
M012,
M096,10
M185,
M086,63
M117,79
M043,86
M134,31
M194,27
M214,68
M081,
M119,89
M193,81
M205,
M150,30
M135,
M047,
M101,67
M014,78
M229,74
M221,
M217,74
M066,66
M148,63
M175,
M199,38
M097,98
M015,53
M176,2
M140,5
M246,36
M087,
M083,30
M163,
M168,58
M145,
M222,75
M088,
M244,89
M160,53
M036,
M209,
M090,77
M092,85
M105,73
M020,32
M171,71
M010,28
M055,70
M195,95
M121,
M124,92
M072,92
M153,46
M129,17
M112,
M186,
M142,3
M053,70
M141,25
M239,57
M045,30
M237,80
M106,
M027,96
M123,84
M172,84
M031,17
M080,47
M127,78
M215,31
M061,
M228,62
M201,
M120,44
M095,69
M196,97
M005,37
M177,23
M125,88
M207,99
M191,51
M073,48
M100,
M108,82
M242,61
M013,
M155,86
M093,
M037,82
M058,55
M028,24
M034,
M245,16
M240,
M107,54
M099,
M156,
M190,38
M074,8
M118,12
M025,74
M137,45
M220,
M219,54
M051,53
M147,42
M144,
M089,30
M049,86
M044,33
M210,59
M165,69
M211,53
