ID,Annual income ($),Home ownership,Job title,Length of employment (years)
L378,150000,Mortgage,Senior Director,10
L180,75181.21,Mortgage,Speech Language Pathologist,2
L459,63800,Mortgage,Teacher,10
L152,28000,Rent,maintenance ,10
L275,30000,Own,iron fitter,1
L072,75000,Own,Application Analyst,9
L066,60000,Mortgage,Accountant,2
L297,59000,Rent,teacher,8
L178,30000,Rent,Dental Assistant,1
L001,55000,Mortgage,leadman,10
L396,175000,Mortgage,Owner,10
L250,40000,Rent,Sr. Business Specialist,1
L137,80000,Mortgage,Billing Supervisor,10
L341,76497,Rent,Clinical Documentation Specialist,7
L319,123000,Mortgage,Project Manager ,2
L436,95000,Mortgage,account manager,10
L428,55000,Mortgage,CNA,1
L223,60000,Rent,maintenance,10
L002,65000,Mortgage,Engineer,10
L294,65000,Mortgage,College professor,10
L127,54000,Mortgage,machines,9
L113,90000,Own,Unix System Administrator,10
L411,70000,Rent,Executive Chef,10
L042,55000,Mortgage,Educator ,2
L331,58000,Mortgage,,
L116,33000,Rent,Paralegal,2
L100,20000,Own,Department Manager ,9
L281,55000,Rent,Analytical Research Scientist,2
L342,67000,Mortgage,Police Officer,10
L374,140000,Mortgage,National Sales Manager,10
L400,66500,Own,Designer/Programmer,5
L312,115000,Rent,foreman pipe fitter ,10
L168,41501,Rent,Secreatary 1,3
L401,74000,Mortgage,Media Operations Manager,1
L447,100000,Mortgage,Pilot,10
L252,70000,Rent,Lieutenant,10
L404,150000,Mortgage,It director,2
L292,110000,Mortgage,Division Manager,1
L494,54000,Rent,Teacher,2
L469,145000,Rent,Sales Account Manager,10
L271,55000,Mortgage,Service technician,10
L011,95000,Mortgage,Executive Director,6
L352,37380,Rent,Shipping & Receiving,10
L417,57000,Mortgage,Procurement ,1
L473,105000,Mortgage,Driver,10
L242,220000,Rent,SALES,5
L290,120000,Mortgage,Lieutenant ,10
L470,160000,Mortgage,Group Manager,1
L201,122400,Mortgage,Account Manager,8
L222,85000,Mortgage,Sales,2
L351,115000,Mortgage,Service Technian Lead,1
L162,105000,Rent,Director,1
L146,45000,Mortgage,,
L192,106284,Mortgage,Project Manager,10
L365,40000,Mortgage,manager,1
L181,52000,Rent,manager,10
L102,72000,Own,Accounts Payable Manager,6
L437,56000,Own,Maint. Machinist,10
L393,55000,Rent,General Manager,1
L005,104433,Mortgage,Contract Specialist,3
L432,33000,Rent,sales associate,10
L233,76500,Rent,Executive Admin,10
L206,37231,Rent,Case Manager,3
L231,80000,Mortgage,Registered Nurse ,1
L065,145000,Mortgage,President,10
L039,72500,Mortgage,Legal Administrative Assistant,10
L475,82000,Own,Business Analyst,10
L216,42900,Rent,Revenue Control Specialist,8
L089,70000,Mortgage,Supply Chain Coord.,10
L324,97000,Mortgage,Police Officer,1
L171,59307,Mortgage,analyst,10
L148,40000,Rent,Medical Support Assistant,3
L248,65000,Rent,Sr Sales Executive,6
L118,120000,Mortgage,"Director, Human Resources",8
L123,60000,Rent,Truck Driver,1
L191,21610,Rent,Valued Associate,1
L355,75000,Mortgage,letter carrier,10
L004,110000,Mortgage,Information Systems Officer,10
L269,50000,Rent,Project Coordinator,1
L044,75000,Rent,Manager,5
L147,70000,Mortgage,President,1
L270,40000,Rent,Driver,7
L157,78000,Mortgage,Financial Systems Analyst,9
L403,100000,Mortgage,Problem Manager Level 2,1
L229,180000,Mortgage,Financial Manager,10
L104,104000,Rent,Aviation Safety Inspector,8
L210,97000,Own,Teacher,10
L193,25000,Rent,Graduate Student ,1
L254,74967,Mortgage,,
L062,47590,Rent,Wire Technician,1
L368,72500,Mortgage,Executive Steward,3
L037,52000,Rent,Resident physician,1
L426,115000,Rent,pit Manager,10
L120,60000,Mortgage,Project Supervisor,2
L318,117000,Mortgage,Head of Corporate Physical Security,1
L010,42000,Mortgage,Vendor liaison,10
L079,60000,Rent,Manager,4
L155,52000,Mortgage,Officer / Sheriff's office,10
L500,35000,Own,Accounting Clerk,4
L499,76000,Mortgage,Owner,6
L208,93000,Mortgage,Purchasing Manager,2
L161,80000,Mortgage,Mechanic,10
L077,150000,Mortgage,Director,1
L422,168400,Mortgage,Project Manager,10
L184,75000,Mortgage,Client Service Manager,1
L492,111000,Own,System Administrator,3
L274,41000,Rent,Clerk Typist II,9
L203,95000,Own,Senior Business Analyst,3
L467,40000,Own,Sales,10
L243,75000,Mortgage,O&M Specialist III,5
L495,76000,Mortgage,Information Specialist 4,10
L387,35037,Own,GIS Specialist,3
L276,67000,Rent,Social Worker Supervisor,2
L262,70000,Rent,Purchasing Assistant,5
L031,65000,Mortgage,"Owner, Fee Appraiser ",10
L255,13000,Mortgage,Sales Associate,1
L151,49000,Mortgage,Accounting senior,10
L496,55000,Mortgage,,
L160,87500,Rent,Veterinarian,3
L402,48000,Mortgage,Truck Driver,3
L069,70000,Own,Facilities Coordinator,10
L239,54000,Rent,Master Carpenter,3
L445,84000,Mortgage,CPS Supervisor,10
L221,85000,Own,Sales Manager,3
L126,58800,Mortgage,Director,4
L280,64400,Mortgage,Senior Compliance Analyst ,9
L279,60000,Own,Truck Driver,9
L063,39000,Mortgage,accts payable,10
L356,128000,Rent,General Manager,4
L111,100000,Mortgage,Master mechanic,4
L020,55000,Rent,Program Coordinator ,8
L198,85000,Rent,Producer,1
L227,132500,Mortgage,IT Supervisor,9
L238,65000,Rent,Accounting Supervisor,8
L259,50000,Rent,Benefits Consultant,10
L407,54744,Mortgage,,
L043,142000,Mortgage,Registered Nurse,9
L337,22000,Rent,Teller,1
L097,40000,Rent,Salesman,3
L143,50000,Rent,Sales Person,1
L059,50000,Mortgage,Site lead,10
L419,43000,Rent,Supervisor,10
L451,60000,Mortgage,Owner,1
L293,110000,Mortgage,Division Director OBGYN ,2
L361,35179,Mortgage,Exec. Administrative,1
L493,70000,Rent,Production Supervisor,3
L484,77700,Rent,,
L156,90000,Own,Paralegal,1
L288,60000,Mortgage,Orientation ,10
L465,70000,Rent,Nurse Lvn ,5
L359,95750,Rent,service advisor ,2
L391,60000,Mortgage,Area Manager,10
L480,75000,Mortgage,Team member ,10
L388,50000,Mortgage,Truck driver,1
L322,120000,Mortgage,Account manager,10
L313,47000,Rent,Executive Assistant,10
L373,98000,Mortgage,irrigation technician,1
L264,115000,Mortgage,Senior Electrical Engineer,5
L196,43000,Rent,Nurse,2
L014,150000,Rent,Software Manager,7
L327,154000,Mortgage,"Associate Director, Info. Management",10
L392,84468,Rent,Registered Nurse,1
L430,105000,Mortgage,Outbound Warehouse Manager,10
L471,205000,Rent,Pilot,10
L132,55000,Own,Driver,1
L371,43500,Rent,admin//qa,3
L485,88000,Mortgage,Sales,4
L028,109000,Mortgage,Professional Sales Associate,1
L333,80000,Mortgage,Sr Tax Accountant,1
L026,35000,Rent,mechanic,5
L114,92000,Mortgage,Electronic Branch Manager,3
L306,32760,Rent,Accounting ,3
L474,54000,Rent,O&M Specialist II,6
L061,42000,Rent,Merchandise Manager,1
L345,95000,Mortgage,Commander /03,10
L172,55000,Mortgage,Social Worker,1
L346,65000,Mortgage,Teacher,10
L023,125000,Own,Director of Product Development ,2
L440,120000,Mortgage,Pharmacist,3
L372,26000,Rent,Logistics,3
L024,79000,Rent,General Manager,2
L145,110000,Mortgage,Cosmetologist Manager,10
L025,100000,Mortgage,Analyst,10
L131,83000,Rent,Outside Account Manager,2
L265,92892,Mortgage,RN,8
L106,39750,Rent,Software Testing Analyst,2
L226,30160,Rent,Mechanic,7
L081,65000,Mortgage,Senior Buyer,10
L236,90000,Own,Account manager,10
L458,60000,Mortgage,account sales mng,10
L284,90000,Rent,Systems Software Specialist II,2
L408,80000,Rent,Customer advocate,1
L189,75000,Own,RRT,6
L386,52000,Mortgage,Public Services Librarian,7
L213,68000,Own,Financial Planner,10
L112,105000,Mortgage,Road driver,10
L325,92250,Mortgage,Systems Administrator II,5
L490,52000,Mortgage,sales/merchandiser,5
L488,42500,Rent,Sales Associate,1
L071,102500,Mortgage,Manager,10
L307,121000,Own,Teacher,10
L016,60000,Mortgage,tech,8
L431,102000,Mortgage,Nurse Practitioner,8
L235,150000,Own,Lawyer,3
L214,297000,Rent,Physician,10
L268,160000,Mortgage,President,7
L497,80000,Mortgage,Director of Catering & Events,1
L449,107000,Mortgage,Professor,10
L486,76008,Mortgage,Attorney,4
L348,84000,Rent,Lean Manger,4
L336,85000,Rent,Technical manager,10
L370,83000,Rent,Certified Teacher,1
L343,91000,Mortgage,SR. Analyst,10
L179,40000,Mortgage,Advanced Analyst,10
L369,46000,Own,Department manager,10
L068,85000,Mortgage,Division General Manager,2
L477,60000,Own,Sales,1
L364,60000,Mortgage,PTC Support,1
L013,64000,Mortgage,Logistics Manager,3
L177,45000,Mortgage,,
L457,61000,Mortgage,driver,10
L464,120000,Own,Manager,5
L030,44000,Mortgage,DEPUTY SHERIFF,10
L017,109000,Mortgage,Sales Manager,10
L009,85000,Rent,SERVICE MANAGER,6
L416,75000,Own,Reliability Mechanic,10
L321,48000,Rent,administrative assistant,5
L362,160000,Rent,SALES MANAGER,3
L085,65000,Mortgage,groundsman,10
L130,42000,Rent,District Manager,1
L209,68000,Rent,Science teacher,10
L340,43700,Mortgage,A/C Technician,6
L040,110000,Rent,GM,6
L204,120000,Own,Director of Risk Management ,2
L036,59000,Mortgage,Carrier,10
L409,33000,Rent,teacher aid,10
L215,210000,Mortgage,Nurse Anestheti,2
L414,48112,Rent,Customer Service Manager,2
L399,66000,Rent,teacher/school employee,10
L406,81120,Mortgage,Benefits Subject Matter Expert,1
L482,155000,Mortgage,CEO/Therapist,4
L150,63000,Rent,Bartender,5
L154,49000,Mortgage,Teacher,10
L410,72000,Own,Controller honduras,2
L174,60000,Mortgage,Strategic Account Manager,4
L316,92500,Mortgage,Business Project Manager,2
L090,32000,Rent,Property Manager,6
L053,48000,Mortgage,Teacher,6
L219,60000,Mortgage,RN,8
L320,70000,Mortgage,Registered Nurse,1
L055,91392,Mortgage,Contract Specialist,4
L103,38000,Rent,general manager,5
L200,96000,Mortgage,Marketing manager,8
L051,69000,Mortgage,PRINTER,10
L096,45000,Mortgage,Counselor,1
L144,78000,Mortgage,Professor,10
L427,35000,Rent,Customer service,2
L234,100000,Rent,Executive Director ,10
L021,65000,Mortgage,Corporate Insurance,10
L050,50000,Mortgage,Teacher,10
L076,45000,Mortgage,,
L038,195000,Mortgage,Manager,10
L133,68000,Rent,Claims Rep ,6
L303,36500,Mortgage,Business Office Asst,10
L335,65000,Own,warehouse reciever/ lead,10
L272,144000,Mortgage,VP Manufacturing,10
L452,81000,Mortgage,IT Specialist,4
L423,34000,Mortgage,MHW2,3
L078,50000,Mortgage,Radiology Tech.,2
L338,85400,Mortgage,Director of Admissions,8
L008,85000,Mortgage,road driver,10
L212,70000,Mortgage,Executive Assistant,5
L256,85140,Mortgage,Automation Engineer,4
L045,100000,Mortgage,Associate Consultant,1
L007,180000,Mortgage,Vice President of Recruiting Operations,10
L173,82000,Mortgage,research scientist,10
L479,53040,Rent,ESTIMATING ASSISTANT,2
L186,99906,Mortgage,,
L084,110000,Own,Regional Sales Direcdtor,2
L032,75000,Mortgage,hvac technician,4
L357,22000,Rent,Part-time Supervisor ,3
L003,63000,Mortgage,truck driver,10
L435,80000,Rent,assistant svc manager ,3
L211,97000,Rent,fsm,10
L163,40000,Rent,Paraprofessional ,1
L105,39000,Own,IT Help Desk Support ,10
L311,127000,Mortgage,Program Analyst,10
L195,105000,Mortgage,technician,10
L101,77213,Rent,Counselor,4
L334,85000,Mortgage,Paint and Body technician ,1
L139,52000,Mortgage,nurse,2
L093,55000,Mortgage,"TEAM LEAD, QUALITY ENGINEER",6
L240,81000,Mortgage,legal secretary,5
L190,70000,Mortgage,Administrative Assistant,10
L033,98000,Rent,Public Affairs Specialist ,1
L382,50000,Mortgage,lead operator,1
L058,128000,Mortgage,Foreign Service Officer,10
L183,90000,Mortgage,Truck driver ,2
L397,156000,Mortgage,Assistant Vice President,10
L463,70000,Mortgage,Sales,1
L056,77900,Own,,
L329,35300,Rent,Dispatcher II,10
L141,55000,Rent,Desktop Support Anylist,2
L075,175000,Mortgage,Vice-President,2
L304,75000,Mortgage,Registered Nurse,8
L166,175000,Mortgage,VP of Operations,1
L455,77000,Mortgage,Senior Financial/Budget Analyst,3
L049,43160,Rent,Senior Service Specialist,2
L035,118000,Mortgage,CEO,10
L491,45000,Mortgage,Operation to Cash Analyst,1
L277,55000,Rent,Maintenance worker,10
L052,68046,Own,Teacher,10
L385,130000,Mortgage,Sr. Ops Coordinator,5
L167,55000,Mortgage,Teacher,8
L109,44500,Rent,Store Manager,2
L258,115000,Rent,Technician,10
L310,60000,Rent,Flight Attendant ,10
L006,34000,Rent,Veterinary Tecnician,4
L299,65000,Rent,Payroll Processor,1
L481,75000,Mortgage,,
L022,48000,Mortgage,Bookkeeper/Accounting,10
L394,40000,Rent,driver ,6
L314,22000,Rent,Phlebotomist ,3
L309,48000,Own,Table Games Supervisor,2
L169,75000,Mortgage,Administrative Manager ,9
L074,42500,Rent,CARDIOVASCULAR TECH,10
L442,53867,Mortgage,Teacher,3
L376,23200,Own,Manufacturing associate,2
L381,125000,Mortgage,Pharmacist,10
L108,65000,Mortgage,Teacher,10
L082,41600,Mortgage,Lpn,3
L253,120000,Own,Owner,10
L064,106000,Mortgage,Lieutenant ,7
L301,50000,Mortgage,Store Manager,10
L095,53750,Mortgage,Network Operation Engineer,4
L358,75000,Own,Accounting Manager,5
L054,60000,Own,Office Manager,10
L298,135000,Mortgage,IT Consultant,10
L263,180000,Mortgage,Nurse Manager,7
L232,92000,Mortgage,Quality Assurance Wings,10
L165,90247,Mortgage,Feeder Driver,9
