ID,Loan amount ($),Loan intent,Annual income ($),Loan grade,Loan interest rate (%),Home ownership,Job title,Length of employment (years),FICO score (high),FICO score (low),Total current balance ($)
L001,3600,Debt consolidation,55000,C,13.99,Mortgage,leadman,10,679,675,144904
L002,24700,Business,65000,C,11.99,Mortgage,Engineer,10,719,715,204396
L003,20000,,63000,B,10.78,Mortgage,truck driver,10,699,695,189699
L004,35000,Debt consolidation,110000,C,14.85,Mortgage,Information Systems Officer,10,789,785,301500
L005,10400,Major purchase,104433,F,22.45,Mortgage,Contract Specialist,3,699,695,331730
L006,11950,Debt consolidation,34000,C,13.44,Rent,Veterinary Tecnician,4,694,690,12798
L007,20000,Debt consolidation,180000,B,9.17,Mortgage,Vice President of Recruiting Operations,10,684,680,360358
L008,20000,Major purchase,85000,B,8.49,Mortgage,road driver,10,709,705,141601
L009,10000,Credit card refinancing,85000,A,6.49,Rent,SERVICE MANAGER,6,689,685,27957
L010,8000,Credit card refinancing,42000,B,11.48,Mortgage,Vendor liaison,10,704,700,199696
L011,22400,Debt consolidation,95000,C,12.88,Mortgage,Executive Director,6,714,710,376218
L012,16000,Debt consolidation,70000,C,12.88,Mortgage,Senior Structural Designer,1,724,720,265836
L013,1400,,64000,C,12.88,Mortgage,Logistics Manager,3,704,700,325695
L014,18000,Debt consolidation,150000,E,19.48,Rent,Software Manager,7,669,665,36247
L015,28000,Debt consolidation,92000,A,6.49,Mortgage,Senior Manager,10,724,720,221110
L016,9600,Credit card refinancing,60000,A,7.49,Mortgage,tech,8,699,695,55387
L017,25000,Debt consolidation,109000,A,7.49,Mortgage,Sales Manager,10,749,745,305781
L018,18000,Debt consolidation,112000,C,11.99,Mortgage,GS-11,10,804,800,205067
L019,23000,Credit card refinancing,64000,B,8.49,Rent,Teacher,5,704,700,63886
L020,8650,Debt consolidation,55000,E,19.89,Rent,Program Coordinator ,8,679,675,18926
L021,29900,Debt consolidation,65000,C,12.88,Mortgage,Corporate Insurance,10,719,715,220251
L022,16000,Credit card refinancing,48000,C,14.85,Mortgage,Bookkeeper/Accounting,10,689,685,31329
L023,28000,Debt consolidation,125000,C,13.44,Own,Director of Product Development ,2,699,695,22780
L024,5000,Credit card refinancing,79000,C,13.44,Rent,General Manager,2,669,665,35653
L025,6000,Debt consolidation,100000,A,7.49,Mortgage,Analyst,10,699,695,116195
L026,4225,Debt consolidation,35000,C,14.85,Rent,mechanic,5,729,725,4888
L027,20000,Debt consolidation,65000,A,5.32,Own,driver,9,839,835,15444
L028,16000,Debt consolidation,109000,D,17.97,Mortgage,Professional Sales Associate,1,684,680,182936
L029,17600,Credit card refinancing,88000,A,5.32,Mortgage,Network Security Specialist III,1,784,780,229082
L030,15000,Home improvement,44000,A,5.32,Mortgage,DEPUTY SHERIFF,10,689,685,17003
L031,16000,Business,65000,C,12.88,Mortgage,"Owner, Fee Appraiser ",10,679,675,39781
L032,24250,,75000,F,24.24,Mortgage,hvac technician,4,664,660,320098
L033,12000,Debt consolidation,98000,B,10.78,Rent,Public Affairs Specialist ,1,694,690,374585
L034,25000,Debt consolidation,79000,C,13.99,Mortgage,Executive Assistant,9,734,730,265233
L035,16800,Debt consolidation,118000,C,12.88,Mortgage,CEO,10,684,680,314793
L036,7000,Credit card refinancing,59000,A,7.49,Mortgage,Carrier,10,734,730,55222
L037,21000,Credit card refinancing,52000,C,13.99,Rent,Resident physician,1,684,680,372407
L038,27500,Other,195000,C,14.85,Mortgage,Manager,10,704,700,267500
L039,7200,Home improvement,72500,B,11.48,Mortgage,Legal Administrative Assistant,10,729,725,147791
L040,20000,Credit card refinancing,110000,C,14.85,Rent,GM,6,694,690,37491
L041,20000,Home buying,70000,D,15.77,Rent,Clinical Intake,5,684,680,63456
L042,10000,Credit card refinancing,55000,D,17.97,Mortgage,Educator ,2,689,685,288087
L043,16000,Debt consolidation,142000,C,13.99,Mortgage,Registered Nurse,9,684,680,667373
L044,20000,Debt consolidation,75000,B,9.8,Rent,Manager,5,729,725,40090
L045,8650,Credit card refinancing,100000,A,5.32,Mortgage,Associate Consultant,1,754,750,165450
L046,21000,Debt consolidation,54649,C,13.44,Rent,Teacher,2,674,670,51489
