ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Production Budget,Genre
M001,PG-13,2002,92, ,21000000,Action
M002,R,2008,101,65,24000000,Comedy
M003,PG-13,2006,144,94,102000000,Action
M004,PG-13,2007,104, ,20000000,Thriller
M005,PG,2006,102,37,35000000,Drama
M006,PG-13,1996,102,50,21500000,Comedy
M007,R,1998,120,64,12000000,Drama
M008,PG,2000,95,51,75000000,Adventure
M009,PG,1996,89,16,60000000,Comedy
M010,R,2000,112,28,90000000,Horror
M011,PG-13,2001,102,42,80000000,Comedy
M012,PG,2001,153, ,72000000,Drama
M013,R,1999,120, ,100000000,
M014,PG-13,2006,130,78,75000000,
M015,R,2001,131,53,,Drama
M016,PG-13,2002,115, ,42000000,Thriller
M017,PG-13,2008,126,94,186000000,Action
M018,PG-13,2004,117,81,30000000,Drama
M019,R,2003,91,77,,Comedy
M020,PG-13,2009,121,32,50000000,Thriller
M021,PG-13,2000,145,82,80000000,
M022,G,2005,85,95,30000000,Adventure
M023,PG-13,2003,95,20,19000000,Romantic Comedy
M024,R,1997,135,51,80000000,Thriller
M025,PG,2006,108,74,85000000,Adventure
M026,R,2003,90,62,28000000,
M027,G,2007,111,96,150000000,
M028,PG-13,2006,118,24,35000000,Drama
M029,PG-13,2010,140,43,210000000,Action
M030,PG-13,2010,114,40,8300000,Drama
M031,PG-13,1996,113,17,45000000,Drama
M032,PG-13,2008,90,73,10000000,Drama
M033,R,2001,159,67,109000000,Drama
M034,R,2009,120, ,29000000,Drama
M035,PG-13,2006,157,76,232000000,Adventure
M036,PG-13,2007,91, ,180000000,Action
M037,R,1999,139,82,40000000,Drama
M038,R,1999,112,92,13000000,Black Comedy
M039,PG,2007,108,92,85000000,
M040,R,2008,106, ,30000000,Thriller
M041,R,1997,155,50,,Drama
M042,PG,1999,116,45,70000000,Romantic Comedy
M043,R,2000,116,86,3000000,Concert
M044,PG-13,2004,143,33,55000000,Musical
M045,PG-13,2001,83,30,22000000,Comedy
M046,R,1999,118,62,,Drama
M047,R,2008,105, ,65000000,Action
M048,G,2001,115, ,30000000,Comedy
M049,R,2004,109,86,2500000,Drama
M050,R,2001,131,39,,Horror
M051,PG,2000,104,53,123000000,
M052,PG,2005,83,55,75000000,Adventure
M053,R,1996,121,70,70000000,Action
M054,R,1996,115,85,46000000,Drama
M055,R,2003,152,70,,
M056,PG-13,1996,105, ,5500000,
M057,R,1997,154,85,12000000,Drama
M058,PG-13,1997,119,55,110000000,
M059,R,1998,86,39,30000000,Action
M060,R,1998,166,78,,Drama
M061,PG-13,1998,110, ,40000000,Comedy
M062,PG-13,2003,138,85,135000000,Adventure
M063,R,2006,136,79,14000000,Drama
M064,PG-13,2002,91,40,60000000,Action
M065,R,2001,123, ,35000000,Thriller
M066,R,2009,98,66,21000000,Comedy
M067,PG,2002,81,77,65000000,Adventure
M068,PG-13,2004,119,22,,Comedy
M069,R,2000,94,59,16000000,Comedy
M070,PG-13,2007,110,26,120000000,Action
M071,R,1999,116,22,60000000,Drama
M072,R,1997,152,92,15000000,Drama
M073,R,1999,110,48,10000000,Action
M074,R,2007,95,8,32000000,Thriller
M075,PG-13,1997,148, ,,
M076,R,1996,120,69,,
M077,PG,2002,95,75,5000000,Romantic Comedy
M078,PG,2000,90,49,95000000,Adventure
M079,PG-13,2005,115,30,,Comedy
M080,R,2006,132,47,135000000,Action
M081,R,2003,113, ,15000000,Horror
M082,PG,2009,90, ,100000000,
M083,PG,2004,120,30,110000000,
M084,R,2003,137, ,30000000,Drama
M085,R,2001,104,53,22000000,Comedy
M086,R,2007,128,63,20000000,Drama
M087,PG-13,1999,96, ,,Comedy
M088,PG-13,2006,116, ,55000000,Drama
M089,R,2003,136,30,,Drama
M090,R,2005,126,77,40000000,Action
M091,R,2009,85,82,15000,Horror
M092,R,2002,125,85,30000000,Drama
M093,R,2001,111, ,,Drama
M094,PG,2002,78,83,120000000,
M095,PG-13,2005,113,69,55000000,Romantic Comedy
M096,PG-13,2002,117,10,70000000,Action
M097,R,2008,109,98,6000000,Drama
M098,PG-13,1996,110, ,80000000,Comedy
M099,PG,1996,90, ,30000000,Comedy
M100,PG,2002,86, ,84000000,Comedy
M101,R,1999,111,67,48000000,Drama
M102,PG,2000,90,24,58000000,Comedy
M103,PG,2001,95,12,,Adventure
M104,PG,2003,98,24,,Comedy
M105,R,2007,120,73,23000000,Drama
M106,R,2001,126, ,90000000,Action
M107,PG-13,2004,94,54,45000000,Thriller
M108,PG-13,2000,104,82,75000000,
M109,R,1999,103,22,32000000,Horror
M110,PG-13,2000,123,40,40000000,Drama
M111,G,1999,88, ,24000000,Comedy
M112,PG,1996,87, ,80000000,Comedy
M113,PG,2003,105,34,25000000,Comedy
M114,PG-13,2004,101,64,,Comedy
M115,PG-13,2001,91,11,16000000,Comedy
M116,PG-13,2005,118,58,90000000,Thriller
M117,R,2001,110,79,,Black Comedy
M118,PG-13,2008,84,12,20000000,Comedy
M119,PG,2004,92,89,70000000,Adventure
M120,PG-13,1996,117,44,45000000,Comedy
M121,G,1998,96, ,45000000,Adventure
M122,PG-13,1998,114, ,30000000,Drama
M123,R,2000,110,84,24000000,Black Comedy
M124,R,1999,103,92,8500000,Black Comedy
M125,R,1998,127,88,30000000,Drama
M126,R,1999,95,47,11000000,Drama
M127,PG-13,2007,138,78,150000000,Adventure
M128,R,1997,177,10,80000000,Action
M129,R,1997,95,17,25000000,Action
M130,PG-13,2002,115, ,38000000,Thriller
M131,PG-13,2003,133,42,85000000,Action
M132,PG-13,2008,120,50,37000000,Drama
M133,R,1999,120,71,32000000,Black Comedy
M134,PG-13,2005,113,31,82000000,
M135,R,2005,122, ,75000000,Action
M136,PG-13,2002,113,88,30000000,Musical
M137,PG-13,2007,167,45,300000000,Adventure
M138,R,2004,129,81,80000000,Thriller
M139,R,2004,127,50,25000000,Drama
M140,PG-13,2005,101,5,18000000,Horror
M141,R,2001,99,25,80000000,Action
M142,PG-13,2006,95,3,20000000,Thriller
M143,PG,1998,97,79,60000000,Adventure
M144,PG-13,2000,116, ,62000000,Action
M145,PG-13,1997,135, ,,Drama
M146,PG-13,2002,95,24,,Comedy
M147,PG-13,1998,150,42,,Adventure
M148,R,1996,107,63,20000000,Horror
M149,PG-13,2001,89,24,53000000,Thriller
M150,PG-13,2000,103,30,43000000,Comedy
M151,R,2008,98,9,45000000,Action
M152,R,2009,152,88,70000000,
M153,PG-13,2004,124,46,125000000,
M154,PG-13,1999,112,38,66000000,Thriller
M155,R,1999,136,86,65000000,Action
M156,PG-13,1998,136, ,65000000,Adventure
M157,PG,2007,90,7,35000000,
M158,R,1998,119,83,22000000,
M159,PG-13,2000,93, ,48000000,
M160,R,2004,118,53,50000000,Comedy
M161,PG-13,1997,130,11,125000000,Action
M162,PG-13,1996,115,22,80000000,Action
M163,R,2009,108, ,53000000,Thriller
M164,PG-13,1999,125,51,135000000,Action
M165,R,1996,105,69,45000000,Romantic Comedy
M166,R,1999,142,50,22000000,Drama
M167,R,2002,96,27,60000000,Comedy
M168,PG-13,2001,91,58,28000000,Romantic Comedy
M169,PG,1998,102,95,60000000,Drama
M170,R,1996,108,55,65000000,Action
M171,R,1997,105,71,15000000,
M172,R,1997,120,84,15000000,Drama
M173,PG-13,2009,107,84,25000000,
M174,PG,2005,115,82,,Comedy
M175,PG-13,1999,137, ,,Drama
M176,PG-13,2007,86,2,20000000,Comedy
M177,PG-13,1996,95,23,40000000,Adventure
M178,PG-13,1998,112,61,60000000,Drama
M179,PG-13,2003,116,43,50000000,Romantic Comedy
M180,R,2000,118,38,,Horror
M181,PG-13,2004,97,18,57000000,Action
M182,PG-13,1997,92,71,,Comedy
M183,R,1999,123,27,55000000,Drama
M184,R,2003,139,79,26000000,Western
M185,PG-13,2005,95, ,45000000,
M186,PG-13,2009,104, ,80000000,Action
M187,R,1996,111,55,40000000,Drama
M188,R,2009,93, ,24000000,Black Comedy
M189,R,1998,102, ,,Horror
M190,R,2002,96,38,17000000,Romantic Comedy
M191,PG-13,2005,135,51,16000000,Drama
M192,PG-13,1998,120,47,80000000,Adventure
M193,PG-13,2005,119,81,39000000,Action
M194,PG,2007,92,27,55000000,Comedy
M195,G,2001,95,95,115000000,Adventure
M196,PG,1999,86,97,50000000,Adventure
M197,R,2000,111,81,35000000,Comedy
M198,PG-13,2009,99,92,30000000,Horror
M199,PG,1999,132,38,,Drama
M200,R,1998,127,78,,Comedy
M201,R,2005,96, ,20000000,Horror
M202,PG-13,2001,87, ,49000000,Action
M203,PG,2004,82,70,400000,Comedy
M204,R,2004,97,2,50000000,Thriller
M205,PG-13,2005,157, ,150000000,
M206,R,1997,129,60,100000000,Action
M207,R,1997,137,99,35000000,
M208,R,2001,100, ,33000000,Action
M209,G,1996,94, ,25000000,Adventure
M210,R,1999,95,59,12000000,Comedy
M211,PG-13,2001,107,53,,Action
M212,PG-13,2006,101,76,14000000,
M213,R,2000,88, ,19000000,
M214,R,2003,102,68,29000000,Action
M215,R,2000,98,31,23000000,Horror
M216,R,2000,119,19,50000000,Drama
M217,R,2007,108,74,40000000,Thriller
M218,PG-13,2002,101, ,27000000,
M219,R,2004,104,54,35000000,Comedy
M220,PG,2001,98, ,,Comedy
M221,R,1997,152, ,40000000,
M222,PG-13,2003,100,75,60000000,Romantic Comedy
M223,R,2002,118,92,46000000,Thriller
M224,PG-13,2004,119,29,120000000,Adventure
M225,G,2006,98,78,82500000,Drama
M226,PG-13,2006,131, ,85000000,Romantic Comedy
M227,PG-13,2005,80,82,29000000,Drama
M228,PG-13,2000,122,62,25000000,Drama
M229,PG-13,2002,106,74,70702619,Thriller
M230,PG-13,2004,128,60,75000000,Drama
M231,PG-13,2002,103, ,12000000,Comedy
M232,PG-13,1998,98,60,35000000,Action
M233,PG-13,2002,121, ,139000000,Adventure
M234,PG-13,2003,110,17,78000000,Adventure
M235,R,2002,112,76,48000000,Thriller
M236,PG-13,2000,144,89,85000000,
M237,R,1997,120,80,24000000,Horror
M238,R,2003,138,73,127000000,Action
M239,R,1997,115,57,80000000,Action
M240,PG,2000,95, ,7000000,Drama
M241,PG-13,2000,107, ,15000000,Thriller
M242,G,1998,75,61,80000000,Adventure
M243,R,2006,136,64,40000000,
M244,R,2007,117,89,48000000,Western
M245,PG,2006,124,16,20000000,
M246,PG-13,2003,107,36,76000000,Action
M247,PG,1998,110,44,20000000,Drama
M248,PG-13,2006,112, ,30000000,
M249,R,1999,159,78,65000000,Drama
M250,PG-13,2007,100,69,150000000,Horror
