ID,Control,Highest degree offered,,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,Admission rate (%),Receiving financial aid (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0001,Public,Doctoral degree,,40,62,65,14280,New England,1125,,100,24,28,520,620,570,665,495,600
C0002,Public,Doctoral degree,,33,54,59,10626,Southeast,13349,52,75,19,24,430,560,430,550,,
C0003,Private,Doctoral degree,,81,85,86,42305,Southeast,8693,73,98,19,24,410,520,420,440,420,450
C0004,Public,Doctoral degree,,2,6,10,31018,Rocky Mountains,341,81,100,20,25,510,560,450,548,495,548
C0005,Public,Doctoral degree,,9,9,12,33332,Southeast,2261,61,99,19,23,440,530,450,560,430,530
C0006,Public,Doctoral degree,,32,41,44,13130,Great Lakes,1782,68,91,21,26,490,600,470,600,,
C0007,Public,Bachelor's degree,,50,61,63,24970,Mid East,8073,9,100,,,,,,,,
C0008,Public,Doctoral degree,,23,43,49,12380,Far West,1733,73,83,20,25,450,600,470,600,460,580
C0009,Public,Doctoral degree,,21,41,43,32850,Far West,14959,76,100,,,,,,,,
C0010,Private,Bachelor's degree,,56,57,57,34330,Far West,10127,60,100,25,29,560,640,550,640,560,640
C0011,Private,Bachelor's degree,,59,75,76,28430,Great Lakes,2274,62,100,,,430,540,440,540,440,540
C0012,Private,Doctoral degree,,13,13,13,39842,Plains,2128,84,99,19,25,440,550,460,570,430,550
C0013,Private,Bachelor's degree,,31,51,54,10680,Southeast,12027,87,94,22,28,460,620,530,680,,
C0014,Public,Doctoral degree,,57,70,71,7507,Southeast,14525,80,96,,,413,519,472,574,,
C0015,Private,Bachelor's degree,,24,40,47,23563,Mid East,5430,67,100,19,25,460,580,450,550,,
C0016,Public,Master's degree,,83,83,83,7300,Southeast,7943,77,99,17,22,420,550,410,540,,
C0017,Private,Bachelor's degree,,11,29,40,24750,New England,4622,,100,,,,,,,,
C0018,Private,Master's degree,,52,59,60,9486,Great Lakes,12377,63,87,19,24,460,538,490,590,,
C0019,Public,Master's degree,,41,55,55,4358,Southeast,15957,97,97,27,33,590,720,630,770,620,750
C0020,Public,Master's degree,,11,27,32,10000,Great Lakes,14526,79,88,17,20,,,400,520,,
C0021,Private,Master's degree,,15,34,42,5837,Mid East,20448,,94,17,22,,,,,,
C0022,Private,Doctoral degree,,27,37,39,22800,Southeast,4206,80,97,22,28,480,630,550,630,490,580
C0023,Public,Doctoral degree,,65,75,76,6464,Mid East,5992,,89,,,,,,,,
C0024,Private,Master's degree,,74,78,78,5238,New England,495,72,83,19,24,420,500,420,530,380,510
C0025,Private,Bachelor's degree,,18,27,29,16795,Plains,15143,44,91,24,29,540,640,570,670,,
C0026,Private,Bachelor's degree,,13,29,33,7946,Rocky Mountains,21592,64,88,,,,,,,,
C0027,Public,Doctoral degree,,61,72,73,5744,Mid East,4056,91,68,,,,,,,,
C0028,Private,Doctoral degree,,11,26,34,8509,Plains,1100,58,93,19,24,410,500,440,520,,
C0029,Public,Doctoral degree,,19,32,36,22590,Plains,1926,65,100,,,,,,,,
C0030,Public,Doctoral degree,,,,,8401,Mid East,2291,65,87,29,34,660,760,670,780,670,770
C0031,Public,Master's degree,,48,67,71,23520,Southeast,20161,79,100,21,27,470,600,490,610,440,580
C0032,Private,Doctoral degree,,45,51,51,25532,Mid East,1328,22,100,20,25,470,560,480,578,450,550
C0033,Private,Bachelor's degree,,61,64,64,33230,Great Lakes,1077,9,99,24,28,540,630,510,600,520,640
C0034,Public,Doctoral degree,,71,81,82,24790,Mid East,23003,49,100,,,,,,,,
C0035,Public,Doctoral degree,,39,47,49,8800,Southeast,2877,76,,28,32,620,730,630,770,,
C0036,Private,Master's degree,,9,14,18,11767,Southwest,49317,81,82,24,30,510,630,560,680,520,630
C0037,Public,Doctoral degree,,35,47,47,5315,Southeast,4861,76,96,,,,,,,,
C0038,Private,Master's degree,,6,13,18,5035,Mid East,1478,72,91,25,30,570,670,540,650,540,650
C0039,Private,Doctoral degree,,39,44,44,23400,New England,29850,65,100,,,,,,,,
C0040,Private,Bachelor's degree,,54,69,70,14930,Southwest,1542,85,57,19,21,440,550,430,500,,
C0041,Public,Doctoral degree,,31,52,56,8144,Southeast,1549,54,61,18,24,,,,,,
C0042,Private,Bachelor's degree,,46,57,59,8863,Southwest,725,55,73,,,,,,,,
C0043,Private,Bachelor's degree,,21,40,46,17890,Southeast,2453,58,85,18,24,360,510,400,550,340,480
C0044,Public,Doctoral degree,,46,46,46,36660,Southeast,1701,74,99,18,23,460,590,470,610,,
C0045,Public,Doctoral degree,,8,23,29,7660,Mid East,5368,,88,13,18,360,440,360,450,380,490
C0046,Public,Doctoral degree,,59,66,68,22792,Southwest,2533,77,79,,,540,640,580,680,540,640
C0047,Public,Master's degree,,70,78,79,46713,Great Lakes,10107,,84,17,22,400,500,400,540,390,500
C0048,Public,Master's degree,,14,14,14,6030,Rocky Mountains,1305,36,81,17,23,410,540,430,550,410,510
C0049,Public,Doctoral degree,,14,29,36,44742,New England,2435,60,81,,,,,,,,
C0050,Private,Bachelor's degree,,29,40,44,,Southeast,2149,70,,20,25,470,600,450,580,460,590
C0051,Private,Doctoral degree,,65,73,74,21630,Mid East,4201,,99,18,23,440,540,440,530,,
C0052,Public,Master's degree,,35,43,46,31350,Mid East,31186,69,93,,,,,,,,
