ID,Loan amount ($),Loan intent,Loan interest rate (%),Annual income ($),Loan grade,Home ownership,Job title,Length of employment (years),FICO score (high),FICO score (low),Open credit lines,Total credit limit ($),Total credit lines,Total current balance ($)
L001,3600,Debt consolidation,13.99,55000,C,Mortgage,leadman,10,679,675,7,178050,13,144904
L002,24700,Business,11.99,65000,C,Mortgage,Engineer,10,719,715,22,314017,38,204396
L003,20000,,10.78,63000,B,Mortgage,truck driver,10,699,695,6,218418,18,189699
L004,35000,Debt consolidation,14.85,110000,C,Mortgage,Information Systems Officer,10,789,785,13,381215,17,301500
L005,10400,Major purchase,22.45,104433,F,Mortgage,Contract Specialist,3,699,695,12,439570,35,331730
L006,11950,Debt consolidation,13.44,34000,C,Rent,Veterinary Tecnician,4,694,690,5,16900,6,12798
L007,20000,Debt consolidation,9.17,180000,B,Mortgage,Vice President of Recruiting Operations,10,684,680,12,388852,27,360358
L008,20000,Major purchase,8.49,85000,B,Mortgage,road driver,10,709,705,8,193390,15,141601
L009,10000,Credit card refinancing,6.49,85000,A,Rent,SERVICE MANAGER,6,689,685,14,61099,23,27957
L010,8000,Credit card refinancing,11.48,42000,B,Mortgage,Vendor liaison,10,704,700,8,256513,18,199696
L011,22400,Debt consolidation,12.88,95000,C,Mortgage,Executive Director,6,714,710,16,436841,35,376218
L012,16000,Debt consolidation,12.88,70000,C,Mortgage,Senior Structural Designer,1,724,720,13,309638,29,265836
L013,1400,,12.88,64000,C,Mortgage,Logistics Manager,3,704,700,17,372109,24,325695
L014,18000,Debt consolidation,19.48,150000,E,Rent,Software Manager,7,669,665,18,65819,27,36247
L015,28000,Debt consolidation,6.49,92000,A,Mortgage,Senior Manager,10,724,720,16,304003,24,221110
L016,9600,Credit card refinancing,7.49,60000,A,Mortgage,tech,8,699,695,7,88635,9,55387
L017,25000,Debt consolidation,7.49,109000,A,Mortgage,Sales Manager,10,749,745,9,373572,19,305781
L018,18000,Debt consolidation,11.99,112000,C,Mortgage,GS-11,10,804,800,17,309710,27,205067
L019,23000,Credit card refinancing,8.49,64000,B,Rent,Teacher,5,704,700,21,93962,33,63886
L020,8650,Debt consolidation,19.89,55000,E,Rent,Program Coordinator ,8,679,675,18,38998,19,18926
L021,29900,Debt consolidation,12.88,65000,C,Mortgage,Corporate Insurance,10,719,715,15,271700,31,220251
L022,16000,Credit card refinancing,14.85,48000,C,Mortgage,Bookkeeper/Accounting,10,689,685,11,298100,19,31329
L023,28000,Debt consolidation,13.44,125000,C,Own,Director of Product Development ,2,699,695,6,36100,22,22780
L024,5000,Credit card refinancing,13.44,79000,C,Rent,General Manager,2,669,665,3,41091,5,35653
L025,6000,Debt consolidation,7.49,100000,A,Mortgage,Analyst,10,699,695,9,156354,16,116195
L026,4225,Debt consolidation,14.85,35000,C,Rent,mechanic,5,729,725,6,21822,6,4888
L027,20000,Debt consolidation,5.32,65000,A,Own,driver,9,839,835,12,106217,17,15444
L028,16000,Debt consolidation,17.97,109000,D,Mortgage,Professional Sales Associate,1,684,680,11,228050,33,182936
L029,17600,Credit card refinancing,5.32,88000,A,Mortgage,Network Security Specialist III,1,784,780,20,285027,42,229082
L030,15000,Home improvement,5.32,44000,A,Mortgage,DEPUTY SHERIFF,10,689,685,7,33800,21,17003
L031,16000,Business,12.88,65000,C,Mortgage,"Owner, Fee Appraiser ",10,679,675,7,80999,20,39781
L032,24250,,24.24,75000,F,Mortgage,hvac technician,4,664,660,18,344960,21,320098
L033,12000,Debt consolidation,10.78,98000,B,Rent,Public Affairs Specialist ,1,694,690,15,478544,39,374585
L034,25000,Debt consolidation,13.99,79000,C,Mortgage,Executive Assistant,9,734,730,33,389002,72,265233
L035,16800,Debt consolidation,12.88,118000,C,Mortgage,CEO,10,684,680,11,412771,46,314793
L036,7000,Credit card refinancing,7.49,59000,A,Mortgage,Carrier,10,734,730,10,115502,34,55222
L037,21000,Credit card refinancing,13.99,52000,C,Rent,Resident physician,1,684,680,5,370357,15,372407
L038,27500,Other,14.85,195000,C,Mortgage,Manager,10,704,700,14,325100,19,267500
L039,7200,Home improvement,11.48,72500,B,Mortgage,Legal Administrative Assistant,10,729,725,5,189950,7,147791
L040,20000,Credit card refinancing,14.85,110000,C,Rent,GM,6,694,690,8,45509,12,37491
L041,20000,Home buying,15.77,70000,D,Rent,Clinical Intake,5,684,680,24,104696,63,63456
L042,10000,Credit card refinancing,17.97,55000,D,Mortgage,Educator ,2,689,685,14,302401,28,288087
L043,16000,Debt consolidation,13.99,142000,C,Mortgage,Registered Nurse,9,684,680,15,704224,19,667373
L044,20000,Debt consolidation,9.8,75000,B,Rent,Manager,5,729,725,14,117477,26,40090
L045,8650,Credit card refinancing,5.32,100000,A,Mortgage,Associate Consultant,1,754,750,15,191618,24,165450
L046,21000,Debt consolidation,13.44,54649,C,Rent,Teacher,2,674,670,9,57564,44,51489
L047,7200,,15.77,55000,D,Rent,Bank Officer Senior Customer Care Spec.,1,684,680,24,255047,43,275831
L048,8800,Credit card refinancing,9.8,92000,B,Mortgage,Sales Representative/ Agent,10,669,665,9,116292,24,105650
L049,14650,Debt consolidation,20.5,43160,E,Rent,Senior Service Specialist,2,694,690,12,67732,24,62813
L050,2500,Other,17.27,50000,D,Mortgage,Teacher,10,674,670,7,196429,22,197169
L051,11000,Credit card refinancing,9.17,69000,B,Mortgage,PRINTER,10,684,680,9,231864,18,205780
L052,23850,Debt consolidation,17.27,68046,D,Own,Teacher,10,669,665,12,554242,33,525195
L053,15700,Credit card refinancing,16.59,48000,D,Mortgage,Teacher,6,689,685,19,305962,28,270017
L054,28800,Debt consolidation,11.99,60000,C,Own,Office Manager,10,804,800,21,200980,37,41270
L055,10000,Home buying,12.88,91392,C,Mortgage,Contract Specialist,4,714,710,13,321380,33,304514
L056,24000,Home improvement,9.8,77900,B,Own,,,744,740,9,202351,21,127412
L057,28000,Debt consolidation,18.49,75000,D,Mortgage,Engineer,10,689,685,27,267312,46,193745
L058,35000,Home improvement,11.99,128000,C,Mortgage,Foreign Service Officer,10,689,685,17,220950,46,146867
L059,7200,Debt consolidation,9.17,50000,B,Mortgage,Site lead,10,679,675,13,236795,25,218695
L060,10000,Credit card refinancing,7.91,40100,A,Rent,Teacher,2,684,680,4,35247,7,27354
L061,16000,Credit card refinancing,13.44,42000,C,Rent,Merchandise Manager,1,674,670,29,87509,48,83690
L062,21875,Credit card refinancing,11.99,47590,C,Rent,Wire Technician,1,704,700,9,76326,14,40976
L063,14025,Debt consolidation,18.49,39000,D,Mortgage,accts payable,10,679,675,12,72286,21,60381
L064,35000,Debt consolidation,12.88,106000,C,Mortgage,Lieutenant ,7,734,730,8,366974,27,299890
L065,20000,Debt consolidation,12.88,145000,C,Mortgage,President,10,699,695,12,472759,21,429218
L066,14000,,14.85,60000,C,Mortgage,Accountant,2,694,690,11,83083,24,70789
L067,16000,Credit card refinancing,8.49,62000,B,Mortgage,Supervisor,5,724,720,10,307343,24,227708
