ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Production Budget,Genre
M001,PG-13,2002,92,22,21000000,Action
M002,R,2008,101,,24000000,Comedy
M003,PG-13,2006,144,38,102000000,Action
M004,PG-13,2007,104,79,20000000,Thriller
M005,PG,2006,102,,35000000,Drama
M006,PG-13,1996,102,71,21500000,Comedy
M007,R,1998,120,85,12000000,Drama
M008,PG,2000,95,76,75000000,Adventure
M009,PG,1996,89,64,60000000,Comedy
M010,R,2000,112,42,90000000,Horror
M011,PG-13,2001,102,55,80000000,Comedy
M012,PG,2001,153,47,72000000,Drama
M013,R,1999,120,69,100000000,
M014,PG-13,2006,130,,75000000,
M015,R,2001,131,55,,Drama
M016,PG-13,2002,115,49,42000000,Thriller
M017,PG-13,2008,126,,186000000,Action
M018,PG-13,2004,117,24,30000000,Drama
M019,R,2003,91,43,,Comedy
M020,PG-13,2009,121,64,50000000,Thriller
M021,PG-13,2000,145,78,80000000,
M022,G,2005,85,2,30000000,Adventure
M023,PG-13,2003,95,,19000000,Romantic Comedy
M024,R,1997,135,51,80000000,Thriller
M025,PG,2006,108,27,85000000,Adventure
M026,R,2003,90,51,28000000,
M027,G,2007,111,70,150000000,
M028,PG-13,2006,118,85,35000000,Drama
M029,PG-13,2010,140,,210000000,Action
M030,PG-13,2010,114,81,8300000,Drama
M031,PG-13,1996,113,94,45000000,Drama
M032,PG-13,2008,90,58,10000000,Drama
M033,R,2001,159,,109000000,Drama
M034,R,2009,120,24,29000000,Drama
M035,PG-13,2006,157,,232000000,Adventure
M036,PG-13,2007,91,94,180000000,Action
M037,R,1999,139,76,40000000,Drama
M038,R,1999,112,11,13000000,Black Comedy
M039,PG,2007,108,50,85000000,
M040,R,2008,106,27,30000000,Thriller
M041,R,1997,155,62,,Drama
M042,PG,1999,116,62,70000000,Romantic Comedy
M043,R,2000,116,,3000000,Concert
M044,PG-13,2004,143,50,55000000,Musical
M045,PG-13,2001,83,20,22000000,Comedy
M046,R,1999,118,,,Drama
M047,R,2008,105,18,65000000,Action
M048,G,2001,115,78,30000000,Comedy
M049,R,2004,109,22,2500000,Drama
M050,R,2001,131,82,,Horror
M051,PG,2000,104,7,123000000,
M052,PG,2005,83,29,75000000,Adventure
M053,R,1996,121,88,70000000,Action
M054,R,1996,115,50,46000000,Drama
M055,R,2003,152,73,,
M056,PG-13,1996,105,39,5500000,
M057,R,1997,154,50,12000000,Drama
M058,PG-13,1997,119,34,110000000,
M059,R,1998,86,92,30000000,Action
M060,R,1998,166,64,,Drama
M061,PG-13,1998,110,38,40000000,Comedy
M062,PG-13,2003,138,,135000000,Adventure
M063,R,2006,136,82,14000000,Drama
M064,PG-13,2002,91,,60000000,Action
M065,R,2001,123,92,35000000,Thriller
M066,R,2009,98,95,21000000,Comedy
M067,PG,2002,81,,65000000,Adventure
M068,PG-13,2004,119,78,,Comedy
M069,R,2000,94,24,16000000,Comedy
M070,PG-13,2007,110,26,120000000,Action
M071,R,1999,116,69,60000000,Drama
