ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,4-year graduation rate (%),ACT Composite score (25th percentile),Receiving financial aid (%)
C0001,Public,Doctoral degree,,14280,New England,1125,40,24,100
C0002,Public,Doctoral degree,52,10626,Southeast,13349,33,19,75
C0003,Private,Doctoral degree,73,42305,Southeast,8693,81,19,98
C0004,Public,Doctoral degree,81,31018,Rocky Mountains,341,2,20,100
C0005,Public,Doctoral degree,61,33332,Southeast,2261,9,19,99
C0006,Public,Doctoral degree,68,13130,Great Lakes,1782,32,21,91
C0007,Public,Bachelor's degree,9,24970,Mid East,8073,50,,100
C0008,Public,Doctoral degree,73,12380,Far West,1733,23,20,83
C0009,Public,Doctoral degree,76,32850,Far West,14959,21,,100
C0010,Private,Bachelor's degree,60,34330,Far West,10127,56,25,100
C0011,Private,Bachelor's degree,62,28430,Great Lakes,2274,59,,100
C0012,Private,Doctoral degree,84,39842,Plains,2128,13,19,99
C0013,Private,Bachelor's degree,87,10680,Southeast,12027,31,22,94
C0014,Public,Doctoral degree,80,7507,Southeast,14525,57,,96
C0015,Private,Bachelor's degree,67,23563,Mid East,5430,24,19,100
C0016,Public,Master's degree,77,7300,Southeast,7943,83,17,99
C0017,Private,Bachelor's degree,,24750,New England,4622,11,,100
C0018,Private,Master's degree,63,9486,Great Lakes,12377,52,19,87
C0019,Public,Master's degree,97,4358,Southeast,15957,41,27,97
C0020,Public,Master's degree,79,10000,Great Lakes,14526,11,17,88
C0021,Private,Master's degree,,5837,Mid East,20448,15,17,94
C0022,Private,Doctoral degree,80,22800,Southeast,4206,27,22,97
C0023,Public,Doctoral degree,,6464,Mid East,5992,65,,89
C0024,Private,Master's degree,72,5238,New England,495,74,19,83
C0025,Private,Bachelor's degree,44,16795,Plains,15143,18,24,91
C0026,Private,Bachelor's degree,64,7946,Rocky Mountains,21592,13,,88
C0027,Public,Doctoral degree,91,5744,Mid East,4056,61,,68
