ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Genre,Production Budget
M001,PG-13,2002,92,22,Action,60000000
M002,R,2008,101,,Comedy,30000000
M003,PG-13,2006,144,38,Adventure,46000000
M004,PG-13,2007,104,79,,70000000
M005,PG,2006,102,,Horror,
M006,PG-13,1996,102,71,Comedy,20000000
M007,R,1998,120,85,,55000000
M008,PG,2000,95,76,Horror,25000000
M009,PG,1996,89,64,Drama,22000000
M010,R,2000,112,42,Western,80000000
M011,PG-13,2001,102,55,Musical,
M012,PG,2001,153,47,Drama,35000000
M013,R,1999,120,69,Comedy,15000000
M014,PG-13,2006,130,,Drama,35000000
M015,R,2001,131,55,Action,300000000
M016,PG-13,2002,115,49,Action,30000000
M017,PG-13,2008,126,,Comedy,110000000
M018,PG-13,2004,117,24,Drama,
M019,R,2003,91,43,Romantic Comedy,19000000
M020,PG-13,2009,121,64,Adventure,65000000
M021,PG-13,2000,145,78,Drama,70000000
M022,G,2005,85,2,Adventure,135000000
M023,PG-13,2003,95,,Romantic Comedy,
M024,R,1997,135,51,Horror,45000000
M025,PG,2006,108,27,Action,60000000
M026,R,2003,90,51,Drama,65000000
M027,G,2007,111,70,Drama,50000000
M028,PG-13,2006,118,85,Musical,58000000
M029,PG-13,2010,140,,Comedy,70000000
M030,PG-13,2010,114,81,Adventure,45000000
M031,PG-13,1996,113,94,Drama,50000000
M032,PG-13,2008,90,58,Drama,
M033,R,2001,159,,Thriller,28000000
M034,R,2009,120,24,Adventure,27000000
M035,PG-13,2006,157,,Romantic Comedy,40000000
M036,PG-13,2007,91,94,Thriller,20000000
M037,R,1999,139,76,Concert,80000000
M038,R,1999,112,11,Drama,14000000
M039,PG,2007,108,50,Action,45000000
M040,R,2008,106,27,Comedy,32000000
M041,R,1997,155,62,Action,30000000
M042,PG,1999,116,62,Comedy,
M043,R,2000,116,,Adventure,26000000
M044,PG-13,2004,143,50,Black Comedy,
M045,PG-13,2001,83,20,Adventure,53000000
M046,R,1999,118,,Comedy,25000000
M047,R,2008,105,18,Adventure,180000000
M048,G,2001,115,78,Action,30000000
M049,R,2004,109,22,,18000000
M050,R,2001,131,82,Thriller,30000000
M051,PG,2000,104,7,Adventure,35000000
M052,PG,2005,83,29,Drama,45000000
M053,R,1996,121,88,Action,15000000
M054,R,1996,115,50,Romantic Comedy,55000000
M055,R,2003,152,73,Action,40000000
M056,PG-13,1996,105,39,Action,7000000
M057,R,1997,154,50,Drama,100000000
M058,PG-13,1997,119,34,Adventure,
M059,R,1998,86,92,Romantic Comedy,150000000
M060,R,1998,166,64,Comedy,20000000
M061,PG-13,1998,110,38,Drama,20000000
M062,PG-13,2003,138,,Action,80000000
M063,R,2006,136,82,Thriller,
M064,PG-13,2002,91,,Action,109000000
M065,R,2001,123,92,Adventure,33000000
M066,R,2009,98,95,Black Comedy,76000000
M067,PG,2002,81,,Comedy,90000000
M068,PG-13,2004,119,78,Drama,24000000
M069,R,2000,94,24,Action,39000000
M070,PG-13,2007,110,26,,
M071,R,1999,116,69,,10000000
M072,R,1997,152,,Thriller,45000000
M073,R,1999,110,92,,42000000
M074,R,2007,95,40,Comedy,80000000
M075,PG-13,1997,148,43,Thriller,30000000
M076,R,1996,120,17,,85000000
M077,PG,2002,95,,Black Comedy,60000000
M078,PG,2000,90,,Drama,82000000
M079,PG-13,2005,115,51,Comedy,125000000
M080,R,2006,132,,Comedy,135000000
M081,R,2003,113,67,Drama,40000000
M082,PG,2009,90,92,Drama,43000000
M083,PG,2004,120,40,Horror,57000000
M084,R,2003,137,83,Horror,22000000
M085,R,2001,104,,Thriller,60000000
M086,R,2007,128,44,Thriller,70000000
M087,PG-13,1999,96,60,Romantic Comedy,90000000
M088,PG-13,2006,116,79,Comedy,5500000
M089,R,2003,136,40,Romantic Comedy,60000000
M090,R,2005,126,83,Romantic Comedy,90000000
M091,R,2009,85,24,Thriller,75000000
M092,R,2002,125,,,
M093,R,2001,111,45,Action,23000000
M094,PG,2002,78,42,Thriller,16000000
M095,PG-13,2005,113,9,Comedy,6000000
M096,PG-13,2002,117,95,Thriller,
M097,R,2008,109,19,Drama,40000000
M098,PG-13,1996,110,16,Comedy,30000000
M099,PG,1996,90,,Adventure,66000000
M100,PG,2002,86,82,Drama,50000000
M101,R,1999,111,12,Comedy,10000000
M102,PG,2000,90,82,Action,
M103,PG,2001,95,,Horror,75000000
M104,PG,2003,98,47,Drama,21000000
M105,R,2007,120,78,Adventure,72000000
M106,R,2001,126,59,,
M107,PG-13,2004,94,88,Horror,65000000
M108,PG-13,2000,104,73,Drama,65000000
M109,R,1999,103,30,Comedy,
M110,PG-13,2000,123,75,,80000000
M111,G,1999,88,,,123000000
M112,PG,1996,87,77,Comedy,75000000
M113,PG,2003,105,85,Comedy,62000000
M114,PG-13,2004,101,55,Comedy,38000000
M115,PG-13,2001,91,10,Comedy,78000000
M116,PG-13,2005,118,22,Drama,120000000
M117,R,2001,110,71,Comedy,65000000
M118,PG-13,2008,84,79,Thriller,8300000
M119,PG,2004,92,77,Thriller,40000000
M120,PG-13,1996,117,84,Comedy,139000000
M121,G,1998,96,81,Drama,45000000
M122,PG-13,1998,114,,Adventure,22000000
M123,R,2000,110,61,Action,19000000
M124,R,1999,103,,Adventure,
M125,R,1998,127,,,
M126,R,1999,95,53,,400000
M127,PG-13,2007,138,89,Thriller,60000000
M128,R,1997,177,76,Drama,232000000
M129,R,1997,95,60,Action,50000000
M130,PG-13,2002,115,81,Drama,82500000
M131,PG-13,2003,133,39,Drama,24000000
M132,PG-13,2008,120,60,,100000000
M133,R,1999,120,22,Adventure,30000000
M134,PG-13,2005,113,11,Adventure,21500000
M135,R,2005,122,,Horror,
M136,PG-13,2002,113,65,Horror,25000000
M137,PG-13,2007,167,50,Comedy,84000000
M138,R,2004,129,,Horror,55000000
M139,R,2004,127,10,Drama,125000000
M140,PG-13,2005,101,,Drama,
M141,R,2001,99,63,Comedy,35000000
M142,PG-13,2006,95,79,Drama,150000000
M143,PG,1998,97,86,Action,24000000
M144,PG-13,2000,116,31,Action,150000000
M145,PG-13,1997,135,27,Comedy,186000000
M146,PG-13,2002,95,68,Drama,2500000
M147,PG-13,1998,150,,,17000000
M148,R,1996,107,89,Drama,80000000
M149,PG-13,2001,89,81,Adventure,45000000
M150,PG-13,2000,103,,Horror,30000000
M151,R,2008,98,30,,24000000
M152,R,2009,152,,Action,
M153,PG-13,2004,124,,Drama,60000000
M154,PG-13,1999,112,67,Drama,29000000
M155,R,1999,136,78,Drama,48000000
M156,PG-13,1998,136,74,Western,85000000
M157,PG,2007,90,,Drama,65000000
M158,R,1998,119,74,Adventure,20000000
M159,PG-13,2000,93,66,Black Comedy,80000000
M160,R,2004,118,63,Comedy,25000000
M161,PG-13,1997,130,,Adventure,15000000
M162,PG-13,1996,115,38,Action,210000000
M163,R,2009,108,98,Adventure,21000000
M164,PG-13,1999,125,53,Action,40000000
M165,R,1996,105,2,Comedy,20000000
M166,R,1999,142,5,Comedy,16000000
M167,R,2002,96,36,Drama,35000000
M168,PG-13,2001,91,,Drama,48000000
M169,PG,1998,102,30,Action,20000000
M170,R,1996,108,,Action,85000000
M171,R,1997,105,58,Drama,70702619
M172,R,1997,120,,,135000000
M173,PG-13,2009,107,75,Drama,
M174,PG,2005,115,,Thriller,150000000
M175,PG-13,1999,137,89,Comedy,50000000
M176,PG-13,2007,86,53,Thriller,35000000
M177,PG-13,1996,95,,,80000000
M178,PG-13,1998,112,,Adventure,
M179,PG-13,2003,116,77,Drama,25000000
M180,R,2000,118,85,Comedy,30000000
M181,PG-13,2004,97,73,Drama,70000000
M182,PG-13,1997,92,32,Action,12000000
M183,R,1999,123,71,Drama,80000000
M184,R,2003,139,28,Adventure,29000000
M185,PG-13,2005,95,70,Drama,40000000
M186,PG-13,2009,104,95,Drama,80000000
M187,R,1996,111,,Action,
M188,R,2009,93,92,Action,102000000
M189,R,1998,102,92,Adventure,
M190,R,2002,96,46,,28000000
M191,PG-13,2005,135,17,Action,53000000
M192,PG-13,1998,120,,Comedy,13000000
M193,PG-13,2005,119,,Action,127000000
M194,PG,2007,92,3,Thriller,85000000
M195,G,2001,95,70,Drama,75000000
M196,PG,1999,86,25,Horror,
M197,R,2000,111,57,,40000000
M198,PG-13,2009,99,30,Drama,
M199,PG,1999,132,80,Horror,15000000
M200,R,1998,127,,Thriller,32000000
M201,R,2005,96,96,Comedy,
M202,PG-13,2001,87,84,Comedy,80000000
