ID,Average current balance ($),Mortgage accounts,Satisfactory accounts,Total current balance ($)
L001,20701,1,7,144904
L002,9733,4,22,204396
L003,31617,5,6,189699
L004,23192,1,13,301500
L005,27644,6,12,331730
L006,2560,0,5,12798
L007,30030,4,12,360358
L008,17700,3,8,141601
L009,1997,1,14,27957
L010,28528,1,8,199696
L011,23514,5,16,376218
L012,24167,2,13,265836
L013,19159,4,17,325695
L014,2014,2,18,36247
L015,13819,2,16,221110
L016,7912,0,7,55387
L017,33976,3,9,305781
L018,17089,4,16,205067
L019,3549,0,21,63886
L020,1051,0,18,18926
L021,15732,2,15,220251
L022,2848,2,11,31329
L023,3797,0,6,22780
L024,11884,0,3,35653
L025,12911,2,9,116195
L026,815,0,6,4888
L027,1287,0,12,15444
L028,16631,1,11,182936
L029,12057,5,20,229082
L030,2429,2,7,17003
L031,5683,0,7,39781
L032,17783,2,18,320098
L033,26756,8,15,374585
L034,8556,6,33,265233
L035,28618,4,11,314793
L036,6136,3,10,55222
L037,74481,0,5,372407
L038,19107,1,14,267500
L039,29558,2,5,147791
L040,5356,0,8,37491
L041,2759,1,24,63456
L042,20578,6,14,288087
L043,47670,1,15,667373
L044,2864,1,14,40090
L045,13788,1,15,165450
L046,5721,2,9,51489
L047,11493,0,24,275831
L048,11739,2,9,105650
L049,5234,0,12,62813
L050,28167,0,7,197169
L051,22864,2,9,205780
L052,47745,4,12,525195
L053,14211,1,19,270017
L054,2428,2,21,41270
L055,23424,3,13,304514
L056,14157,2,9,127412
L057,7176,2,27,193745
L058,8639,5,17,146867
L059,19881,3,13,218695
L060,6839,0,4,27354
L061,2886,0,29,83690
L062,5122,0,9,40976
L063,5032,3,12,60381
L064,37486,4,8,299890
L065,39020,5,12,429218
L066,6435,0,11,70789
L067,22771,3,10,227708
L068,14258,2,19,256638
L069,1835,0,20,34856
L070,19041,0,7,133285
L071,14073,7,14,197024
L072,5146,3,15,72043
L073,2649,0,18,45025
L074,4117,0,10,41166
L075,51015,3,9,408118
L076,15864,4,12,158643
L077,61551,7,7,430856
L078,13412,2,15,201184
L079,4322,0,10,43224
L080,6406,3,10,57655
L081,12455,1,18,224194
L082,9350,2,18,168304
L083,20490,4,16,327836
L084,5505,2,11,55048
L085,18316,2,14,238105
L086,1470,5,16,23522
L087,2045,0,7,12272
L088,3432,0,19,65214
L089,13763,2,9,123863
L090,1666,0,7,11665
L091,8054,2,5,40272
L092,2927,0,12,32193
L093,25644,1,9,205155
L094,13773,2,30,330562
L095,17827,2,8,142615
L096,5926,2,27,148154
L097,2128,0,16,31915
L098,25410,1,12,304914
L099,33919,1,12,407032
L100,913,0,8,7302
L101,9720,1,16,155521
L102,12915,2,11,142064
L103,1150,0,9,10353
L104,3068,1,14,42952
L105,10201,4,10,102008
L106,5394,0,7,32365
L107,812,0,12,9747
L108,10086,2,18,181540
L109,1995,3,4,7980
L110,5265,0,5,26327
L111,64448,2,7,451137
L112,20321,1,9,182893
L113,28037,5,8,224292
L114,44714,6,7,312996
L115,10214,2,18,153211
L116,1933,0,12,23197
L117,3887,0,10,38865
L118,20010,3,25,440222
L119,28774,2,11,316524
L120,4652,0,19,88386
L121,9616,0,4,38464
L122,1541,3,13,20031
L123,1682,2,5,6727
L124,409,0,10,4091
L125,3908,2,9,35168
L126,1092,1,11,10916
L127,17954,6,9,143634
L128,6024,0,15,90362
L129,4766,0,9,42894
L130,5121,0,8,40965
L131,7022,0,11,77240
L132,3384,0,18,60903
L133,4855,0,18,72831
L134,12954,3,8,103632
L135,1561,0,4,7804
L136,40172,5,22,883789
L137,12085,2,14,169184
L138,37250,8,15,521496
L139,2803,0,16,42039
L140,5619,3,14,78666
L141,4767,0,20,95330
L142,2045,0,12,20449
L143,2817,0,21,53525
L144,19371,6,15,290569
L145,17708,2,19,318752
L146,24258,2,10,194062
L147,25497,1,7,178477
L148,3625,0,7,25378
L149,2149,0,8,15043
L150,5728,0,12,68741
L151,2847,0,18,51250
L152,2110,0,7,14767
L153,1590,0,16,22263
L154,27437,1,10,274367
L155,16099,3,6,96594
L156,54280,3,11,434242
L157,8432,1,19,151774
L158,11093,3,22,210761
L159,12995,1,18,207921
L160,2647,0,13,31768
L161,16813,1,5,84064
L162,10387,1,11,103869
L163,2236,0,13,29071
L164,2645,1,8,21160
L165,16910,2,11,186007
L166,8061,4,14,112859
L167,43498,3,6,260988
L168,10293,0,8,82347
L169,18797,1,16,300744
L170,3939,0,10,39394
L171,8407,1,17,134518
L172,21458,8,11,236037
L173,7201,2,18,129615
L174,8926,5,13,107112
L175,198,1,12,2380
L176,6916,0,8,55327
L177,28824,1,12,317061
L178,493,0,12,5426
L179,8372,3,15,100468
L180,23030,4,13,276355
L181,2002,0,5,10009
L182,24412,2,15,341767
L183,40315,1,5,201577
L184,22858,3,16,365724
L185,4165,0,10,37485
L186,42637,4,10,426371
L187,1409,0,13,16909
L188,4987,0,16,74809
L189,3255,1,17,52074
L190,30813,5,12,369766
L191,2858,0,9,22866
L192,10159,2,33,335236
L193,3579,0,23,78735
L194,8783,4,19,166878
L195,27070,2,11,297766
L196,1558,0,13,20258
L197,6376,2,19,108395
L198,5327,0,8,42613
L199,113218,2,7,679308
L200,8705,6,23,200216
L201,24122,5,16,385952
L202,37787,4,11,377868
L203,7237,0,9,65133
L204,663,0,14,9285
L205,8364,1,21,175638
L206,2045,1,24,47036
L207,2846,2,19,45543
L208,38304,1,8,306430
L209,2929,5,11,32214
L210,32246,2,13,322455
L211,2283,1,14,25117
L212,16394,2,13,196733
L213,1827,0,20,34714
L214,5724,7,12,68689
L215,31139,1,18,560509
L216,12531,0,10,125307
L217,12926,2,19,232670
L218,4782,0,19,90875
L219,12691,3,13,164988
L220,37084,5,8,259591
L221,2134,0,16,32012
L222,9300,2,21,195290
L223,5016,3,19,95299
L224,6722,0,9,60499
L225,4707,0,8,37657
L226,3606,0,5,18032
L227,22471,5,16,359542
L228,2805,0,13,36465
L229,29468,3,10,294683
L230,3898,0,9,35079
L231,18499,2,17,314484
L232,26098,5,8,182684
L233,6447,3,8,45132
L234,4049,5,12,44539
L235,75372,2,10,678352
L236,11942,3,16,191071
L237,2219,0,18,37729
L238,4210,2,27,113674
L239,3307,0,11,36381
L240,15147,2,12,166614
L241,26131,12,14,365831
L242,3348,2,8,23438
L243,18251,2,13,237257
L244,4716,0,9,42443
L245,17421,1,7,121944
L246,15943,4,19,318868
L247,5294,0,12,63528
L248,2725,2,13,35429
L249,1197,0,16,19150
L250,4240,0,6,25438
L251,796,2,19,12740
L252,15000,3,10,135003
L253,24292,3,7,170044
L254,33765,7,9,303889
L255,7871,0,6,39353
L256,35834,1,11,394173
L257,2215,4,11,22151
L258,3183,2,9,28645
L259,2382,0,9,21440
L260,1621,1,5,8108
L261,11612,1,21,243859
L262,2412,0,9,21709
L263,23102,2,13,277227
L264,24443,5,17,391089
L265,18629,2,13,223544
L266,4570,0,5,22849
L267,45240,1,10,452396
L268,12239,4,6,73435
L269,12664,0,10,113972
L270,1934,0,4,7735
L271,23398,1,10,210586
L272,13190,1,15,197858
L273,13026,1,3,39078
L274,4677,0,12,51443
L275,4911,0,9,44202
L276,6835,0,18,123030
L277,2669,0,6,16016
L278,17893,1,10,178927
L279,2939,0,8,23508
L280,19661,2,17,334235
L281,4309,0,11,47397
L282,4198,2,17,71368
L283,19244,2,7,134707
L284,3304,5,14,42952
L285,29488,5,15,442322
L286,44605,2,8,356838
L287,3146,0,9,25166
L288,58048,2,7,406338
L289,4113,1,9,41131
L290,91632,2,7,549792
L291,4558,2,13,59253
L292,15935,5,18,286847
L293,13293,4,15,199389
L294,15069,4,9,120551
L295,22028,8,14,264336
L296,28068,5,11,308743
L297,3634,2,22,76322
L298,8269,1,18,148848
L299,1772,0,16,28351
L300,46751,2,7,327255
L301,13586,1,13,135859
L302,2847,1,11,31312
L303,11811,2,10,106299
L304,53477,2,4,213908
L305,119,0,4,476
L306,1300,0,21,27300
L307,1370,0,26,35619
L308,11491,2,16,183857
L309,8119,0,6,48714
L310,24190,4,12,290278
L311,14295,3,10,128658
L312,5439,0,7,38073
L313,7702,3,10,77020
L314,1345,0,12,16145
L315,484,0,17,7259
L316,2150,2,11,25800
L317,885,0,9,7963
L318,219353,1,4,658060
L319,60195,2,7,421365
L320,16528,4,10,148756
L321,2753,0,15,41300
L322,4334,2,17,73675
L323,20668,4,12,248016
L324,15358,2,16,245735
L325,40057,4,8,320452
L326,10633,2,11,116969
L327,31279,5,20,625574
L328,9393,5,13,112712
L329,4177,0,9,37590
L330,12855,1,11,115692
L331,28044,6,11,308483
L332,1355,0,18,21678
L333,14982,1,15,224733
L334,15270,3,16,198508
L335,2134,0,17,32007
L336,1774,0,23,40798
L337,1430,0,10,14303
L338,21702,2,10,195318
L339,1211,7,4,4842
L340,6451,1,20,122566
L341,11629,0,4,34886
L342,39295,5,5,196474
L343,29050,4,14,377656
L344,42104,3,9,336832
L345,19195,2,19,364710
L346,4692,0,23,103228
L347,18001,2,8,144011
L348,7647,0,12,84112
L349,19899,4,18,278584
L350,28533,3,13,342398
L351,23087,4,14,300130
L352,1049,2,6,6295
L353,4712,0,14,65963
L354,14976,5,11,149763
L355,18632,3,10,186318
L356,4651,0,18,83718
L357,3479,0,10,31313
L358,24659,5,16,369878
L359,7972,0,11,87694
L360,76289,4,9,686601
L361,11314,1,19,203650
L362,10118,7,14,141658
L363,19943,5,13,259264
L364,14346,1,13,186499
L365,2445,2,14,31789
L366,637,0,11,7002
L367,14581,6,17,218712
L368,34921,2,10,349210
L369,36228,1,7,253597
L370,10659,0,16,159887
L371,1954,0,11,17589
L372,1840,0,7,11041
L373,18552,6,18,333930
L374,52671,8,9,474040
L375,13019,0,4,52076
L376,1443,0,12,17312
L377,4529,1,9,31704
L378,10990,2,23,252779
L379,21343,3,12,256121
L380,534,0,11,5339
L381,20137,4,19,382609
L382,13268,2,9,106144
L383,22881,3,12,251690
L384,4243,0,8,33946
L385,20142,1,11,221561
L386,11053,1,14,154736
L387,14368,2,9,129310
L388,6311,0,4,25243
L389,24851,1,12,298210
L390,4095,0,20,81908
L391,25074,8,9,200590
L392,6757,1,12,81087
L393,4415,0,14,52980
L394,1425,0,19,27080
L395,10698,0,9,96280
L396,52600,5,6,315597
L397,38844,4,11,388441
L398,3790,0,11,37896
