ID,Loan amount ($),Loan intent,Annual income ($),Loan interest rate (%),Loan grade,Total credit limit ($),FICO score (low),Bankcards at >75% limit (%),Bankruptcies,Total current balance ($)
L001,3600,Debt consolidation,55000,13.99,C,178050,675,0,0,144904
L002,24700,Business,65000,11.99,C,314017,715,7.7,0,204396
L003,20000,,63000,10.78,B,218418,695,50,0,189699
L004,35000,Debt consolidation,110000,14.85,C,381215,785,0,0,301500
L005,10400,Major purchase,104433,22.45,F,439570,695,60,0,331730
L006,11950,Debt consolidation,34000,13.44,C,16900,690,100,0,12798
L007,20000,Debt consolidation,180000,9.17,B,388852,680,100,0,360358
L008,20000,Major purchase,85000,8.49,B,193390,705,0,0,141601
L009,10000,Credit card refinancing,85000,6.49,A,61099,685,28.6,1,27957
L010,8000,Credit card refinancing,42000,11.48,B,256513,700,33.3,0,199696
L011,22400,Debt consolidation,95000,12.88,C,436841,710,25,0,376218
L012,16000,Debt consolidation,70000,12.88,C,309638,720,60,0,265836
L013,1400,,64000,12.88,C,372109,700,75,0,325695
L014,18000,Debt consolidation,150000,19.48,E,65819,665,14.3,1,36247
L015,28000,Debt consolidation,92000,6.49,A,304003,720,22.2,0,221110
L016,9600,Credit card refinancing,60000,7.49,A,88635,695,66.7,0,55387
L017,25000,Debt consolidation,109000,7.49,A,373572,745,20,0,305781
L018,18000,Debt consolidation,112000,11.99,C,309710,800,0,0,205067
L019,23000,Credit card refinancing,64000,8.49,B,93962,700,14.3,0,63886
L020,8650,Debt consolidation,55000,19.89,E,38998,675,50,1,18926
L021,29900,Debt consolidation,65000,12.88,C,271700,715,25,0,220251
L022,16000,Credit card refinancing,48000,14.85,C,298100,685,0,0,31329
L023,28000,Debt consolidation,125000,13.44,C,36100,695,40,0,22780
L024,5000,Credit card refinancing,79000,13.44,C,41091,665,100,0,35653
L025,6000,Debt consolidation,100000,7.49,A,156354,695,50,0,116195
L026,4225,Debt consolidation,35000,14.85,C,21822,725,0,0,4888
L027,20000,Debt consolidation,65000,5.32,A,106217,835,0,0,15444
L028,16000,Debt consolidation,109000,17.97,D,228050,680,100,0,182936
L029,17600,Credit card refinancing,88000,5.32,A,285027,780,0,0,229082
L030,15000,Home improvement,44000,5.32,A,33800,685,0,0,17003
L031,16000,Business,65000,12.88,C,80999,675,0,0,39781
L032,24250,,75000,24.24,F,344960,660,63.6,0,320098
L033,12000,Debt consolidation,98000,10.78,B,478544,690,66.7,0,374585
L034,25000,Debt consolidation,79000,13.99,C,389002,730,0,0,265233
L035,16800,Debt consolidation,118000,12.88,C,412771,680,25,0,314793
L036,7000,Credit card refinancing,59000,7.49,A,115502,730,0,0,55222
L037,21000,Credit card refinancing,52000,13.99,C,370357,680,75,0,372407
L038,27500,Other,195000,14.85,C,325100,700,57.1,0,267500
L039,7200,Home improvement,72500,11.48,B,189950,725,0,0,147791
L040,20000,Credit card refinancing,110000,14.85,C,45509,690,100,0,37491
