ID,Bankcards at >75% limit (%),Bankruptcies,Derogatory records,Ratio of debt payments to income,Tax liens
L001,0,0,0,5.91,0
L002,7.7,0,0,16.06,0
L003,50,0,0,10.78,0
L004,0,0,0,17.06,0
L005,60,0,0,25.37,0
L006,100,0,0,10.2,0
L007,100,0,0,14.67,0
L008,0,0,0,17.61,0
L009,28.6,1,1,13.07,0
L010,33.3,0,0,34.8,0
L011,25,0,0,22.98,0
L012,60,0,0,26.4,0
L013,75,0,0,34.95,0
L014,14.3,1,1,9.39,0
L015,22.2,0,0,21.6,0
L016,66.7,0,0,22.44,0
L017,20,0,0,26.02,0
L018,0,0,0,8.68,0
L019,14.3,0,0,18.28,0
L020,50,1,1,25.49,0
L021,25,0,0,21.77,0
L022,0,0,2,33.18,2
L023,40,0,0,7.49,0
L024,100,0,0,12.7,0
L025,50,0,0,13.28,0
L026,0,0,0,15.22,0
L027,0,0,0,18.83,0
L028,100,0,0,23.35,0
L029,0,0,0,26.59,0
L030,0,0,0,15.34,0
L031,0,0,1,18.96,1
L032,63.6,0,0,20.84,0
L033,66.7,0,1,24.04,0
L034,0,0,0,34.53,0
L035,25,0,1,34.29,0
L036,0,0,0,13.06,0
L037,75,0,0,14.47,0
L038,57.1,0,0,6.79,0
L039,0,0,0,8.47,0
L040,100,0,0,12.45,0
L041,0,0,0,22.21,0
L042,100,0,0,35.7,0
L043,25,0,2,17.74,2
L044,0,0,0,23.45,0
L045,0,0,0,7.28,0
L046,50,1,1,12.14,0
L047,50,0,1,17.35,1
L048,100,0,0,5.18,0
L049,100,0,0,21.44,0
L050,0,0,0,17.6,0
L051,75,0,0,21.34,0
L052,100,0,0,24.71,0
L053,75,0,0,29.13,0
L054,0,0,0,18.01,0
L055,100,0,0,9.44,0
L056,0,0,0,10.24,0
L057,50,0,0,31.88,0
L058,33.3,0,0,6.46,0
L059,37.5,0,0,19.25,0
L060,0,0,0,10.81,0
L061,30.8,0,0,9.6,0
L062,60,0,0,17.76,0
L063,66.7,0,0,18,0
L064,0,0,0,17.36,0
L065,75,0,0,12.28,0
L066,87.5,0,0,24.29,0
L067,50,0,0,28.92,0
L068,60,0,0,28.52,0
L069,44.4,0,0,16.9,0
L070,100,0,0,17.56,0
L071,100,0,0,26.21,0
L072,100,0,0,13.09,0
L073,0,0,0,34.85,0
L074,50,0,0,31.04,0
L075,33.3,0,0,18.5,0
L076,0,0,0,16.11,0
L077,0,0,0,9.54,0
L078,100,0,0,34.95,0
L079,25,1,1,34.84,0
L080,100,0,0,33.2,0
L081,71.4,0,0,29.28,0
L082,33.3,0,0,15.78,0
L083,20,1,1,13.24,0
L084,85.7,0,0,20.43,0
L085,85.7,0,0,25.63,0
L086,0,0,0,4.65,0
L087,100,0,0,10.17,0
L088,0,1,1,30.84,0
L089,16.7,0,0,13.2,0
L090,0,1,1,13.73,0
L091,33.3,0,0,11.98,0
L092,0,0,0,15,0
L093,0,0,0,29.15,0
L094,0,0,0,20.18,0
L095,0,0,0,15.3,0
L096,100,0,0,21.23,0
L097,20,0,0,31.95,0
L098,50,0,0,25.65,0
L099,28.6,1,1,17.44,0
L100,0,0,0,13.21,0
L101,40,1,1,18.17,0
L102,,1,1,6.52,0
L103,60,0,0,21.07,0
L104,33.3,0,0,14.01,0
L105,66.7,0,0,27.78,0
L106,0,0,0,23.58,0
L107,12.5,0,0,8.43,0
L108,0,0,0,23.84,0
