ID,Loan amount ($),Loan intent,Annual income ($),Loan interest rate (%),Loan grade,Length of employment (years)
L001,3600,Debt consolidation,55000,13.99,C,10
L002,24700,Business,65000,11.99,C,10
L003,20000,,63000,10.78,B,10
L004,35000,Debt consolidation,110000,14.85,C,10
L005,10400,Major purchase,104433,22.45,F,3
L006,11950,Debt consolidation,34000,13.44,C,4
L007,20000,Debt consolidation,180000,9.17,B,10
L008,20000,Major purchase,85000,8.49,B,10
L009,10000,Credit card refinancing,85000,6.49,A,6
L010,8000,Credit card refinancing,42000,11.48,B,10
L011,22400,Debt consolidation,95000,12.88,C,6
L012,16000,Debt consolidation,70000,12.88,C,1
L013,1400,,64000,12.88,C,3
L014,18000,Debt consolidation,150000,19.48,E,7
L015,28000,Debt consolidation,92000,6.49,A,10
L016,9600,Credit card refinancing,60000,7.49,A,8
L017,25000,Debt consolidation,109000,7.49,A,10
L018,18000,Debt consolidation,112000,11.99,C,10
L019,23000,Credit card refinancing,64000,8.49,B,5
L020,8650,Debt consolidation,55000,19.89,E,8
L021,29900,Debt consolidation,65000,12.88,C,10
L022,16000,Credit card refinancing,48000,14.85,C,10
L023,28000,Debt consolidation,125000,13.44,C,2
L024,5000,Credit card refinancing,79000,13.44,C,2
L025,6000,Debt consolidation,100000,7.49,A,10
L026,4225,Debt consolidation,35000,14.85,C,5
L027,20000,Debt consolidation,65000,5.32,A,9
L028,16000,Debt consolidation,109000,17.97,D,1
L029,17600,Credit card refinancing,88000,5.32,A,1
L030,15000,Home improvement,44000,5.32,A,10
L031,16000,Business,65000,12.88,C,10
L032,24250,,75000,24.24,F,4
L033,12000,Debt consolidation,98000,10.78,B,1
L034,25000,Debt consolidation,79000,13.99,C,9
L035,16800,Debt consolidation,118000,12.88,C,10
L036,7000,Credit card refinancing,59000,7.49,A,10
L037,21000,Credit card refinancing,52000,13.99,C,1
L038,27500,Other,195000,14.85,C,10
L039,7200,Home improvement,72500,11.48,B,10
L040,20000,Credit card refinancing,110000,14.85,C,6
L041,20000,Home buying,70000,15.77,D,5
L042,10000,Credit card refinancing,55000,17.97,D,2
L043,16000,Debt consolidation,142000,13.99,C,9
L044,20000,Debt consolidation,75000,9.8,B,5
L045,8650,Credit card refinancing,100000,5.32,A,1
L046,21000,Debt consolidation,54649,13.44,C,2
L047,7200,,55000,15.77,D,1
L048,8800,Credit card refinancing,92000,9.8,B,10
L049,14650,Debt consolidation,43160,20.5,E,2
L050,2500,Other,50000,17.27,D,10
L051,11000,Credit card refinancing,69000,9.17,B,10
L052,23850,Debt consolidation,68046,17.27,D,10
L053,15700,Credit card refinancing,48000,16.59,D,6
L054,28800,Debt consolidation,60000,11.99,C,10
L055,10000,Home buying,91392,12.88,C,4
L056,24000,Home improvement,77900,9.8,B,
L057,28000,Debt consolidation,75000,18.49,D,10
L058,35000,Home improvement,128000,11.99,C,10
L059,7200,Debt consolidation,50000,9.17,B,10
L060,10000,Credit card refinancing,40100,7.91,A,2
L061,16000,Credit card refinancing,42000,13.44,C,1
L062,21875,Credit card refinancing,47590,11.99,C,1
L063,14025,Debt consolidation,39000,18.49,D,10
L064,35000,Debt consolidation,106000,12.88,C,7
L065,20000,Debt consolidation,145000,12.88,C,10
L066,14000,,60000,14.85,C,2
L067,16000,Credit card refinancing,62000,8.49,B,5
L068,28000,Debt consolidation,85000,14.85,C,2
L069,20000,Debt consolidation,70000,13.99,C,10
L070,17600,,44000,19.89,E,1
L071,4200,Debt consolidation,102500,13.44,C,10
L072,19000,Credit card refinancing,75000,14.85,C,9
L073,15850,Debt consolidation,45000,23.13,F,10
L074,10000,Debt consolidation,42500,11.99,C,10
L075,30000,Home improvement,175000,15.77,D,2
L076,1500,Vacation,45000,6.49,A,
L077,25000,Credit card refinancing,150000,5.32,A,1
L078,16250,Debt consolidation,50000,13.44,C,2
L079,20200,Debt consolidation,60000,18.49,D,4
L080,23975,Credit card refinancing,70000,19.89,E,10
L081,15000,Debt consolidation,65000,10.78,B,10
L082,10000,Debt consolidation,41600,10.78,B,3
L083,15000,Credit card refinancing,110000,8.49,B,6
L084,23100,Car financing,110000,20.5,E,2
L085,27300,Home improvement,65000,17.27,D,10
L086,25000,Credit card refinancing,135000,11.48,B,10
L087,15000,Credit card refinancing,40000,10.78,B,1
L088,10000,Debt consolidation,30000,16.59,D,1
L089,18500,Debt consolidation,70000,12.88,C,10
L090,5000,Credit card refinancing,32000,7.91,A,6
L091,9000,Debt consolidation,50000,9.17,B,1
L092,11000,Credit card refinancing,85000,6.49,A,10
L093,20000,Debt consolidation,55000,6.49,A,6
