ID,Endowment assets ($),Receiving financial aid (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Degree of urbanization,Geographic region
C0781,9412,100,14500,13608,14280,14280,Rural: Fringe,Southwest
C1187,6141,75,10314,9616,9918,10626,City: Midsize,Southeast
C1059,75786,98,37361,39012,40874,42305,City: Midsize,Far West
C0758,11156,100,26356,28000,29710,31018,Suburb: Large,Mid East
C0789,21589,99,30077,30713,32030,33332,City: Large,Mid East
C1146,11349,91,12078,12528,12892,13130,Suburb: Small,Mid East
C0341,5294,100,22590,23630,24280,24970,City: Small,Great Lakes
C0755,10331,83,11676,12019,12380,12380,Suburb: Large,Mid East
C1382,211002,100,29254,30376,31540,32850,City: Small,Southeast
C0716,41179,100,30578,31894,33330,34330,City: Large,Plains
C0863,15525,100,25270,26260,27370,28430,Suburb: Large,Mid East
C0309,48680,99,35525,36920,38300,39842,Suburb: Large,Great Lakes
C1238,13979,94,10298,10298,10680,10680,City: Large,Southeast
C1252,4610,96,6190,6716,7049,7507,Town: Remote,Southeast
C0590,15091,100,21182,21600,22664,23563,City: Midsize,Great Lakes
C0491,1123,99,7090,7300,7300,7300,Rural: Fringe,New England
C0715,22578,100,22115,23060,23800,24750,Town: Distant,Plains
C1527,38077,87,8300,8540,8900,9486,Suburb: Large,Far West
C0414,6213,97,3942,4082,4320,4358,Town: Remote,Plains
C0019,5870,88,7750,8520,9280,10000,Suburb: Large,Southeast
C0272,2122,94,5282,5645,5740,5837,Town: Fringe,Southeast
C0325,13240,97,20100,21600,22200,22800,City: Large,Great Lakes
C0707,12290,89,6162,6420,6435,6464,Town: Remote,Rocky Mountains
C1273,3647,83,4604,4786,5022,5238,City: Large,Southwest
C1519,,91,15024,15790,16795,16795,City: Small,Rocky Mountains
C1463,5303,88,7166,7536,7898,7946,Suburb: Midsize,Great Lakes
C0155,73,68,4093,4834,5341,5744,City: Large,Rocky Mountains
C1388,32350,93,7194,7721,8107,8509,Town: Distant,Southeast
C1267,61745,100,19550,20500,21530,22590,Town: Distant,Southwest
C1275,18003,87,7342,7513,8094,8401,City: Large,Southwest
C0927,13183,100,22292,23198,22784,23520,Suburb: Large,Southeast
C0220,23183,100,23400,24100,24800,25532,City: Midsize,Southeast
C0543,20675,99,29458,30626,32100,33230,Suburb: Large,New England
C1278,14574,100,21890,22790,23690,24790,City: Large,Southwest
C1480,,,,,,8800,City: Midsize,Far West
C0337,2988,82,10149,10719,11182,11767,Town: Remote,Great Lakes
C1038,5805,96,4652,4904,5060,5315,Town: Distant,Southwest
C0248,4532,91,4454,4786,4914,5035,Town: Distant,Southeast
C0618,3188,100,20536,21520,22538,23400,Suburb: Small,Great Lakes
C1344,1557,57,13022,13670,14218,14930,Rural: Distant,New England
C0872,4893,61,6881,7216,7645,8144,Suburb: Midsize,Mid East
C1414,3716,73,6858,7756,8805,8863,City: Small,Far West
C0943,11458,85,17160,17160,17160,17890,City: Large,Southeast
C1062,24918,99,32740,33990,35320,36660,City: Small,Mid East
C0958,28,88,6731,7270,7353,7660,City: Midsize,Plains
C0291,13111,79,19610,20644,21730,22792,City: Large,Great Lakes
C0565,36777,84,41982,43840,45125,46713,Rural: Fringe,New England
C1335,11426,81,5190,5560,5940,6030,City: Small,Rocky Mountains
C0947,143348,81,39970,41576,43200,44742,City: Midsize,Southeast
C1529,,,,,,,Rural: Fringe,Mid East
C0192,12127,99,20575,20975,21125,21630,City: Large,Mid East
C1343,4224,93,27180,28400,29865,31350,City: Small,New England
C0102,10735,100,28690,30390,31640,33020,City: Large,Far West
C0971,507,92,8516,9002,9314,9499,City: Large,Great Lakes
C0840,,100,28010,29100,30380,31260,Suburb: Large,Mid East
C0530,43924,62,39864,41420,42994,44880,City: Large,New England
C1521,,83,4330,5290,5082,5246,Suburb: Large,Southeast
C0822,36659,100,25360,26094,26924,27728,Rural: Remote,Mid East
C0245,382343,53,39158,41164,42980,44008,Suburb: Large,Southeast
C0109,7322,100,25881,27231,28314,29103,City: Large,Far West
C0023,11350,91,5748,6204,6660,6948,City: Midsize,Southeast
C1041,216498,88,28735,31551,33095,34835,City: Large,Southwest
C1390,20679,73,9459,10509,10923,11455,City: Small,Southeast
C1166,25526,96,18410,19090,19810,20540,Town: Distant,Mid East
C0083,7855,77,11958,13860,13877,13895,Suburb: Small,Far West
C0411,8289,93,18000,18400,19050,14800,Town: Remote,Plains
C1077,1193,96,7718,8404,8602,8806,Suburb: Large,Mid East
C0261,23346,99,18000,19000,19930,20730,Town: Distant,Southeast
C0422,5926,100,20400,21680,23000,23964,Town: Distant,Plains
C0528,43423,77,37058,38328,39628,41110,City: Small,New England
C0196,,100,12048,12048,12048,12048,Suburb: Large,Southeast
C1476,2603,,,,,,Town: Distant,New England
C0495,9500,98,21680,22770,22770,22770,Rural: Fringe,New England
C1234,6459,100,11646,11646,12348,12842,City: Large,Southeast
C0116,19810,41,11088,11376,11736,12096,City: Large,Far West
C1240,6065,87,16200,17720,18740,19490,Town: Remote,Southeast
C1176,46293,91,18960,19935,20685,21285,Suburb: Large,New England
C1086,28884,99,33250,34830,36550,38200,Suburb: Large,Mid East
C0230,6633,100,18742,19670,20418,21050,Town: Fringe,Southeast
C0940,10373,100,20577,21625,22900,24150,Rural: Distant,Southeast
C1297,51276,100,19548,20355,21540,22484,Town: Remote,Southwest
C0134,4355,100,21000,21600,22400,23300,City: Small,Far West
C0852,162764,89,40282,41826,43666,45372,City: Midsize,Mid East
C0250,2244,89,5340,5659,5754,6071,Town: Remote,Southeast
C0450,6788,99,6264,6576,6840,7044,Town: Remote,Southeast
C0753,7062,99,33410,35002,36352,37348,Suburb: Large,Mid East
C0557,1732,98,25100,26600,27850,28950,Suburb: Large,New England
