ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0001,Public,Doctoral degree,90,5800,6828,7182,7182,15,19,370,450,350,450,,,97
C0002,Public,Doctoral degree,87,5806,6264,6798,7206,22,28,520,640,520,650,,,90
C0003,Private,Doctoral degree,,8360,8720,6800,6870,,,,,,,,,100
C0004,Public,Doctoral degree,81,7492,8094,8794,9192,23,29,510,640,510,650,,,87
C0005,Public,Doctoral degree,51,7164,8082,7932,8720,15,19,380,480,370,480,,,93
C0006,Public,Doctoral degree,57,7900,8600,9200,9450,22,30,490,620,500,640,480,600,75
C0007,Public,Bachelor's degree,,,,,,,,,,,,,,
C0008,Public,Doctoral degree,84,6620,7580,8150,8750,18,23,,,,,,,90
C0009,Public,Doctoral degree,83,7900,8698,9446,9852,24,30,520,620,540,650,510,620,76
C0010,Private,Bachelor's degree,64,27890,29290,30690,30690,23,29,520,630,520,640,,,98
C0011,Private,Bachelor's degree,,7370,8090,8090,8090,,,,,,,,,100
C0012,Private,Doctoral degree,,14810,15880,17380,18230,,,,,,,,,99
C0013,Private,Bachelor's degree,63,20990,21990,22500,23500,19,24,420,500,420,540,,,100
C0014,Public,Doctoral degree,83,5424,6120,6360,7092,19,26,430,540,420,540,,,93
C0015,Private,Bachelor's degree,74,13900,14460,15100,15630,19,24,550,640,500,600,530,610,100
C0016,Public,Master's degree,100,6524,6918,7320,7660,18,22,,,,,,,95
C0017,Private,Bachelor's degree,,9896,10490,11014,11454,,,,,,,,,99
C0018,Private,Master's degree,71,16120,17220,18080,18690,20,25,470,610,470,680,,,93
C0019,Public,Master's degree,87,7750,8520,9280,10000,20,26,495,613,465,550,440,580,88
C0020,Public,Master's degree,81,5426,6084,6528,7078,19,25,413,565,433,530,,,82
C0021,Private,Master's degree,34,14250,14678,15414,16234,17,22,410,513,400,510,,,94
C0022,Private,Doctoral degree,77,21942,23963,25150,26328,23,28,500,630,510,610,500,610,98
C0023,Public,Doctoral degree,86,5748,6204,6660,6948,20,26,440,550,435,565,420,520,91
C0024,Private,Master's degree,46,26730,28060,29450,30924,21,27,480,600,480,600,480,610,100
C0025,Private,Bachelor's degree,43,14464,15062,15665,15901,17,20,350,450,383,438,,,100
C0026,Private,Bachelor's degree,,11111,11143,11492,11492,,,,,,,,,98
C0027,Public,Doctoral degree,68,5860,6412,6844,7276,18,24,,,,,,,78
C0028,Private,Doctoral degree,35,16750,17870,18900,18900,18,22,400,510,400,520,,,96
C0029,Public,Doctoral degree,,5186,5396,5726,5147,,,,,,,,,81
C0030,Public,Doctoral degree,,5358,5568,5898,4984,,,,,,,,,83
C0031,Public,Master's degree,,5130,5380,5740,5693,,,,,,,,,79
C0032,Private,Doctoral degree,37,26360,27110,29810,29810,20,24,465,575,450,510,435,568,100
C0033,Private,Bachelor's degree,,9750,10500,11700,12000,,,,,,,,,100
C0034,Public,Doctoral degree,80,8132,9720,9724,9861,22,28,500,620,520,650,,,91
C0035,Public,Doctoral degree,77,8237,10035,10035,10391,21,27,483,600,500,630,480,590,83
C0036,Private,Master's degree,79,29428,29552,30420,31034,23,29,500,630,540,650,490,600,91
C0037,Public,Doctoral degree,91,7672,8826,9272,9738,20,25,470,580,470,580,450,560,83
C0038,Private,Master's degree,,,,,,,,,,,,,,
C0039,Private,Doctoral degree,73,26235,27829,28820,29732,22,30,480,640,420,600,490,580,94
C0040,Private,Bachelor's degree,61,16174,18968,21040,21832,20,25,440,580,455,600,,,99
C0041,Public,Doctoral degree,53,6643,6937,6854,7094,20,27,360,480,410,480,,,94
C0042,Private,Bachelor's degree,,7432,7800,7800,8040,,,,,,,,,88
C0043,Private,Bachelor's degree,59,21324,22906,23594,23594,22,28,470,600,540,610,460,600,100
C0044,Public,Doctoral degree,59,6768,7174,7554,7818,23,28,500,600,520,630,,,81
C0045,Public,Doctoral degree,28,5033,5435,5724,5938,15,20,330,430,348,493,340,430,96
C0046,Public,Doctoral degree,76,6640,6934,7180,7510,21,26,410,515,458,548,413,478,95
C0047,Public,Master's degree,85,4804,5070,5286,5598,18,25,370,490,410,520,370,490,95
C0048,Public,Master's degree,,4990,5290,5560,5793,,,,,,,,,98
C0049,Public,Doctoral degree,90,6908,7183,7333,7595,20,26,,,,,,,95
C0050,Private,Bachelor's degree,54,10760,11610,12530,13350,18,23,430,590,470,670,430,620,99
C0051,Private,Doctoral degree,76,14040,14610,15240,16170,22,28,490,630,500,620,,,98
C0052,Public,Master's degree,62,6740,7010,7280,7580,19,24,460,538,490,590,,,98
