ID,Control,Highest degree offered,,Admission rate (%),Total enrollment,Tuition and fees 2011-12 ($),4-year graduation rate (%),Geographic region,ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0001,Public,Doctoral degree,,90,5020,6828,10,Southeast,15,19,97
C0002,Public,Doctoral degree,,87,18568,6264,29,Southeast,22,28,90
C0003,Private,Doctoral degree,,,631,8720,0,Southeast,,,100
C0004,Public,Doctoral degree,,81,7376,8094,16,Southeast,23,29,87
C0005,Public,Doctoral degree,,51,6075,8082,9,Southeast,15,19,93
C0006,Public,Doctoral degree,,57,34752,8600,43,Southeast,22,30,75
C0007,Public,Bachelor's degree,,,3170,,,Southeast,,,
C0008,Public,Doctoral degree,,84,5084,7580,10,Southeast,18,23,90
C0009,Public,Doctoral degree,,83,24864,8698,38,Southeast,24,30,76
C0010,Private,Bachelor's degree,,64,1188,29290,53,Southeast,23,29,98
C0011,Private,Bachelor's degree,,,600,8090,10,Southeast,,,100
C0012,Private,Doctoral degree,,,3193,15880,11,Southeast,,,99
C0013,Private,Bachelor's degree,,63,1110,21990,30,Southeast,19,24,100
C0014,Public,Doctoral degree,,83,8693,6120,10,Southeast,19,26,93
C0015,Private,Bachelor's degree,,74,347,14460,38,Southeast,19,24,100
C0016,Public,Master's degree,,100,4427,6918,18,Southeast,18,22,95
C0017,Private,Bachelor's degree,,,1666,10490,6,Southeast,,,99
C0018,Private,Master's degree,,71,1610,17220,33,Southeast,20,25,93
C0019,Public,Master's degree,,87,3062,8520,24,Southeast,20,26,88
C0020,Public,Master's degree,,81,6931,6084,12,Southeast,19,25,82
C0021,Private,Master's degree,,34,1903,14678,19,Southeast,17,22,94
C0022,Private,Doctoral degree,,77,4833,23963,49,Southeast,23,28,98
C0023,Public,Doctoral degree,,86,15065,6204,14,Southeast,20,26,91
C0024,Private,Master's degree,,46,1422,28060,47,Southeast,21,27,100
C0025,Private,Bachelor's degree,,43,863,15062,17,Southeast,17,20,100
C0026,Private,Bachelor's degree,,,932,11143,82,Southeast,,,98
C0027,Public,Doctoral degree,,68,20573,6412,13,Southeast,18,24,78
C0028,Private,Doctoral degree,,35,3118,17870,17,Southeast,18,22,96
C0029,Public,Doctoral degree,,,17363,5396,9,Far West,,,81
C0030,Public,Doctoral degree,,,9166,5568,14,Far West,,,83
C0031,Public,Master's degree,,,2996,5380,4,Far West,,,79
C0032,Private,Doctoral degree,,37,669,27110,25,Far West,20,24,100
C0033,Private,Bachelor's degree,,,79,10500,25,Southwest,,,100
C0034,Public,Doctoral degree,,80,48702,9720,38,Southwest,22,28,91
C0035,Public,Doctoral degree,,77,40621,10035,40,Southwest,21,27,83
C0036,Private,Master's degree,,79,1921,29552,37,Southwest,23,29,91
C0037,Public,Doctoral degree,,91,26594,8826,30,Southwest,20,25,83
C0038,Private,Master's degree,,,653,,,Southwest,,,
C0039,Private,Doctoral degree,,73,943,27829,23,Southwest,22,30,94
C0040,Private,Bachelor's degree,,61,635,18968,28,Southwest,20,25,99
C0041,Public,Doctoral degree,,53,12377,6937,7,Southeast,20,27,94
C0042,Private,Bachelor's degree,,,1027,7800,4,Southeast,,,88
C0043,Private,Bachelor's degree,,59,592,22906,43,Southeast,22,28,100
C0044,Public,Doctoral degree,,59,25341,7174,37,Southeast,23,28,81
C0045,Public,Doctoral degree,,28,2615,5435,6,Southeast,15,20,96
C0046,Public,Doctoral degree,,76,13552,6934,19,Southeast,21,26,95
C0047,Public,Master's degree,,85,11369,5070,21,Southeast,18,25,95
C0048,Public,Master's degree,,,3893,5290,10,Southeast,,,98
C0049,Public,Doctoral degree,,90,11534,7183,21,Southeast,20,26,95
C0050,Private,Bachelor's degree,,54,827,11610,19,Southeast,18,23,99
C0051,Private,Doctoral degree,,76,6238,14610,40,Southeast,22,28,98
C0052,Public,Master's degree,,62,3583,7010,14,Southeast,19,24,98
C0053,Private,Master's degree,,80,1444,34230,63,Southeast,26,32,100
C0054,Private,Master's degree,,70,2596,20766,55,Southeast,22,28,99
C0055,Private,Bachelor's degree,,70,1543,20630,48,Southeast,21,27,99
C0056,Private,Bachelor's degree,,61,585,22050,34,Southeast,20,26,98
C0057,Private,Bachelor's degree,,,556,11910,20,Southeast,,,100
C0058,Private,Bachelor's degree,,68,574,12620,24,Southeast,19,24,100
C0059,Public,Master's degree,,61,3404,6786,14,Southeast,18,24,97
C0060,Public,Bachelor's degree,,57,7170,4250,9,Southeast,19,25,96
C0061,Private,Doctoral degree,,80,10755,29940,47,Far West,21,27,92
C0062,Private,Doctoral degree,,73,6301,29908,49,Far West,22,27,96
C0063,Private,Doctoral degree,,,1271,,,Far West,,,
C0064,Private,Master's degree,,79,7144,25808,41,Far West,18,24,95
C0065,Private,Doctoral degree,,11,2181,37704,82,Far West,33,35,73
C0066,Private,Doctoral degree,,48,4282,32860,61,Far West,22,26,98
C0067,Public,Master's degree,,31,19703,7911,29,Far West,25,30,50
C0068,Private,Doctoral degree,,49,4201,,,Far West,,,75
C0069,Public,Master's degree,,66,8371,6682,15,Far West,15,22,81
C0070,Public,Doctoral degree,,72,8917,6582,18,Far West,16,22,82
C0071,Public,Doctoral degree,,58,18398,6518,9,Far West,16,20,85
C0072,Public,Doctoral degree,,52,22501,6106,10,Far West,20,26,68
C0073,Public,Master's degree,,72,16356,6890,17,Far West,19,24,63
C0074,Public,Master's degree,,57,14670,6095,4,Far West,15,19,88
C0075,Public,Doctoral degree,,58,23060,6263,14,Far West,16,22,80
C0076,Public,Doctoral degree,,46,38325,6120,14,Far West,19,24,66
C0077,Public,Doctoral degree,,69,14526,6414,11,Far West,16,22,75
C0078,Public,Doctoral degree,,31,35586,6240,14,Far West,18,24,71
C0079,Public,Doctoral degree,,68,23258,6095,7,Far West,15,20,82
C0080,Public,Doctoral degree,,46,38310,6488,13,Far West,16,22,74
C0081,Public,Doctoral degree,,70,28811,6573,8,Far West,17,22,79
C0082,Public,Doctoral degree,,18,36198,12834,72,Far West,27,33,69
C0083,Public,Doctoral degree,,45,33307,13860,51,Far West,23,29,77
C0084,Public,Doctoral degree,,42,28895,13122,68,Far West,21,27,77
C0085,Public,Doctoral degree,,22,40795,12686,69,Far West,25,31,62
C0086,Public,Doctoral degree,,62,21207,12924,41,Far West,20,25,86
C0087,Public,Doctoral degree,,38,29517,13200,56,Far West,25,31,62
C0088,Public,Doctoral degree,,44,22225,13595,68,Far West,24,29,70
C0089,Public,Doctoral degree,,60,17203,13416,50,Far West,20,26,80
C0090,Public,Bachelor's degree,,75,1045,6536,43,Far West,21,26,68
C0091,Private,Doctoral degree,,45,7892,40234,59,Far West,24,29,87
C0092,Private,Master's degree,,91,4046,27300,54,Far West,20,25,100
C0093,Private,Bachelor's degree,,49,914,23814,31,Far West,19,22,100
C0094,Private,Doctoral degree,,,2204,,,Far West,,,
C0095,Private,Master's degree,,12,1328,42240,84,Far West,29,33,53
C0096,Private,Master's degree,,100,833,19600,100,Far West,,,90
C0097,Private,Master's degree,,78,2147,37350,36,Far West,20,25,98
C0098,Private,Doctoral degree,,,1190,,,Far West,,,
C0099,Private,Master's degree,,78,3393,24790,43,Far West,18,22,99
C0100,Private,Doctoral degree,,,3227,,,Far West,,,
C0101,Private,Bachelor's degree,,18,807,42410,86,Far West,32,35,75
C0102,Private,Master's degree,,57,1343,30390,25,Far West,17,21,100
C0103,Public,Master's degree,,80,8293,7062,11,Far West,18,24,74
C0104,Private,Doctoral degree,,,990,10620,52,Far West,,,73
C0105,Private,Doctoral degree,,,1356,,,Far West,,,
C0106,Private,Master's degree,,59,229,25788,69,Far West,,,92
C0107,Private,Doctoral degree,,39,8796,31300,39,Far West,20,25,97
C0108,Private,Doctoral degree,,,492,9220,0,Far West,,,22
C0109,Private,Doctoral degree,,47,2440,27231,30,Far West,17,22,100
C0110,Private,Doctoral degree,,61,1499,26650,48,Far West,22,27,99
C0111,Private,Doctoral degree,,54,9661,37825,67,Far West,25,29,90
C0112,Private,Bachelor's degree,,37,745,35076,28,Far West,19,25,98
C0113,Private,Doctoral degree,,68,1595,39264,53,Far West,23,28,100
C0114,Private,Master's degree,,,731,,,Far West,,,
C0115,Private,Doctoral degree,,74,3274,31339,52,Far West,16,22,100
C0116,Private,Doctoral degree,,,18207,11376,15,Far West,,,41
C0117,Private,Master's degree,,87,2030,29890,36,Far West,18,22,100
C0118,Private,Master's degree,,42,2128,42871,83,Far West,27,31,69
C0119,Private,Master's degree,,47,1356,24064,27,Far West,17,22,98
C0120,Private,Master's degree,,51,1647,25965,24,Far West,18,25,100
C0121,Private,Doctoral degree,,73,6421,36290,40,Far West,22,29,91
C0122,Private,Doctoral degree,,37,7315,40752,70,Far West,,,72
C0123,Private,Bachelor's degree,,15,1081,42550,73,Far West,,,41
C0124,Private,Master's degree,,67,3359,28310,62,Far West,23,28,93
C0125,Private,Bachelor's degree,,14,1610,39883,93,Far West,31,34,68
