ID,Control,Highest degree offered,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Endowment assets ($),Receiving financial aid (%),Admission rate (%)
C0001,Public,Doctoral degree,5020,10,23,29,15,19,370,450,350,450,,,,97,90
C0002,Public,Doctoral degree,18568,29,46,53,22,28,520,640,520,650,,,24136,90,87
C0003,Private,Doctoral degree,631,0,0,67,,,,,,,,,302,100,
C0004,Public,Doctoral degree,7376,16,37,48,23,29,510,640,510,650,,,11502,87,81
C0005,Public,Doctoral degree,6075,9,19,25,15,19,380,480,370,480,,,13202,93,51
C0006,Public,Doctoral degree,34752,43,62,67,22,30,490,620,500,640,480,600,19469,75,57
C0007,Public,Bachelor's degree,3170,,,,,,,,,,,,854,,
C0008,Public,Doctoral degree,5084,10,22,27,18,23,,,,,,,10736,90,84
C0009,Public,Doctoral degree,24864,38,63,68,24,30,520,620,540,650,510,620,22092,76,83
C0010,Private,Bachelor's degree,1188,53,60,62,23,29,520,630,520,640,,,37598,98,64
C0011,Private,Bachelor's degree,600,10,14,14,,,,,,,,,,100,
C0012,Private,Doctoral degree,3193,11,21,23,,,,,,,,,5494,99,
C0013,Private,Bachelor's degree,1110,30,40,43,19,24,420,500,420,540,,,41486,100,63
C0014,Public,Doctoral degree,8693,10,25,31,19,26,430,540,420,540,,,1488,93,83
C0015,Private,Bachelor's degree,347,38,41,41,19,24,550,640,500,600,530,610,44004,100,74
C0016,Public,Master's degree,4427,18,28,30,18,22,,,,,,,97,95,100
C0017,Private,Bachelor's degree,1666,6,16,22,,,,,,,,,10086,99,
C0018,Private,Master's degree,1610,33,47,49,20,25,470,610,470,680,,,14086,93,71
C0019,Public,Master's degree,3062,24,39,45,20,26,495,613,465,550,440,580,5870,88,87
C0020,Public,Master's degree,6931,12,27,32,19,25,413,565,433,530,,,4290,82,81
C0021,Private,Master's degree,1903,19,31,37,17,22,410,513,400,510,,,5665,94,34
C0022,Private,Doctoral degree,4833,49,64,69,23,28,500,630,510,610,500,610,60561,98,77
C0023,Public,Doctoral degree,15065,14,27,33,20,26,440,550,435,565,420,520,11350,91,86
C0024,Private,Master's degree,1422,47,55,56,21,27,480,600,480,600,480,610,15871,100,46
C0025,Private,Bachelor's degree,863,17,23,26,17,20,350,450,383,438,,,19434,100,43
C0026,Private,Bachelor's degree,932,82,82,82,,,,,,,,,6100,98,
C0027,Public,Doctoral degree,20573,13,29,36,18,24,,,,,,,33,78,68
C0028,Private,Doctoral degree,3118,17,36,44,18,22,400,510,400,520,,,37366,96,35
C0029,Public,Doctoral degree,17363,9,19,28,,,,,,,,,4018,81,
