Q1,Q2,Q2_3_TEXT,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q7_7_TEXT,Q8
Please copy and paste the bold text above into the text box below.,With which gender identity do you most identify? - Selected Choice,With which gender identity do you most identify? - Other (please specify) - Text,What is your age? - Selected Choice,What is your age? - 4 - Text,What is the highest level of education you have either completed or are currently pursuing?,What is your field of occupation?,"If you are a student, what is your major field of study? If you are not a student, please type “N/A”",Which of the following tools or suites of tools do you currently use or have used at some point for visual data analysis? Please select all that apply. - Selected Choice,Which of the following tools or suites of tools do you currently use or have used at some point for visual data analysis? Please select all that apply. - Other (please specify) - Text,What is your level of experience using Microsoft Excel for the purposes of visualizing data?
ngFQZ3PEO5NJ,Male,,,25,Master's degree,Student,Industrial design,Tableau,,3 - I have moderate experience
JT7ru39Irzx7,Male,,,24,Master's degree,Student,Analytics,"Tableau,Microsoft Power BI,Python/matplotlib,R/ggplot2",,4 - I have a lot of experience
a6RSZr6Rflrh,Male,,,26,Master's degree,Student,Analytics,"Tableau,Microsoft Power BI,Python/matplotlib,R/ggplot2",,4 - I have a lot of experience
SyndXrJWn1Ei,Male,,,21,Bachelor's degree,Student,Computer Science,"Tableau,Python/matplotlib,Other (please specify)",d3,3 - I have moderate experience
HuW1wIIebZWn,Male,,,23,Master's degree,Student,Computer Science,"Tableau,SAS,Python/matplotlib",,3 - I have moderate experience
NvepUR3xQYb3,Female,,,25,Master's degree,Student,HCI,"Tableau,SAS,Python/matplotlib,R/ggplot2",,3 - I have moderate experience
w7TNykrDwr1q,Female,,,27,Master's degree,Student,Computer Science,"Tableau,Other (please specify)",AWS QuickSight,2 - I have a little experience
tqJLycRmlf6B,Female,,,25,Master's degree,Student,Computer Science,"Tableau,Python/matplotlib,R/ggplot2",,2 - I have a little experience
CoYhbad22Jko,Female,,,21,Bachelor's degree,Student,Computer Science,"Tableau,Python/matplotlib,Other (please specify)",D3.js,3 - I have moderate experience
w7TXwcLz7Ydb,Female,,,24,Doctoral degree,Student,Human-Centered Computing,"Tableau,Python/matplotlib,R/ggplot2",,3 - I have moderate experience
 ruM5fRj1p3f9,Female,,,25,Master's degree,student,Human computer interaction,Other (please specify),"Google sheets, Excel",3 - I have moderate experience
wQez7lrGYiza,Female,,,27,Master's degree,Student,Analytics,"Tableau,Microsoft Power BI,Python/matplotlib,R/ggplot2",,3 - I have moderate experience
xnfPy13ddVDB,Female,,,24,Master's degree,Student,Computer Science,"Tableau,Microsoft Power BI,Python/matplotlib",,3 - I have moderate experience
2Ispy3RTXFLN,Female,,,22,Master's degree,Student,Computer Science,Tableau,,3 - I have moderate experience
MQNQXUlXMlJG,Male,,,23,Master's degree,Student,Computer Science,"Tableau,Python/matplotlib",,2 - I have a little experience
yvoRfW5318GY,Male,,,26,Master's degree,Student,Analytics,Tableau,,3 - I have moderate experience
