ID,Control,Highest degree offered
C0001,Public,Doctoral degree
C0002,Public,Doctoral degree
C0003,Private,Doctoral degree
C0004,Public,Doctoral degree
C0005,Public,Doctoral degree
C0006,Public,Doctoral degree
C0007,Public,Bachelor's degree
C0008,Public,Doctoral degree
C0009,Public,Doctoral degree
C0010,Private,Bachelor's degree
C0011,Private,Bachelor's degree
C0012,Private,Doctoral degree
C0013,Private,Bachelor's degree
C0014,Public,Doctoral degree
C0015,Private,Bachelor's degree
C0016,Public,Master's degree
C0017,Private,Bachelor's degree
C0018,Private,Master's degree
C0019,Public,Master's degree
C0020,Public,Master's degree
C0021,Private,Master's degree
C0022,Private,Doctoral degree
C0023,Public,Doctoral degree
C0024,Private,Master's degree
C0025,Private,Bachelor's degree
C0026,Private,Bachelor's degree
C0027,Public,Doctoral degree
C0028,Private,Doctoral degree
C0029,Public,Doctoral degree
C0030,Public,Doctoral degree
C0031,Public,Master's degree
C0032,Private,Doctoral degree
C0033,Private,Bachelor's degree
C0034,Public,Doctoral degree
C0035,Public,Doctoral degree
C0036,Private,Master's degree
C0037,Public,Doctoral degree
C0038,Private,Master's degree
C0039,Private,Doctoral degree
C0040,Private,Bachelor's degree
C0041,Public,Doctoral degree
C0042,Private,Bachelor's degree
C0043,Private,Bachelor's degree
C0044,Public,Doctoral degree
C0045,Public,Doctoral degree
C0046,Public,Doctoral degree
C0047,Public,Master's degree
C0048,Public,Master's degree
C0049,Public,Doctoral degree
C0050,Private,Bachelor's degree
C0051,Private,Doctoral degree
C0052,Public,Master's degree
C0053,Private,Master's degree
C0054,Private,Master's degree
C0055,Private,Bachelor's degree
C0056,Private,Bachelor's degree
C0057,Private,Bachelor's degree
C0058,Private,Bachelor's degree
C0059,Public,Master's degree
C0060,Public,Bachelor's degree
C0061,Private,Doctoral degree
C0062,Private,Doctoral degree
C0063,Private,Doctoral degree
C0064,Private,Master's degree
C0065,Private,Doctoral degree
C0066,Private,Doctoral degree
C0067,Public,Master's degree
C0068,Private,Doctoral degree
C0069,Public,Master's degree
C0070,Public,Doctoral degree
C0071,Public,Doctoral degree
C0072,Public,Doctoral degree
C0073,Public,Master's degree
C0074,Public,Master's degree
C0075,Public,Doctoral degree
C0076,Public,Doctoral degree
C0077,Public,Doctoral degree
C0078,Public,Doctoral degree
C0079,Public,Doctoral degree
C0080,Public,Doctoral degree
C0081,Public,Doctoral degree
C0082,Public,Doctoral degree
C0083,Public,Doctoral degree
C0084,Public,Doctoral degree
C0085,Public,Doctoral degree
C0086,Public,Doctoral degree
C0087,Public,Doctoral degree
C0088,Public,Doctoral degree
C0089,Public,Doctoral degree
C0090,Public,Bachelor's degree
C0091,Private,Doctoral degree
C0092,Private,Master's degree
C0093,Private,Bachelor's degree
C0094,Private,Doctoral degree
C0095,Private,Master's degree
C0096,Private,Master's degree
C0097,Private,Master's degree
C0098,Private,Doctoral degree
C0099,Private,Master's degree
C0100,Private,Doctoral degree
C0101,Private,Bachelor's degree
C0102,Private,Master's degree
C0103,Public,Master's degree
C0104,Private,Doctoral degree
C0105,Private,Doctoral degree
C0106,Private,Master's degree
C0107,Private,Doctoral degree
C0108,Private,Doctoral degree
C0109,Private,Doctoral degree
C0110,Private,Doctoral degree
C0111,Private,Doctoral degree
C0112,Private,Bachelor's degree
C0113,Private,Doctoral degree
C0114,Private,Master's degree
C0115,Private,Doctoral degree
C0116,Private,Doctoral degree
C0117,Private,Master's degree
C0118,Private,Master's degree
C0119,Private,Master's degree
C0120,Private,Master's degree
C0121,Private,Doctoral degree
C0122,Private,Doctoral degree
C0123,Private,Bachelor's degree
C0124,Private,Master's degree
C0125,Private,Bachelor's degree
C0126,Private,Doctoral degree
C0127,Public,Doctoral degree
C0128,Private,Doctoral degree
C0129,Public,Doctoral degree
C0130,Private,Doctoral degree
C0131,Public,Master's degree
C0132,Private,Doctoral degree
C0133,Private,Bachelor's degree
C0134,Private,Master's degree
C0135,Private,Doctoral degree
C0136,Public,Master's degree
C0137,Private,Master's degree
C0138,Private,Doctoral degree
C0139,Private,Bachelor's degree
C0140,Private,Bachelor's degree
C0141,Private,Doctoral degree
C0142,Private,Master's degree
C0143,Public,Master's degree
C0144,Public,Doctoral degree
C0145,Public,Doctoral degree
C0146,Public,Doctoral degree
C0147,Private,Master's degree
