ID,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile),ACT Composite score (75th percentile),Admission rate (%),Admission yield (%),Admissions total,Applicants total,Control,Degree of urbanization,Endowment assets ($),Full-time enrollment,Geographic region,Graduate enrollment,Highest degree offered,Historically Black College or University?,Part-time enrollment,Receiving financial aid (%),Religious affiliation,SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile),SAT Writing score (75th percentile),Total enrollment,Tribal college?,Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Undergraduate enrollment
C0001,10,23,29,15,19,90,20,5521,6142,Public,City: Midsize,,4439,Southeast,969,Doctoral degree,Yes,581,97,N/A,370,450,350,450,,,5020,No,5800,6828,7182,7182,4051
C0002,29,46,53,22,28,87,36,4934,5689,Public,City: Midsize,24136,11961,Southeast,7066,Doctoral degree,No,6607,90,N/A,520,640,520,650,,,18568,No,5806,6264,6798,7206,11502
C0003,0,0,67,,,,,,,Private,City: Midsize,302,323,Southeast,309,Doctoral degree,No,308,100,Churches of Christ,,,,,,,631,No,8360,8720,6800,6870,322
C0004,16,37,48,23,29,81,39,1656,2054,Public,City: Midsize,11502,4802,Southeast,1680,Doctoral degree,No,2574,87,N/A,510,640,510,650,,,7376,No,7492,8094,8794,9192,5696
C0005,9,19,25,15,19,51,28,5251,10245,Public,City: Midsize,13202,5182,Southeast,719,Doctoral degree,Yes,893,93,N/A,380,480,370,480,,,6075,No,7164,8082,7932,8720,5356
C0006,43,62,67,22,30,57,37,17515,30975,Public,City: Small,19469,29498,Southeast,5312,Doctoral degree,No,5254,75,N/A,490,620,500,640,480,600,34752,No,7900,8600,9200,9450,29440
C0007,,,,,,,,,,Public,Town: Fringe,854,1350,Southeast,0,Bachelor's degree,No,1820,,N/A,,,,,,,3170,No,,,,,3170
C0008,10,22,27,18,23,84,35,1639,1958,Public,City: Midsize,10736,3223,Southeast,762,Doctoral degree,No,1861,90,N/A,,,,,,,5084,No,6620,7580,8150,8750,4322
C0009,38,63,68,24,30,83,29,13027,15745,Public,City: Small,22092,21093,Southeast,5065,Doctoral degree,No,3771,76,N/A,520,620,540,650,510,620,24864,No,7900,8698,9446,9852,19799
C0010,53,60,62,23,29,64,29,1240,1931,Private,City: Midsize,37598,1167,Southeast,0,Bachelor's degree,No,21,98,United Methodist,520,630,520,640,,,1188,No,27890,29290,30690,30690,1188
C0011,10,14,14,,,,,,,Private,Town: Distant,,543,Southeast,0,Bachelor's degree,Yes,57,100,Lutheran Church - Missouri Synod,,,,,,,600,No,7370,8090,8090,8090,600
C0012,11,21,23,,,,,,,Private,City: Midsize,5494,2321,Southeast,576,Doctoral degree,No,872,99,Churches of Christ,,,,,,,3193,No,14810,15880,17380,18230,2617
C0013,30,40,43,19,24,63,28,923,1470,Private,City: Midsize,41486,902,Southeast,0,Bachelor's degree,No,208,100,United Methodist,420,500,420,540,,,1110,No,20990,21990,22500,23500,1110
C0014,10,25,31,19,26,83,45,2567,3083,Public,City: Small,1488,5982,Southeast,1105,Doctoral degree,No,2711,93,N/A,430,540,420,540,,,8693,No,5424,6120,6360,7092,7588
C0015,38,41,41,19,24,74,34,198,268,Private,Rural: Remote,44004,262,Southeast,0,Bachelor's degree,No,85,100,Baptist,550,640,500,600,530,610,347,No,13900,14460,15100,15630,347
C0016,18,28,30,18,22,100,83,460,462,Public,Rural: Remote,97,3890,Southeast,2428,Master's degree,No,537,95,N/A,,,,,,,4427,No,6524,6918,7320,7660,1999
C0017,6,16,22,,,,,,,Private,Suburb: Large,10086,1577,Southeast,0,Bachelor's degree,Yes,89,99,Christian Methodist Episcopal,,,,,,,1666,No,9896,10490,11014,11454,1666
C0018,33,47,49,20,25,71,42,617,866,Private,Rural: Fringe,14086,1288,Southeast,129,Master's degree,No,322,93,Southern Baptist,470,610,470,680,,,1610,No,16120,17220,18080,18690,1481
C0019,24,39,45,20,26,87,44,1209,1385,Public,Suburb: Large,5870,2526,Southeast,444,Master's degree,No,536,88,N/A,495,613,465,550,440,580,3062,No,7750,8520,9280,10000,2618
C0020,12,27,32,19,25,81,47,2057,2542,Public,City: Small,4290,5133,Southeast,1050,Master's degree,No,1798,82,N/A,413,565,433,530,,,6931,No,5426,6084,6528,7078,5881
C0021,19,31,37,17,22,34,44,937,2728,Private,City: Midsize,5665,1810,Southeast,42,Master's degree,Yes,93,94,Seventh Day Adventists,410,513,400,510,,,1903,No,14250,14678,15414,16234,1861
C0022,49,64,69,23,28,77,29,2653,3447,Private,Suburb: Large,60561,4361,Southeast,1820,Doctoral degree,No,472,98,Baptist,500,630,510,610,500,610,4833,No,21942,23963,25150,26328,3013
C0023,14,27,33,20,26,86,45,4142,4814,Public,City: Midsize,11350,12028,Southeast,3758,Doctoral degree,No,3037,91,N/A,440,550,435,565,420,520,15065,No,5748,6204,6660,6948,11307
C0024,47,55,56,21,27,46,14,3052,6596,Private,City: Midsize,15871,1210,Southeast,130,Master's degree,No,212,100,Roman Catholic,480,600,480,600,480,610,1422,No,26730,28060,29450,30924,1292
C0025,17,23,26,17,20,43,15,1772,4121,Private,City: Small,19434,808,Southeast,0,Bachelor's degree,Yes,55,100,Presbyterian Church (USA),350,450,383,438,,,863,No,14464,15062,15665,15901,863
C0026,82,82,82,,,,,,,Private,Town: Distant,6100,849,Southeast,0,Bachelor's degree,Yes,83,98,United Church of Christ,,,,,,,932,No,11111,11143,11492,11492,932
C0027,13,29,36,18,24,68,51,4056,5946,Public,Rural: Fringe,33,10334,Southeast,4257,Doctoral degree,No,10239,78,N/A,,,,,,,20573,No,5860,6412,6844,7276,16316
C0028,17,36,44,18,22,35,18,3519,10022,Private,Town: Distant,37366,2954,Southeast,534,Doctoral degree,Yes,164,96,N/A,400,510,400,520,,,3118,No,16750,17870,18900,18900,2584
C0029,9,19,28,,,,,,,Public,City: Large,4018,7904,Far West,983,Doctoral degree,No,9459,81,N/A,,,,,,,17363,No,5186,5396,5726,5147,16380
C0030,14,32,37,,,,,,,Public,Suburb: Small,12346,4283,Far West,1177,Doctoral degree,No,4883,83,N/A,,,,,,,9166,No,5358,5568,5898,4984,7989
C0031,4,10,12,,,,,,,Public,Town: Remote,2108,889,Far West,351,Master's degree,No,2107,79,N/A,,,,,,,2996,No,5130,5380,5740,5693,2645
C0032,25,33,40,20,24,37,18,185,494,Private,City: Large,192792,323,Far West,282,Doctoral degree,No,346,100,United Methodist,465,575,450,510,435,568,669,No,26360,27110,29810,29810,387
C0033,25,50,50,,,,,,,Private,City: Large,1665,68,Southwest,0,Bachelor's degree,No,11,100,Assemblies of God Church,,,,,,,79,No,9750,10500,11700,12000,79
C0034,38,55,59,22,28,80,41,17465,21770,Public,City: Midsize,8058,42498,Southwest,9972,Doctoral degree,No,6204,91,N/A,500,620,520,650,,,48702,No,8132,9720,9724,9861,38730
C0035,40,58,61,21,27,77,37,20251,26329,Public,City: Large,15972,35388,Southwest,8951,Doctoral degree,No,5233,83,N/A,483,600,500,630,480,590,40621,No,8237,10035,10035,10391,31670
C0036,37,56,59,23,29,79,34,1334,1689,Private,Rural: Fringe,11293,1786,Southwest,42,Master's degree,No,135,91,N/A,500,630,540,650,490,600,1921,No,29428,29552,30420,31034,1879
C0037,30,45,49,20,25,91,15,31057,33989,Public,City: Small,4163,20533,Southwest,4434,Doctoral degree,No,6061,83,N/A,470,580,470,580,450,560,26594,No,7672,8826,9272,9738,22160
C0038,,,,,,,,,,Private,City: Large,4498,6,Southwest,308,Master's degree,No,647,,American Baptist,,,,,,,653,No,,,,,345
C0039,23,35,38,22,30,73,17,291,399,Private,City: Small,1166,572,Southwest,398,Doctoral degree,No,371,94,N/A,480,640,420,600,490,580,943,No,26235,27829,28820,29732,545
C0040,28,46,47,20,25,61,43,209,344,Private,City: Large,3657,454,Southwest,0,Bachelor's degree,No,181,99,Undenominational,440,580,455,600,,,635,No,16174,18968,21040,21832,635
C0041,7,16,21,20,27,53,88,761,1443,Public,City: Midsize,7674,6632,Southeast,2407,Doctoral degree,No,5745,94,N/A,360,480,410,480,,,12377,No,6643,6937,6854,7094,9970
C0042,4,8,9,,,,,,,Private,City: Midsize,,867,Southeast,0,Bachelor's degree,Yes,160,88,Baptist,,,,,,,1027,No,7432,7800,7800,8040,1027
C0043,43,45,50,22,28,59,23,772,1309,Private,Town: Remote,79323,562,Southeast,0,Bachelor's degree,No,30,100,Presbyterian Church (USA),470,600,540,610,460,600,592,No,21324,22906,23594,23594,592
C0044,37,55,60,23,28,59,39,11076,18908,Public,City: Small,36209,20379,Southeast,4332,Doctoral degree,No,4962,81,N/A,500,600,520,630,,,25341,No,6768,7174,7554,7818,21009
C0045,6,19,26,15,20,28,50,1134,4094,Public,City: Small,681,2328,Southeast,94,Doctoral degree,Yes,287,96,N/A,330,430,348,493,340,430,2615,No,5033,5435,5724,5938,2521
C0046,19,31,36,21,26,76,44,3653,4838,Public,City: Small,3440,8384,Southeast,3454,Doctoral degree,No,5168,95,N/A,410,515,458,548,413,478,13552,No,6640,6934,7180,7510,10098
C0047,21,36,41,18,25,85,54,3271,3847,Public,Town: Remote,2252,7283,Southeast,887,Master's degree,No,4086,95,N/A,370,490,410,520,370,490,11369,No,4804,5070,5286,5598,10482
C0048,10,20,22,,,,,,,Public,Town: Remote,824,2546,Southeast,187,Master's degree,No,1347,98,N/A,,,,,,,3893,No,4990,5290,5560,5793,3706
C0049,21,37,42,20,26,90,66,3292,3659,Public,City: Small,2317,9045,Southeast,1780,Doctoral degree,No,2489,95,N/A,,,,,,,11534,No,6908,7183,7333,7595,9754
C0050,19,38,38,18,23,54,44,292,540,Private,City: Small,3390,650,Southeast,0,Bachelor's degree,No,177,99,Baptist,430,590,470,670,430,620,827,No,10760,11610,12530,13350,827
C0051,40,59,62,22,28,76,63,1663,2180,Private,Town: Distant,18798,4820,Southeast,1810,Doctoral degree,No,1418,98,Churches of Christ,490,630,500,620,,,6238,No,14040,14610,15240,16170,4428
C0052,14,25,29,19,24,62,34,2084,3350,Public,Town: Distant,4174,2953,Southeast,384,Master's degree,No,630,98,N/A,460,538,490,590,,,3583,No,6740,7010,7280,7580,3199
C0053,63,68,70,26,32,80,28,1550,1928,Private,City: Small,118930,1434,Southeast,13,Master's degree,No,10,100,United Methodist,530,680,540,650,,,1444,No,32040,34230,36200,37816,1431
C0054,55,65,65,22,28,70,38,798,1143,Private,Town: Distant,38304,1698,Southeast,516,Master's degree,No,898,99,N/A,500,640,505,640,490,610,2596,No,19770,20766,21774,22734,2080
C0055,48,59,60,21,27,70,32,1220,1740,Private,Town: Distant,54781,1507,Southeast,0,Bachelor's degree,No,36,99,Southern Baptist,440,550,460,580,,,1543,No,19820,20630,21440,22370,1543
C0056,34,47,48,20,26,61,24,651,1061,Private,Town: Remote,154110,571,Southeast,0,Bachelor's degree,No,14,98,Presbyterian Church (USA),420,550,450,550,,,585,No,20530,22050,23250,24350,585
C0057,20,40,45,,,,,,,Private,City: Midsize,15423,523,Southeast,0,Bachelor's degree,Yes,33,100,United Methodist,,,,,,,556,No,9450,11910,12464,12564,556
C0058,24,36,39,19,24,68,43,361,531,Private,Rural: Distant,20167,486,Southeast,0,Bachelor's degree,No,88,100,Southern Baptist,350,430,410,510,,,574,No,12020,12620,13150,13750,574
C0059,14,24,30,18,24,61,40,1654,2720,Public,Town: Remote,1061,2561,Southeast,444,Master's degree,No,843,97,N/A,410,520,430,590,,,3404,No,6426,6786,7146,7466,2960
C0060,9,20,24,19,25,57,60,2240,3905,Public,City: Small,11489,5116,Southeast,0,Bachelor's degree,No,2054,96,N/A,350,540,430,620,390,550,7170,No,4918,4250,4462,4528,7170
C0061,47,63,65,21,27,80,29,4255,5329,Private,Suburb: Large,6604,7783,Far West,4212,Doctoral degree,No,2972,92,Undenominational,490,600,490,610,,,10755,No,28800,29940,31076,32256,6543
C0062,49,64,68,22,27,73,26,3509,4816,Private,Suburb: Large,17473,5107,Far West,1970,Doctoral degree,No,1194,96,Undenominational,500,620,503,620,490,620,6301,No,28852,29908,31004,32142,4331
C0063,,,,,,,,,,Private,City: Large,1157,988,Far West,1196,Doctoral degree,No,283,,N/A,,,,,,,1271,No,,,,,75
C0064,41,54,58,18,24,79,33,3036,3853,Private,City: Large,2304,5864,Far West,1347,Master's degree,No,1280,95,Southern Baptist,430,550,420,560,420,540,7144,No,24654,25808,26900,28122,5797
C0065,82,90,93,33,35,11,43,584,5535,Private,City: Midsize,872856,2181,Far West,1204,Doctoral degree,No,0,73,N/A,720,800,770,800,720,790,2181,No,36282,37704,39588,41538,977
C0066,61,69,70,22,26,48,16,3323,6920,Private,City: Midsize,14701,3740,Far West,1394,Doctoral degree,No,542,98,Evangelical Lutheran Church,500,590,510,613,,,4282,No,31000,32860,34360,35720,2888
C0067,29,61,70,25,30,31,32,11537,36941,Public,Suburb: Small,10629,18775,Far West,964,Master's degree,No,928,50,N/A,550,650,590,690,,,19703,No,6480,7911,8043,8724,18739
C0068,,,,,,49,44,63,128,Private,City: Large,414,2038,Far West,3284,Doctoral degree,No,2163,75,N/A,,,,,,,4201,No,,,15190,15816,917
C0069,15,32,39,15,22,66,30,4393,6630,Public,City: Large,2668,7190,Far West,1021,Master's degree,No,1181,81,N/A,390,500,400,520,,,8371,No,5314,6682,6709,6775,7350
C0070,18,41,52,16,22,72,27,4158,5763,Public,Suburb: Small,1455,7256,Far West,1163,Doctoral degree,No,1661,82,N/A,400,510,410,520,,,8917,No,5302,6582,6582,6491,7754
C0071,9,29,41,16,20,58,34,7137,12239,Public,City: Midsize,1353,15213,Far West,2207,Doctoral degree,No,3185,85,N/A,390,490,400,510,,,18398,No,5049,6518,6327,6550,16191
C0072,10,34,52,20,26,52,21,14686,28143,Public,Suburb: Large,3819,18995,Far West,1549,Doctoral degree,No,3506,68,N/A,460,570,490,620,,,22501,No,4807,6106,6125,6350,20952
