ID,Average current balance ($),Mortgage accounts,Satisfactory accounts,Total current balance ($)
L465,1450,0,13,18851
L284,3304,5,14,42952
L187,1409,0,13,16909
L269,12664,0,10,113972
L088,3432,0,19,65214
L344,42104,3,9,336832
L216,12531,0,10,125307
L229,29468,3,10,294683
L037,74481,0,5,372407
L201,24122,5,16,385952
L429,13210,1,10,132095
L390,4095,0,20,81908
L299,1772,0,16,28351
L293,13293,4,15,199389
L215,31139,1,18,560509
L281,4309,0,11,47397
L442,6187,0,33,204160
L230,3898,0,9,35079
L327,31279,5,20,625574
L301,13586,1,13,135859
L424,10153,1,21,213212
L482,36875,3,17,589998
L416,4340,1,13,56423
L385,20142,1,11,221561
L060,6839,0,4,27354
L427,635,0,10,6352
L258,3183,2,9,28645
L068,14258,2,19,256638
L179,8372,3,15,100468
L458,20295,4,9,182657
L091,8054,2,5,40272
L377,4529,1,9,31704
L357,3479,0,10,31313
L431,6252,3,24,150054
L439,25762,1,9,231860
L363,19943,5,13,259264
L279,2939,0,8,23508
L354,14976,5,11,149763
L015,13819,2,16,221110
L044,2864,1,14,40090
L322,4334,2,17,73675
L051,22864,2,9,205780
L176,6916,0,8,55327
L373,18552,6,18,333930
L267,45240,1,10,452396
L355,18632,3,10,186318
L025,12911,2,9,116195
L302,2847,1,11,31312
L050,28167,0,7,197169
L081,12455,1,18,224194
L274,4677,0,12,51443
L105,10201,4,10,102008
L073,2649,0,18,45025
L336,1774,0,23,40798
L017,33976,3,9,305781
L271,23398,1,10,210586
L126,1092,1,11,10916
L219,12691,3,13,164988
L136,40172,5,22,883789
L372,1840,0,7,11041
L265,18629,2,13,223544
L275,4911,0,9,44202
L188,4987,0,16,74809
L404,41263,4,7,288842
L402,30843,2,4,123372
L447,28481,2,9,227847
L236,11942,3,16,191071
L421,4952,1,14,64382
L047,11493,0,24,275831
L391,25074,8,9,200590
L272,13190,1,15,197858
L180,23030,4,13,276355
L200,8705,6,23,200216
L057,7176,2,27,193745
L497,6209,1,9,43461
L113,28037,5,8,224292
L031,5683,0,7,39781
L046,5721,2,9,51489
L079,4322,0,10,43224
L093,25644,1,9,205155
L470,57587,6,16,863809
L001,20701,1,7,144904
L332,1355,0,18,21678
L129,4766,0,9,42894
L218,4782,0,19,90875
L326,10633,2,11,116969
L240,15147,2,12,166614
L417,21609,1,12,259307
L386,11053,1,14,154736
L389,24851,1,12,298210
L209,2929,5,11,32214
L257,2215,4,11,22151
L183,40315,1,5,201577
L065,39020,5,12,429218
L418,1261,2,5,6303
L076,15864,4,12,158643
L455,9348,3,11,102832
L408,2180,0,12,26155
L151,2847,0,18,51250
L036,6136,3,10,55222
L364,14346,1,13,186499
L490,1257,0,8,8800
L124,409,0,10,4091
L370,10659,0,16,159887
L117,3887,0,10,38865
L071,14073,7,14,197024
L010,28528,1,8,199696
L453,2823,0,10,25404
L286,44605,2,8,356838
L268,12239,4,6,73435
L376,1443,0,12,17312
L161,16813,1,5,84064
L120,4652,0,19,88386
L485,51325,3,6,307949
L306,1300,0,21,27300
L446,6262,0,9,56358
L367,14581,6,17,218712
L393,4415,0,14,52980
L486,2249,1,18,38235
L276,6835,0,18,123030
L114,44714,6,7,312996
L153,1590,0,16,22263
L296,28068,5,11,308743
L409,2659,0,8,21272
L092,2927,0,12,32193
L083,20490,4,16,327836
