ID,Content Rating,Creative Type,Genre,IMDB Rating,Production Budget,Release Year,Rotten Tomatoes Rating,Running Time,Worldwide Gross
M001,PG-13,Contemporary Fiction,Action,6.6,21000000,2002,,92,43928932
M002,R,Contemporary Fiction,Comedy,7,24000000,2008,65,101,36851125
M003,PG-13,Contemporary Fiction,Action,8,102000000,2006,94,144,596000000
M004,PG-13,Contemporary Fiction,Thriller,7,20000000,2007,,104,118000000
M005,PG,Dramatization,Drama,6.6,35000000,2006,37,102,46432264
M006,PG-13,Contemporary Fiction,Comedy,6.3,21500000,1996,50,102,22331846
M007,R,Contemporary Fiction,Drama,7.3,12000000,1998,64,120,22921898
M008,PG,Science Fiction,Adventure,6.4,75000000,2000,51,95,36751979
M009,PG,Kids Fiction,Comedy,4.9,60000000,1996,16,89,130000000
M010,R,Science Fiction,Horror,5.5,90000000,2000,28,112,191000000
M011,PG-13,Contemporary Fiction,Comedy,5.9,80000000,2001,42,102,98341932
M012,PG,Historical Fiction,Drama,6.8,72000000,2001,,153,37306334
M013,R,Fantasy,,,100000000,1999,,120,212000000
M014,PG-13,,,6.6,75000000,2006,78,130,155000000
M015,R,Historical Fiction,Drama,7.4,,2001,53,131,
M016,PG-13,Contemporary Fiction,Thriller,6.1,42000000,2002,,115,63781100
M017,PG-13,Super Hero,Action,7.9,186000000,2008,94,126,583000000
M018,PG-13,Contemporary Fiction,Drama,,30000000,2004,81,117,61950770
M019,R,,Comedy,7.3,,2003,77,91,
M020,PG-13,,Thriller,6.4,50000000,2009,32,121,188000000
M021,PG-13,Dramatization,,7.3,80000000,2000,82,145,66554547
M022,G,Kids Fiction,Adventure,7.9,30000000,2005,95,85,186000000
M023,PG-13,Contemporary Fiction,Romantic Comedy,5.1,19000000,2003,20,95,56127162
M024,R,Contemporary Fiction,Thriller,6.5,80000000,1997,51,135,137000000
M025,PG,Kids Fiction,Adventure,6.7,85000000,2006,74,108,385000000
M026,R,Contemporary Fiction,,7.3,28000000,2003,62,90,90231264
M027,G,Fantasy,,8.1,150000000,2007,96,111,620000000
M028,PG-13,Contemporary Fiction,Drama,6.8,35000000,2006,24,118,42064105
M029,PG-13,Historical Fiction,Action,6.9,210000000,2010,43,140,311000000
M030,PG-13,Contemporary Fiction,Drama,6.6,8300000,2010,40,114,493296
M031,PG-13,Contemporary Fiction,Drama,5.3,45000000,1996,17,113,58617334
M032,PG-13,Contemporary Fiction,Drama,6.8,10000000,2008,73,90,31487293
M033,R,Dramatization,Drama,6.6,109000000,2001,67,159,84383966
M034,R,Dramatization,Drama,6.8,29000000,2009,,120,10061080
M035,PG-13,,Adventure,6.6,232000000,2006,76,157,391000000
M036,PG-13,Contemporary Fiction,Action,6,180000000,2007,,91,253000000
M037,R,Historical Fiction,Drama,7.2,40000000,1999,82,139,81292135
M038,R,Fantasy,Black Comedy,7.9,13000000,1999,92,112,32382381
M039,PG,Fantasy,,7.5,85000000,2007,92,108,340000000
M040,R,Contemporary Fiction,Thriller,5.9,30000000,2008,,106,32955399
M041,R,Contemporary Fiction,Drama,6.5,,1997,50,155,
M042,PG,Contemporary Fiction,Romantic Comedy,5.2,70000000,1999,45,116,308000000
M043,R,Factual,Concert,6.2,3000000,2000,86,116,38236338
M044,PG-13,Historical Fiction,Musical,7.2,55000000,2004,33,143,158000000
M045,PG-13,Contemporary Fiction,Comedy,4.6,22000000,2001,30,83,55762229
M046,R,Dramatization,Drama,7.4,,1999,62,118,
M047,R,Science Fiction,Action,6.6,65000000,2008,,105,72516819
M048,G,Contemporary Fiction,Comedy,5.9,30000000,2001,,115,165000000
M049,R,Contemporary Fiction,Drama,7.9,2500000,2004,86,109,32381151
M050,R,Contemporary Fiction,Horror,6.4,,2001,39,131,
M051,PG,Kids Fiction,,5.7,123000000,2000,53,104,345000000
M052,PG,Kids Fiction,Adventure,6.6,75000000,2005,55,83,533000000
M053,R,Contemporary Fiction,Action,6.6,70000000,1996,70,121,309000000
M054,R,Historical Fiction,Drama,6.6,46000000,1996,85,115,101000000
M055,R,Historical Fiction,,7.3,,2003,70,152,
M056,PG-13,Dramatization,,7.6,5500000,1996,,105,35811509
M057,R,Contemporary Fiction,Drama,7.6,12000000,1997,85,154,72673162
M058,PG-13,Contemporary Fiction,,6.4,110000000,1997,55,119,340000000
M059,R,Contemporary Fiction,Action,5.9,30000000,1998,39,86,19035741
M060,R,Dramatization,Drama,7.5,,1998,78,166,
M061,PG-13,Kids Fiction,Comedy,5.9,40000000,1998,,110,71743823
M062,PG-13,Historical Fiction,Adventure,7.5,135000000,2003,85,138,209000000
M063,R,Contemporary Fiction,Drama,7.8,14000000,2006,79,136,14763019
M064,PG-13,Fantasy,Action,5.3,60000000,2002,40,91,165000000
M065,R,Historical Fiction,Thriller,6.8,35000000,2001,,123,31598308
M066,R,Contemporary Fiction,Comedy,7.3,21000000,2009,66,98,10108016
